numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
1,"GONZALEZ VASQUEZ, LUIS JOSE",SP. ATº CIUTAT DE PALMA,Titular,Local,PALMA F.C.,26,0,0,0,90
2,"MUNAR LAZARO, DANIEL",SP. ATº CIUTAT DE PALMA,Titular,Local,PALMA F.C.,26,0,0,0,46
5,"CACERES AMOROS, MATEO",SP. ATº CIUTAT DE PALMA,Titular,Local,PALMA F.C.,26,0,0,0,90
7,"SANCHO OLIVER, PEDRO",SP. ATº CIUTAT DE PALMA,Titular,Local,PALMA F.C.,26,1,0,0,87
10,"SARMIENTO CABAÑIN, GABRIEL A",SP. ATº CIUTAT DE PALMA,Titular,Local,PALMA F.C.,26,0,1,0,90
11,"KRZYZYK SERRANO, PEDRO",SP. ATº CIUTAT DE PALMA,Titular,Local,PALMA F.C.,26,0,0,0,87
14,"AMENGUAL LIRIO, IVAN",SP. ATº CIUTAT DE PALMA,Titular,Local,PALMA F.C.,26,0,0,0,80
18,"CORTES MONTANER, LUIS",SP. ATº CIUTAT DE PALMA,Titular,Local,PALMA F.C.,26,0,0,0,90
20,"BARRY DIALLO, MAMADOU ALIOU",SP. ATº CIUTAT DE PALMA,Titular,Local,PALMA F.C.,26,0,0,0,90
21,"KRAUSSE, IGNACIO TOMAS",SP. ATº CIUTAT DE PALMA,Titular,Local,PALMA F.C.,26,1,0,0,68
24,"GAETE MARTINEZ, ISMAEL",SP. ATº CIUTAT DE PALMA,Titular,Local,PALMA F.C.,26,1,0,0,90
4,"ORDOÑEZ QUETGLAS, MARC",SP. ATº CIUTAT DE PALMA,Suplente,Local,PALMA F.C.,26,0,0,0,44
8,"FERNÁNDEZ CASSO, ALBERTO",SP. ATº CIUTAT DE PALMA,Suplente,Local,PALMA F.C.,26,0,0,0,0
9,"ABRAHAM BOLAÑOS, ISAAC",SP. ATº CIUTAT DE PALMA,Suplente,Local,PALMA F.C.,26,0,0,0,3
13,"ESTARELLAS ALVAREZ, RAUL",SP. ATº CIUTAT DE PALMA,Suplente,Local,PALMA F.C.,26,0,0,0,0
17,"AQUINO GUTIERREZ, DAN JOEL",SP. ATº CIUTAT DE PALMA,Suplente,Local,PALMA F.C.,26,0,0,0,10
23,"GOMEZ BLANCA, AARON",SP. ATº CIUTAT DE PALMA,Suplente,Local,PALMA F.C.,26,0,0,0,22
29,"KEITA SIDIBE, MADY",SP. ATº CIUTAT DE PALMA,Suplente,Local,PALMA F.C.,26,0,0,0,3
1,"HERNANDEZ PILO, IKER",PALMA F.C.,Titular,Visitante,SP. ATº CIUTAT DE PALMA,26,0,1,0,90
2,"GOMEZ ACUÑA, RENSON ENRIQUE",PALMA F.C.,Titular,Visitante,SP. ATº CIUTAT DE PALMA,26,1,1,0,73
3,"VICENS VIDAL, PAU",PALMA F.C.,Titular,Visitante,SP. ATº CIUTAT DE PALMA,26,0,0,0,50
4,ZAPATA,PALMA F.C.,Titular,Visitante,SP. ATº CIUTAT DE PALMA,26,0,1,0,90
5,"KEANEY, DANIEL THOMAS",PALMA F.C.,Titular,Visitante,SP. ATº CIUTAT DE PALMA,26,0,0,0,90
6,"FERRA OSPINA, CARLES JOAN",PALMA F.C.,Titular,Visitante,SP. ATº CIUTAT DE PALMA,26,0,0,0,60
7,"NDIR GUEYE, MOUHAMADOUL LAMIN",PALMA F.C.,Titular,Visitante,SP. ATº CIUTAT DE PALMA,26,0,0,0,90
8,"SAMPOL MARTINEZ, MARC",PALMA F.C.,Titular,Visitante,SP. ATº CIUTAT DE PALMA,26,0,0,0,90
9,"FRANCO SINGEORZAN, ALEX",PALMA F.C.,Titular,Visitante,SP. ATº CIUTAT DE PALMA,26,0,0,0,73
10,"PORCEL MARTINEZ, JORDI",PALMA F.C.,Titular,Visitante,SP. ATº CIUTAT DE PALMA,26,0,0,0,60
11,"GIL GOMILA, XAYRON",PALMA F.C.,Titular,Visitante,SP. ATº CIUTAT DE PALMA,26,0,0,0,90
12,"CONDE, MAMADI",PALMA F.C.,Suplente,Visitante,SP. ATº CIUTAT DE PALMA,26,0,0,0,17
13,"PASTOR MAS, MARC",PALMA F.C.,Suplente,Visitante,SP. ATº CIUTAT DE PALMA,26,0,0,0,0
14,"ROMERO ALASSIA, LUCAS T",PALMA F.C.,Suplente,Visitante,SP. ATº CIUTAT DE PALMA,26,0,0,0,0
15,"ALCALDE ORTEGA, JUAN JOSÉ",PALMA F.C.,Suplente,Visitante,SP. ATº CIUTAT DE PALMA,26,0,0,0,30
16,"ALLENDES SEPULVEDA, MARTIN ALONSO",PALMA F.C.,Suplente,Visitante,SP. ATº CIUTAT DE PALMA,26,0,0,0,17
17,"FOLGADO GARNICA, PAULO",PALMA F.C.,Suplente,Visitante,SP. ATº CIUTAT DE PALMA,26,0,0,0,30
18,"VILLALONGA GÓMEZ, IKER",PALMA F.C.,Suplente,Visitante,SP. ATº CIUTAT DE PALMA,26,0,0,0,40
