numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
1,"MONTES DOMINGUEZ, ALBERTO",U D IBIZA A,Titular,Local,PLA DE NA TESA A,26,0,0,0,90
2,"AGUILAR COSTA, MARTÍ",U D IBIZA A,Titular,Local,PLA DE NA TESA A,26,0,0,0,90
3,"ROMAN MUÑOZ, ETHAN",U D IBIZA A,Titular,Local,PLA DE NA TESA A,26,0,1,0,76
4,"RODRIGUEZ MARTOS, AARON",U D IBIZA A,Titular,Local,PLA DE NA TESA A,26,0,0,0,90
5,"BALBURE CARDONA, ALEX",U D IBIZA A,Titular,Local,PLA DE NA TESA A,26,0,1,0,90
6,"GORLA, AGUSTIN",U D IBIZA A,Titular,Local,PLA DE NA TESA A,26,0,0,0,90
7,"TORRES RIERA, LLUC",U D IBIZA A,Titular,Local,PLA DE NA TESA A,26,0,0,0,61
8,"ELIAS ARANDIA, SAMUEL ABEL",U D IBIZA A,Titular,Local,PLA DE NA TESA A,26,0,0,0,76
9,"BELTRAN ALVAREZ, SERGIO",U D IBIZA A,Titular,Local,PLA DE NA TESA A,26,0,0,0,90
10,"LOPEZ CAPACETE, KENAI",U D IBIZA A,Titular,Local,PLA DE NA TESA A,26,0,0,0,90
11,"MARTOS VERGARA, DANIEL",U D IBIZA A,Titular,Local,PLA DE NA TESA A,26,0,1,0,61
13,"AVOGADRO, TOMMASO",U D IBIZA A,Suplente,Local,PLA DE NA TESA A,26,0,0,0,0
12,"GONZALEZ CASURIAGA, THIAGO",U D IBIZA A,Suplente,Local,PLA DE NA TESA A,26,0,0,0,0
14,"MEDINA ARANDA, SERGIO",U D IBIZA A,Suplente,Local,PLA DE NA TESA A,26,0,0,0,0
15,"VALLS ANIORTE, TARIKU",U D IBIZA A,Suplente,Local,PLA DE NA TESA A,26,0,0,0,14
16,"OKROGLIC SOMOZA, LUKA",U D IBIZA A,Suplente,Local,PLA DE NA TESA A,26,0,0,0,29
18,"GARCIA ALBA, JAVIER",U D IBIZA A,Suplente,Local,PLA DE NA TESA A,26,0,0,0,29
19,"SANCHEZ LUIS, MARCO",U D IBIZA A,Suplente,Local,PLA DE NA TESA A,26,0,0,0,14
1,"CRUZ SEGUI, SERGIO",PLA DE NA TESA A,Titular,Visitante,U D IBIZA A,26,0,0,0,90
2,"DRAGHI, MAXIMO",PLA DE NA TESA A,Titular,Visitante,U D IBIZA A,26,0,0,0,90
3,"OSEGIE AMADASUN, MARVIN ISOKEN",PLA DE NA TESA A,Titular,Visitante,U D IBIZA A,26,0,0,0,90
4,"GONZALEZ OBRADOR, ENRIC",PLA DE NA TESA A,Titular,Visitante,U D IBIZA A,26,1,0,0,90
5,"ALONSO MUNICIO, PABLO",PLA DE NA TESA A,Titular,Visitante,U D IBIZA A,26,0,0,0,90
6,"COULIBALY COULIBALY, MADANE",PLA DE NA TESA A,Titular,Visitante,U D IBIZA A,26,0,1,0,74
7,"AIT SAID TAFZATI, NABIL",PLA DE NA TESA A,Titular,Visitante,U D IBIZA A,26,0,0,0,74
8,"MORA GISPERT, HUGO",PLA DE NA TESA A,Titular,Visitante,U D IBIZA A,26,0,0,0,88
9,"MONTES MORALES, ADRIAN",PLA DE NA TESA A,Titular,Visitante,U D IBIZA A,26,0,0,0,88
10,"ONCALA CARAVACA, DANIEL",PLA DE NA TESA A,Titular,Visitante,U D IBIZA A,26,0,1,0,90
11,"MASCARÓ SERVERA, JUAN",PLA DE NA TESA A,Titular,Visitante,U D IBIZA A,26,1,1,0,82
13,"FATY, MALANG",PLA DE NA TESA A,Suplente,Visitante,U D IBIZA A,26,0,0,0,0
14,"MARTINEZ ESPINOSA, DENIS",PLA DE NA TESA A,Suplente,Visitante,U D IBIZA A,26,0,0,0,16
15,"MESA ZAFRA, CHRISTIAN",PLA DE NA TESA A,Suplente,Visitante,U D IBIZA A,26,0,0,0,2
16,"CACERES COMAS, SERGI",PLA DE NA TESA A,Suplente,Visitante,U D IBIZA A,26,0,0,0,8
17,"ASAMOAH ASANTEWAA, DENIS",PLA DE NA TESA A,Suplente,Visitante,U D IBIZA A,26,0,0,0,2
18,"MONTALBAN ROMERO, MILO JERONIMO",PLA DE NA TESA A,Suplente,Visitante,U D IBIZA A,26,0,0,0,16
19,"NAVARRO BEZARES, JAVIER",PLA DE NA TESA A,Suplente,Visitante,U D IBIZA A,26,0,0,0,0
