numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
1,"MIR OLMO, JORDI",CONSTANCIA A,Titular,Local,PLATGES DE CALVIA A,27,0,0,0,90
3,"ROMAN DE REMENTERIA, ASIER",CONSTANCIA A,Titular,Local,PLATGES DE CALVIA A,27,1,0,0,76
5,"ROMERO FELIU, ANDREU",CONSTANCIA A,Titular,Local,PLATGES DE CALVIA A,27,0,1,0,90
7,"MARTIN MONSALVE, IAN",CONSTANCIA A,Titular,Local,PLATGES DE CALVIA A,27,0,0,0,70
8,"COMPANY INGLA, JAUME",CONSTANCIA A,Titular,Local,PLATGES DE CALVIA A,27,1,0,0,90
10,"CABEZAS GALLARDO, MANUEL",CONSTANCIA A,Titular,Local,PLATGES DE CALVIA A,27,0,0,0,76
14,"MORENO GODOY, NICOLAS",CONSTANCIA A,Titular,Local,PLATGES DE CALVIA A,27,0,0,0,90
15,"KOUJILI EL TALHAOUI, MAROUAN",CONSTANCIA A,Titular,Local,PLATGES DE CALVIA A,27,0,0,0,90
16,"OLIVER GELABERT, PERE",CONSTANCIA A,Titular,Local,PLATGES DE CALVIA A,27,0,0,0,83
18,"PATRICIO GUAL, MARC",CONSTANCIA A,Titular,Local,PLATGES DE CALVIA A,27,0,0,0,83
22,"MAIRATA NOGUERA, ADRIA",CONSTANCIA A,Titular,Local,PLATGES DE CALVIA A,27,0,0,0,90
13,"BOVER LLOMPART, JOSEP",CONSTANCIA A,Suplente,Local,PLATGES DE CALVIA A,27,0,0,0,0
6,"BOTELLO CARMONA, PAU",CONSTANCIA A,Suplente,Local,PLATGES DE CALVIA A,27,0,0,0,14
9,"BALLE BRUNET, JOAN",CONSTANCIA A,Suplente,Local,PLATGES DE CALVIA A,27,0,0,0,7
11,"COLL AREVALO, JORDI",CONSTANCIA A,Suplente,Local,PLATGES DE CALVIA A,27,0,0,0,0
19,"GALVEZ ESPINOZA, BRAD ANTONY",CONSTANCIA A,Suplente,Local,PLATGES DE CALVIA A,27,0,0,0,7
20,"CHUKWUKERE PULLET, GREGORY IKECHUKWU",CONSTANCIA A,Suplente,Local,PLATGES DE CALVIA A,27,0,0,0,20
23,"BLANCO WEBER, LUCA",CONSTANCIA A,Suplente,Local,PLATGES DE CALVIA A,27,0,1,0,14
25,"VALENZUELA BIERMAN, NOAH",PLATGES DE CALVIA A,Titular,Visitante,CONSTANCIA A,27,0,0,0,90
4,"LOUNADI MUNAR, SAMUEL",PLATGES DE CALVIA A,Titular,Visitante,CONSTANCIA A,27,0,0,0,90
5,"GARCIA MEDRANO, MARCOS",PLATGES DE CALVIA A,Titular,Visitante,CONSTANCIA A,27,0,0,0,72
6,"MATAS OLIVER, PABLO",PLATGES DE CALVIA A,Titular,Visitante,CONSTANCIA A,27,0,0,0,90
7,"SANCHIS MARTINEZ, DAVID",PLATGES DE CALVIA A,Titular,Visitante,CONSTANCIA A,27,0,0,0,90
8,"GARCÍA RODRÍGUEZ, UNAI",PLATGES DE CALVIA A,Titular,Visitante,CONSTANCIA A,27,0,1,0,90
9,"CASAUS SANCHEZ, JOSE IGNACIO",PLATGES DE CALVIA A,Titular,Visitante,CONSTANCIA A,27,0,0,0,90
11,"PARRA VIZUETE, DANIEL",PLATGES DE CALVIA A,Titular,Visitante,CONSTANCIA A,27,0,0,0,90
17,"PEREZ SILVENTE, ALEJANDRO",PLATGES DE CALVIA A,Titular,Visitante,CONSTANCIA A,27,0,0,0,55
20,"PUJOL ALOMAR, TELM",PLATGES DE CALVIA A,Titular,Visitante,CONSTANCIA A,27,0,0,0,45
21,"CABRERA FERRA, LIAM",PLATGES DE CALVIA A,Titular,Visitante,CONSTANCIA A,27,0,1,0,72
1,"RODRIGUEZ GUASP, JORDI",PLATGES DE CALVIA A,Suplente,Visitante,CONSTANCIA A,27,0,0,0,0
3,"ALCOLEA ESCORCIA, CARLOS",PLATGES DE CALVIA A,Suplente,Visitante,CONSTANCIA A,27,0,0,0,18
14,"BORREGO, GIOVANNI RAIDEL",PLATGES DE CALVIA A,Suplente,Visitante,CONSTANCIA A,27,0,0,0,35
18,"PAYERO MOLINA, NICOLAS",PLATGES DE CALVIA A,Suplente,Visitante,CONSTANCIA A,27,0,0,0,0
19,"CARDONA MARTIN, MARCOS",PLATGES DE CALVIA A,Suplente,Visitante,CONSTANCIA A,27,0,0,0,18
22,"HOLLINGSWORTH, HARRY RICHARD",PLATGES DE CALVIA A,Suplente,Visitante,CONSTANCIA A,27,1,0,0,45
