numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
1,"SCHMIDT LOPEZ, JHAIRO EWELL",FERRERIES A,Titular,Local,POBLENSE A,27,0,0,0,90
2,"FLORES BARRERA, GERARD",FERRERIES A,Titular,Local,POBLENSE A,27,0,0,0,55
3,"FLORIT TAJUELO, HECTOR",FERRERIES A,Titular,Local,POBLENSE A,27,0,0,0,90
4,"AMELLER RIUDAVETS, JOSEP",FERRERIES A,Titular,Local,POBLENSE A,27,0,0,0,90
6,"BAGUR MOYA, HUGO",FERRERIES A,Titular,Local,POBLENSE A,27,0,0,0,90
8,"GOMILA BOSCH, LLUÍS",FERRERIES A,Titular,Local,POBLENSE A,27,1,0,0,90
9,"FEBRER VILLALONGA, ALBERT",FERRERIES A,Titular,Local,POBLENSE A,27,0,0,0,90
10,"BOSCH PULIDO, NIL",FERRERIES A,Titular,Local,POBLENSE A,27,0,0,0,55
11,"CANTALAPIEDRA LOBATO, IKER",FERRERIES A,Titular,Local,POBLENSE A,27,1,0,0,25
16,"MBAYE RUIZ, MOUHAMAD YASIN",FERRERIES A,Titular,Local,POBLENSE A,27,0,0,0,90
17,"PONS CARRERAS, ANGEL",FERRERIES A,Titular,Local,POBLENSE A,27,0,1,0,84
7,"JANER BOSCH, NOFRE",FERRERIES A,Suplente,Local,POBLENSE A,27,0,0,0,35
14,"FAMIGLIETTI MARQUEZ, LUCA",FERRERIES A,Suplente,Local,POBLENSE A,27,0,0,0,6
19,"DE LA PUERTA MARTORELL, JAUME",FERRERIES A,Suplente,Local,POBLENSE A,27,0,1,0,65
21,"CAMPS CARETA, PERE",FERRERIES A,Suplente,Local,POBLENSE A,27,0,0,0,35
22,"SINTES PONS, PAU",FERRERIES A,Suplente,Local,POBLENSE A,27,0,0,0,0
23,"ROTGER LÓPEZ, LLUC",FERRERIES A,Suplente,Local,POBLENSE A,27,0,0,0,0
25,"BAGUR PONS, JUAN CARLOS",FERRERIES A,Suplente,Local,POBLENSE A,27,0,0,0,0
1,"BOUJJIA LAMRINI, AMIN",POBLENSE A,Titular,Visitante,FERRERIES A,27,0,0,0,90
4,"ENSEÑAT RAMIS, MIQUEL",POBLENSE A,Titular,Visitante,FERRERIES A,27,0,0,0,90
6,"AGUILERA PERELLO, ADRIÀ",POBLENSE A,Titular,Visitante,FERRERIES A,27,0,0,0,78
7,"CAIMARI FIGUEROLA, JAUME",POBLENSE A,Titular,Visitante,FERRERIES A,27,0,0,0,90
9,"FERRER RIGO, SEBASTIÀ",POBLENSE A,Titular,Visitante,FERRERIES A,27,0,0,0,90
10,"CHICA COMAS, JUAN A",POBLENSE A,Titular,Visitante,FERRERIES A,27,0,0,0,90
11,"RETTICH SOLER, JOSEP",POBLENSE A,Titular,Visitante,FERRERIES A,27,1,0,0,90
14,"GONZÁLEZ ONETO, ASSIER",POBLENSE A,Titular,Visitante,FERRERIES A,27,0,0,0,90
20,"FERNANDEZ HEREDIA, ALEJANDRO",POBLENSE A,Titular,Visitante,FERRERIES A,27,0,0,0,36
21,"VIVES COMAS, JOAN JORDI",POBLENSE A,Titular,Visitante,FERRERIES A,27,0,0,0,90
25,"TUR ESCALAS, TONI",POBLENSE A,Titular,Visitante,FERRERIES A,27,0,0,0,90
2,"GIBSON, JASPER",POBLENSE A,Suplente,Visitante,FERRERIES A,27,0,0,0,12
3,"MENDEZ DUARTE, IVAN",POBLENSE A,Suplente,Visitante,FERRERIES A,27,0,0,0,0
5,"DE LA CRUZ RIERA, JOAN MATEU",POBLENSE A,Suplente,Visitante,FERRERIES A,27,0,0,0,0
12,"MEFTAH ES SALEMY, BILAL",POBLENSE A,Suplente,Visitante,FERRERIES A,27,0,1,0,0
13,"MUÑOZ SANTOS, DAVID",POBLENSE A,Suplente,Visitante,FERRERIES A,27,0,0,0,0
15,"ASBAI HAMOUTI, ALI",POBLENSE A,Suplente,Visitante,FERRERIES A,27,0,0,0,0
18,"MORAGUES MORAGUES, JOAN",POBLENSE A,Suplente,Visitante,FERRERIES A,27,0,0,0,54
