numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
1,"HERNANDEZ PILO, IKER",PALMA F.C.,Titular,Local,ANDRATX A,27,0,0,0,90
2,"CONDE, MAMADI",PALMA F.C.,Titular,Local,ANDRATX A,27,0,0,0,69
3,"ORTEGA CASTILLA, HUGO",PALMA F.C.,Titular,Local,ANDRATX A,27,0,0,0,90
4,ZAPATA,PALMA F.C.,Titular,Local,ANDRATX A,27,1,0,0,90
5,"ALCALDE ORTEGA, JUAN JOSÉ",PALMA F.C.,Titular,Local,ANDRATX A,27,0,0,0,76
6,"KEANEY, DANIEL THOMAS",PALMA F.C.,Titular,Local,ANDRATX A,27,0,0,0,90
7,"NDIR GUEYE, MOUHAMADOUL LAMIN",PALMA F.C.,Titular,Local,ANDRATX A,27,0,1,0,69
8,"SAMPOL MARTINEZ, MARC",PALMA F.C.,Titular,Local,ANDRATX A,27,0,0,0,90
9,"FRANCO SINGEORZAN, ALEX",PALMA F.C.,Titular,Local,ANDRATX A,27,2,0,0,76
10,"VILLALONGA GÓMEZ, IKER",PALMA F.C.,Titular,Local,ANDRATX A,27,0,0,0,57
11,"GIL GOMILA, XAYRON",PALMA F.C.,Titular,Local,ANDRATX A,27,1,0,0,90
13,"PASTOR MAS, MARC",PALMA F.C.,Suplente,Local,ANDRATX A,27,0,0,0,0
12,"ROMERO ALASSIA, LUCAS T",PALMA F.C.,Suplente,Local,ANDRATX A,27,0,0,0,0
14,"GOMEZ ACUÑA, RENSON ENRIQUE",PALMA F.C.,Suplente,Local,ANDRATX A,27,0,0,0,21
15,"FERRA OSPINA, CARLES JOAN",PALMA F.C.,Suplente,Local,ANDRATX A,27,0,0,0,14
16,"MARCANO FLORIAN, SEBASTIAN JESUS",PALMA F.C.,Suplente,Local,ANDRATX A,27,0,0,0,21
17,"PORCEL MARTINEZ, JORDI",PALMA F.C.,Suplente,Local,ANDRATX A,27,2,0,0,33
18,"ACUÑA LOPEZ, MARIO AGUSTIN",PALMA F.C.,Suplente,Local,ANDRATX A,27,0,0,0,14
1,"DAM, NEO DUPONT",ANDRATX A,Titular,Visitante,PALMA F.C.,27,0,0,0,90
2,"PATRICIO TORRRENS, JUAN",ANDRATX A,Titular,Visitante,PALMA F.C.,27,0,0,0,57
6,"TUR HORRACH, HUG",ANDRATX A,Titular,Visitante,PALMA F.C.,27,0,0,0,66
7,"LUPIAÑEZ ALEMANY, TONI",ANDRATX A,Titular,Visitante,PALMA F.C.,27,0,0,0,90
9,"VARGAS RODRIGUEZ, NICOLAS",ANDRATX A,Titular,Visitante,PALMA F.C.,27,0,0,0,90
10,"SANCHEZ RAMIREZ, JAVIER",ANDRATX A,Titular,Visitante,PALMA F.C.,27,0,0,0,90
11,"JIMENEZ PASTOR, IKER",ANDRATX A,Titular,Visitante,PALMA F.C.,27,0,0,0,57
15,"DE JUANA QUETGLAS, DIEGO",ANDRATX A,Titular,Visitante,PALMA F.C.,27,0,0,0,90
16,"ROGEL ARRIAGA, BRYAN STALIN",ANDRATX A,Titular,Visitante,PALMA F.C.,27,0,0,0,66
21,"SINTES DIAZ, JOAN",ANDRATX A,Titular,Visitante,PALMA F.C.,27,0,0,0,90
23,"DE JUANA QUETGLAS, SERGIO",ANDRATX A,Titular,Visitante,PALMA F.C.,27,0,0,0,70
25,"HURTADO LOPEZ, IVAN",ANDRATX A,Suplente,Visitante,PALMA F.C.,27,0,0,0,0
3,"ALARCON FERRER, ADRIAN",ANDRATX A,Suplente,Visitante,PALMA F.C.,27,0,0,0,24
4,"LABRADOR VILLAR, SERGIO",ANDRATX A,Suplente,Visitante,PALMA F.C.,27,0,0,0,20
12,"KRAWIETZ, FRANZ PETER",ANDRATX A,Suplente,Visitante,PALMA F.C.,27,0,0,0,33
18,"AMER CASTILLO, MIGUEL",ANDRATX A,Suplente,Visitante,PALMA F.C.,27,0,0,0,24
20,"VILLARRAMIEL PIÑEIRO, IVAN",ANDRATX A,Suplente,Visitante,PALMA F.C.,27,0,0,0,0
22,"HOMAR GARCIA, ROMAN",ANDRATX A,Suplente,Visitante,PALMA F.C.,27,0,0,0,33
