numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
1,"MUÑOZ CAMPOY, IVAN",PENYA ARRABAL A,Titular,Local,MALLORCA B,27,0,0,0,90
3,"MARTINEZ MUNTANER, SERGI",PENYA ARRABAL A,Titular,Local,MALLORCA B,27,0,0,0,90
6,"MUÑOZ BAIXAULI, JUAN",PENYA ARRABAL A,Titular,Local,MALLORCA B,27,0,0,0,70
8,"GARCIA HERNANDEZ, JOSE RAMON",PENYA ARRABAL A,Titular,Local,MALLORCA B,27,0,1,0,90
10,"CRESPI BARRERA, LEONARDO",PENYA ARRABAL A,Titular,Local,MALLORCA B,27,0,0,0,90
14,"MAS MAIMO, JOSEP",PENYA ARRABAL A,Titular,Local,MALLORCA B,27,0,0,0,90
17,"ARIAS BESTARD, ENZO",PENYA ARRABAL A,Titular,Local,MALLORCA B,27,0,0,0,65
18,"FIOL ACEITUNO, MIQUEL",PENYA ARRABAL A,Titular,Local,MALLORCA B,27,0,0,0,90
19,"CASTAÑER PECELLIN, RAFAEL",PENYA ARRABAL A,Titular,Local,MALLORCA B,27,0,0,0,89
21,"RIUTORT GONZALEZ, JUAN FRANCISCO",PENYA ARRABAL A,Titular,Local,MALLORCA B,27,1,0,0,90
23,"SEGUI ESTEBAN, IAN",PENYA ARRABAL A,Titular,Local,MALLORCA B,27,0,0,0,65
13,"MANOLACHE POCOVI, DANIEL",PENYA ARRABAL A,Suplente,Local,MALLORCA B,27,0,0,0,0
2,"ROTTLANDER, LENNOX MARKUS",PENYA ARRABAL A,Suplente,Local,MALLORCA B,27,0,0,0,0
4,"MARTORELL MUDOY, JOAN",PENYA ARRABAL A,Suplente,Local,MALLORCA B,27,0,0,0,0
9,"LEBRERO BENITEZ, HUGO",PENYA ARRABAL A,Suplente,Local,MALLORCA B,27,0,0,0,25
15,"HERRERA IGLESIAS, ADRIAN",PENYA ARRABAL A,Suplente,Local,MALLORCA B,27,0,0,0,25
20,"PASCUAL RIERA, MIGUEL ANGEL",PENYA ARRABAL A,Suplente,Local,MALLORCA B,27,0,0,0,1
22,"MORENO PUJOL, JAVIER",PENYA ARRABAL A,Suplente,Local,MALLORCA B,27,0,0,0,20
1,"MERCADAL CARRERAS, JOSEP",MALLORCA B,Titular,Visitante,PENYA ARRABAL A,27,0,0,0,90
2,"VERD ALONSO, ABEL",MALLORCA B,Titular,Visitante,PENYA ARRABAL A,27,0,0,0,90
3,"FRESNEDA HIDALGO, HUGO",MALLORCA B,Titular,Visitante,PENYA ARRABAL A,27,0,0,0,74
4,"D'VAZ AFONSO, SPENCER GARCIA",MALLORCA B,Titular,Visitante,PENYA ARRABAL A,27,0,0,0,90
5,"ALEMANY TOUS, MARC",MALLORCA B,Titular,Visitante,PENYA ARRABAL A,27,0,0,0,90
6,"BURGAYA GENOVART, FERRAN",MALLORCA B,Titular,Visitante,PENYA ARRABAL A,27,0,0,0,90
7,"AVILÉS MAESTRE, JOEL",MALLORCA B,Titular,Visitante,PENYA ARRABAL A,27,0,1,0,90
8,"COCA ANTELO, ANDREW",MALLORCA B,Titular,Visitante,PENYA ARRABAL A,27,0,0,0,90
9,"SIDIROPOULOS, ANASTASIOS",MALLORCA B,Titular,Visitante,PENYA ARRABAL A,27,1,0,0,74
10,"MARTINEZ BELA, JAVIER",MALLORCA B,Titular,Visitante,PENYA ARRABAL A,27,0,0,0,65
11,"MOLINA DONAIRE, DANIEL",MALLORCA B,Titular,Visitante,PENYA ARRABAL A,27,0,0,0,82
13,"VALLBONA SERRA, JOAN",MALLORCA B,Suplente,Visitante,PENYA ARRABAL A,27,0,0,0,0
12,"VAN DER MEER GARI, YANNICK",MALLORCA B,Suplente,Visitante,PENYA ARRABAL A,27,0,0,0,16
14,"LAZARO TORRES, MARIO",MALLORCA B,Suplente,Visitante,PENYA ARRABAL A,27,0,1,0,25
15,"TEJADA LLADONET, ORIOL",MALLORCA B,Suplente,Visitante,PENYA ARRABAL A,27,0,0,0,0
16,"GARCIA LLOMPART, RAFEL",MALLORCA B,Suplente,Visitante,PENYA ARRABAL A,27,0,0,0,8
17,"DIALLO CONDE, ABDOURAHAMANE",MALLORCA B,Suplente,Visitante,PENYA ARRABAL A,27,0,0,0,16
