numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
1,"CRUZ SEGUI, SERGIO",PLA DE NA TESA A,Titular,Local,PENYA CIUTADELLA ESPORTIVA A,27,0,0,0,90
2,"DRAGHI, MAXIMO",PLA DE NA TESA A,Titular,Local,PENYA CIUTADELLA ESPORTIVA A,27,0,0,0,90
3,"OSEGIE AMADASUN, MARVIN ISOKEN",PLA DE NA TESA A,Titular,Local,PENYA CIUTADELLA ESPORTIVA A,27,0,0,0,90
4,"GONZALEZ OBRADOR, ENRIC",PLA DE NA TESA A,Titular,Local,PENYA CIUTADELLA ESPORTIVA A,27,1,0,0,88
5,"COULIBALY COULIBALY, MADANE",PLA DE NA TESA A,Titular,Local,PENYA CIUTADELLA ESPORTIVA A,27,0,0,0,90
6,"ALONSO MUNICIO, PABLO",PLA DE NA TESA A,Titular,Local,PENYA CIUTADELLA ESPORTIVA A,27,0,0,0,90
7,"CACERES COMAS, SERGI",PLA DE NA TESA A,Titular,Local,PENYA CIUTADELLA ESPORTIVA A,27,0,0,0,46
8,"MORA GISPERT, HUGO",PLA DE NA TESA A,Titular,Local,PENYA CIUTADELLA ESPORTIVA A,27,0,0,0,88
9,"MONTES MORALES, ADRIAN",PLA DE NA TESA A,Titular,Local,PENYA CIUTADELLA ESPORTIVA A,27,0,1,0,80
10,"ONCALA CARAVACA, DANIEL",PLA DE NA TESA A,Titular,Local,PENYA CIUTADELLA ESPORTIVA A,27,0,0,0,90
11,"MASCARÓ SERVERA, JUAN",PLA DE NA TESA A,Titular,Local,PENYA CIUTADELLA ESPORTIVA A,27,1,0,0,80
13,"FATY, MALANG",PLA DE NA TESA A,Suplente,Local,PENYA CIUTADELLA ESPORTIVA A,27,0,0,0,0
12,"NAVARRO BEZARES, JAVIER",PLA DE NA TESA A,Suplente,Local,PENYA CIUTADELLA ESPORTIVA A,27,0,0,0,0
14,"MARTINEZ ESPINOSA, DENIS",PLA DE NA TESA A,Suplente,Local,PENYA CIUTADELLA ESPORTIVA A,27,0,0,0,2
15,"MESA ZAFRA, CHRISTIAN",PLA DE NA TESA A,Suplente,Local,PENYA CIUTADELLA ESPORTIVA A,27,0,0,0,2
16,"MONTALBAN ROMERO, MILO JERONIMO",PLA DE NA TESA A,Suplente,Local,PENYA CIUTADELLA ESPORTIVA A,27,0,0,0,10
17,"AIT SAID TAFZATI, NABIL",PLA DE NA TESA A,Suplente,Local,PENYA CIUTADELLA ESPORTIVA A,27,0,1,0,44
18,"ASAMOAH ASANTEWAA, DENIS",PLA DE NA TESA A,Suplente,Local,PENYA CIUTADELLA ESPORTIVA A,27,0,0,0,10
1,"GOMILA GOMILA, JOAN",PENYA CIUTADELLA ESPORTIVA A,Titular,Visitante,PLA DE NA TESA A,27,0,0,0,90
2,"AGUILAR BOSCH, DAVID",PENYA CIUTADELLA ESPORTIVA A,Titular,Visitante,PLA DE NA TESA A,27,0,0,0,58
5,"BERNAL VOIGT, YAMPEL RICHARD",PENYA CIUTADELLA ESPORTIVA A,Titular,Visitante,PLA DE NA TESA A,27,0,0,0,90
6,"RUS FERNANDEZ, IGNASI",PENYA CIUTADELLA ESPORTIVA A,Titular,Visitante,PLA DE NA TESA A,27,0,1,0,90
7,"DIAZ LLABRES, ISAAC",PENYA CIUTADELLA ESPORTIVA A,Titular,Visitante,PLA DE NA TESA A,27,0,0,0,90
8,"FLORIT ANGLADA, JOSEP",PENYA CIUTADELLA ESPORTIVA A,Titular,Visitante,PLA DE NA TESA A,27,0,0,0,90
9,"TRIAY SASTRE, ADRIA",PENYA CIUTADELLA ESPORTIVA A,Titular,Visitante,PLA DE NA TESA A,27,0,1,0,90
12,"LEON JUAN, VICTOR",PENYA CIUTADELLA ESPORTIVA A,Titular,Visitante,PLA DE NA TESA A,27,0,0,0,46
16,"CAPO PONS, JOAN",PENYA CIUTADELLA ESPORTIVA A,Titular,Visitante,PLA DE NA TESA A,27,0,0,0,90
19,"SALORT MARIN, JORGE",PENYA CIUTADELLA ESPORTIVA A,Titular,Visitante,PLA DE NA TESA A,27,0,1,0,58
22,"CAMPS SEOANE, VICTOR",PENYA CIUTADELLA ESPORTIVA A,Titular,Visitante,PLA DE NA TESA A,27,0,0,0,58
13,"BARCELO BOSCH, ANDREU",PENYA CIUTADELLA ESPORTIVA A,Suplente,Visitante,PLA DE NA TESA A,27,0,0,0,0
3,"JUANEDA JUANEDA, JOSEP",PENYA CIUTADELLA ESPORTIVA A,Suplente,Visitante,PLA DE NA TESA A,27,0,1,0,44
10,"PONS MOLL, FRANCESC",PENYA CIUTADELLA ESPORTIVA A,Suplente,Visitante,PLA DE NA TESA A,27,0,0,0,32
14,"CAPO MORA, MARC",PENYA CIUTADELLA ESPORTIVA A,Suplente,Visitante,PLA DE NA TESA A,27,0,1,0,32
18,"HUGUET ANGLADA, LLUIS",PENYA CIUTADELLA ESPORTIVA A,Suplente,Visitante,PLA DE NA TESA A,27,0,0,0,0
20,"MOLL PONS, MIQUEL",PENYA CIUTADELLA ESPORTIVA A,Suplente,Visitante,PLA DE NA TESA A,27,0,0,0,32
