numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
13,"ROIG VEGA, MATEO",SANTA CATALINA ATº A,Titular,Local,U D IBIZA A,27,0,0,0,90
2,"VICH FORTEZA, LLUC",SANTA CATALINA ATº A,Titular,Local,U D IBIZA A,27,0,1,0,90
4,"PALAU ORDINAS, MIQUEL",SANTA CATALINA ATº A,Titular,Local,U D IBIZA A,27,0,0,0,90
7,"ADROVER MELIS, FRANCESC",SANTA CATALINA ATº A,Titular,Local,U D IBIZA A,27,0,0,0,90
8,"LOPEZ FUXA, AARON",SANTA CATALINA ATº A,Titular,Local,U D IBIZA A,27,0,0,0,90
10,"FERNANDEZ REY, RAUL",SANTA CATALINA ATº A,Titular,Local,U D IBIZA A,27,0,0,0,90
14,"KOPACH, DANIIL",SANTA CATALINA ATº A,Titular,Local,U D IBIZA A,27,0,0,0,90
16,"BARRIGA CATRINA, VICTOR",SANTA CATALINA ATº A,Titular,Local,U D IBIZA A,27,0,0,0,77
18,"MARTIN CABALLERO, ANGEL",SANTA CATALINA ATº A,Titular,Local,U D IBIZA A,27,0,0,0,77
19,"MENDOZA SOLER, MARIO",SANTA CATALINA ATº A,Titular,Local,U D IBIZA A,27,0,0,0,56
22,"ALARCON RAGO, THIAGO",SANTA CATALINA ATº A,Titular,Local,U D IBIZA A,27,0,0,0,56
1,"MADROÑERO CONTRERAS, DAYRON",SANTA CATALINA ATº A,Suplente,Local,U D IBIZA A,27,0,0,0,0
3,"GARCIA BISQUERRA, JAVIER",SANTA CATALINA ATº A,Suplente,Local,U D IBIZA A,27,1,0,0,13
5,"DEYÀ BELTRÁN, SEBASTIÀ",SANTA CATALINA ATº A,Suplente,Local,U D IBIZA A,27,0,0,0,34
6,"GARCIAS LLABRES, MIQUEL",SANTA CATALINA ATº A,Suplente,Local,U D IBIZA A,27,0,0,0,34
9,"LOMAS SERVERA, PAU",SANTA CATALINA ATº A,Suplente,Local,U D IBIZA A,27,0,0,0,13
11,"MASCARELL LLABRES, MARC",SANTA CATALINA ATº A,Suplente,Local,U D IBIZA A,27,0,0,0,0
21,"EZ ZARY SAIDI, ISMAEL",SANTA CATALINA ATº A,Suplente,Local,U D IBIZA A,27,0,0,0,0
1,"MONTES DOMINGUEZ, ALBERTO",U D IBIZA A,Titular,Visitante,SANTA CATALINA ATº A,27,0,0,0,90
2,"AGUILAR COSTA, MARTÍ",U D IBIZA A,Titular,Visitante,SANTA CATALINA ATº A,27,0,1,0,90
3,"ROMAN MUÑOZ, ETHAN",U D IBIZA A,Titular,Visitante,SANTA CATALINA ATº A,27,0,1,0,90
4,"RODRIGUEZ MARTOS, AARON",U D IBIZA A,Titular,Visitante,SANTA CATALINA ATº A,27,0,0,0,90
5,"BALBURE CARDONA, ALEX",U D IBIZA A,Titular,Visitante,SANTA CATALINA ATº A,27,0,0,0,90
6,"PERIAÑEZ RODRIGUEZ, DANIEL",U D IBIZA A,Titular,Visitante,SANTA CATALINA ATº A,27,0,0,0,90
7,"BERNASCONI, SANTINO",U D IBIZA A,Titular,Visitante,SANTA CATALINA ATº A,27,0,0,0,83
8,"GARCIA ALBA, JAVIER",U D IBIZA A,Titular,Visitante,SANTA CATALINA ATº A,27,1,0,0,68
9,"BELTRAN ALVAREZ, SERGIO",U D IBIZA A,Titular,Visitante,SANTA CATALINA ATº A,27,1,1,0,85
10,"LOPEZ CAPACETE, KENAI",U D IBIZA A,Titular,Visitante,SANTA CATALINA ATº A,27,0,0,0,90
11,"ELIAS ARANDIA, SAMUEL ABEL",U D IBIZA A,Titular,Visitante,SANTA CATALINA ATº A,27,0,0,0,85
13,"AVOGADRO, TOMMASO",U D IBIZA A,Suplente,Visitante,SANTA CATALINA ATº A,27,0,0,0,0
15,"VALLS ANIORTE, TARIKU",U D IBIZA A,Suplente,Visitante,SANTA CATALINA ATº A,27,0,0,0,5
12,"MEDINA ARANDA, SERGIO",U D IBIZA A,Suplente,Visitante,SANTA CATALINA ATº A,27,0,0,0,7
14,"TORRES RAMON, DIDAC",U D IBIZA A,Suplente,Visitante,SANTA CATALINA ATº A,27,0,0,0,0
16,"OKROGLIC SOMOZA, LUKA",U D IBIZA A,Suplente,Visitante,SANTA CATALINA ATº A,27,0,0,0,0
18,"TORRES RIERA, LLUC",U D IBIZA A,Suplente,Visitante,SANTA CATALINA ATº A,27,0,0,0,22
19,"SANCHEZ LUIS, MARCO",U D IBIZA A,Suplente,Visitante,SANTA CATALINA ATº A,27,0,0,0,5
