numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
1,"ORFILA QUINTANA, AARON",UD MAHON,Titular,Local,SD LA SALLE A,27,0,0,0,90
2,"IZAGUIRRE RODRIGUEZ, RICARDO ABRAHAM",UD MAHON,Titular,Local,SD LA SALLE A,27,0,0,0,90
3,"LASSO VIAFARA, ANDRES FELIPE",UD MAHON,Titular,Local,SD LA SALLE A,27,0,0,0,25
4,"DE LA PUENTE JAÑEZ, NICOLAS",UD MAHON,Titular,Local,SD LA SALLE A,27,0,1,0,90
5,"GOMEZ SANTOS, JUAN",UD MAHON,Titular,Local,SD LA SALLE A,27,0,0,0,90
6,"DIALLO, FODE",UD MAHON,Titular,Local,SD LA SALLE A,27,0,0,0,60
7,"DE OLIVEIRA MESSIAS, KLAYVER",UD MAHON,Titular,Local,SD LA SALLE A,27,0,0,0,90
8,"GRUBAC, NOA",UD MAHON,Titular,Local,SD LA SALLE A,27,0,0,0,46
9,"LOPEZ FERNANDEZ, MARC",UD MAHON,Titular,Local,SD LA SALLE A,27,0,0,0,60
10,"PEREZ MARTIN, IGNACIO",UD MAHON,Titular,Local,SD LA SALLE A,27,0,1,0,72
11,"MASCARO MARTINEZ, IKER",UD MAHON,Titular,Local,SD LA SALLE A,27,0,1,0,90
12,"NGONG NGO, FABRICE",UD MAHON,Suplente,Local,SD LA SALLE A,27,0,0,0,0
13,"GASCON SASTRE, IKER",UD MAHON,Suplente,Local,SD LA SALLE A,27,0,0,0,0
14,"GOMEZ GORDILLO, RAUL",UD MAHON,Suplente,Local,SD LA SALLE A,27,0,0,0,65
15,"BOLIVAR PERAL, ROGER",UD MAHON,Suplente,Local,SD LA SALLE A,27,0,1,0,30
16,"ESPINOZA ARMIJOS, CARLOS ANDRES",UD MAHON,Suplente,Local,SD LA SALLE A,27,0,0,0,18
17,"DE OLIVEIRA MESSIAS, EMMANUEL",UD MAHON,Suplente,Local,SD LA SALLE A,27,0,0,0,44
18,"SINTES MELERO, ALVARO",UD MAHON,Suplente,Local,SD LA SALLE A,27,0,0,0,30
1,"FONTANET REUS, TOMAS",SD LA SALLE A,Titular,Visitante,UD MAHON,27,0,1,0,90
2,"PANEQUE PÉREZ, JOEL",SD LA SALLE A,Titular,Visitante,UD MAHON,27,0,0,0,90
3,"SANCHEZ LAFUENTE, ARITZ",SD LA SALLE A,Titular,Visitante,UD MAHON,27,0,0,0,90
4,"VIZCAINO SEGURA, ALAN",SD LA SALLE A,Titular,Visitante,UD MAHON,27,0,1,0,90
5,"PUYA TUR, OSCAR",SD LA SALLE A,Titular,Visitante,UD MAHON,27,0,0,0,90
6,"ESCUERO PARDOS, MARTI",SD LA SALLE A,Titular,Visitante,UD MAHON,27,0,0,0,74
7,"FERNANDEZ CABRERA, DAVID",SD LA SALLE A,Titular,Visitante,UD MAHON,27,1,0,0,74
8,"CORTES BOIXO, ALEIX",SD LA SALLE A,Titular,Visitante,UD MAHON,27,0,0,0,90
9,"RODRIGUEZ MONGELOS, GAEL PAU",SD LA SALLE A,Titular,Visitante,UD MAHON,27,0,0,0,74
10,"COMAS HUTTEN, PAU LLUIS",SD LA SALLE A,Titular,Visitante,UD MAHON,27,0,1,0,80
11,"SALMERON SEGURA, JONATHAN",SD LA SALLE A,Titular,Visitante,UD MAHON,27,0,0,0,55
12,"MOYA PEDREGOSA, ALEJANDRO",SD LA SALLE A,Suplente,Visitante,UD MAHON,27,0,0,0,16
13,"SILVA GIORGIO, AGUSTIN",SD LA SALLE A,Suplente,Visitante,UD MAHON,27,0,0,0,0
15,"TORRALBA TANUGGI, LUIS",SD LA SALLE A,Suplente,Visitante,UD MAHON,27,0,0,0,35
16,"MARTI RODRIGUEZ, IVAN",SD LA SALLE A,Suplente,Visitante,UD MAHON,27,0,0,0,16
17,"AMAYA MALENO, FRANCISCO",SD LA SALLE A,Suplente,Visitante,UD MAHON,27,0,0,0,10
20,"VIVARES ARANDA, YANNICK",SD LA SALLE A,Suplente,Visitante,UD MAHON,27,0,0,0,16
