numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
25,"HURTADO LOPEZ, IVAN",ANDRATX A,Titular,Local,PENYA INDEPENDENT A,28,0,0,1,90
7,"LUPIAÑEZ ALEMANY, TONI",ANDRATX A,Titular,Local,PENYA INDEPENDENT A,28,1,0,0,90
9,"VARGAS RODRIGUEZ, NICOLAS",ANDRATX A,Titular,Local,PENYA INDEPENDENT A,28,1,0,0,71
10,"SANCHEZ RAMIREZ, JAVIER",ANDRATX A,Titular,Local,PENYA INDEPENDENT A,28,0,0,0,90
11,"JIMENEZ PASTOR, IKER",ANDRATX A,Titular,Local,PENYA INDEPENDENT A,28,0,0,0,59
15,"DE JUANA QUETGLAS, DIEGO",ANDRATX A,Titular,Local,PENYA INDEPENDENT A,28,0,0,0,90
16,"ROGEL ARRIAGA, BRYAN STALIN",ANDRATX A,Titular,Local,PENYA INDEPENDENT A,28,0,0,0,90
18,"AMER CASTILLO, MIGUEL",ANDRATX A,Titular,Local,PENYA INDEPENDENT A,28,0,0,0,59
20,"VILLARRAMIEL PIÑEIRO, IVAN",ANDRATX A,Titular,Local,PENYA INDEPENDENT A,28,0,1,0,85
21,"SINTES DIAZ, JOAN",ANDRATX A,Titular,Local,PENYA INDEPENDENT A,28,0,0,0,90
23,"DE JUANA QUETGLAS, SERGIO",ANDRATX A,Titular,Local,PENYA INDEPENDENT A,28,0,0,0,90
1,"DAM, NEO DUPONT",ANDRATX A,Suplente,Local,PENYA INDEPENDENT A,28,0,0,0,0
2,"PATRICIO TORRRENS, JUAN",ANDRATX A,Suplente,Local,PENYA INDEPENDENT A,28,0,0,0,31
3,"ALARCON FERRER, ADRIAN",ANDRATX A,Suplente,Local,PENYA INDEPENDENT A,28,0,0,0,31
6,"TUR HORRACH, HUG",ANDRATX A,Suplente,Local,PENYA INDEPENDENT A,28,0,0,0,0
8,"ALMERING, BEPPE",ANDRATX A,Suplente,Local,PENYA INDEPENDENT A,28,0,0,0,0
12,"KRAWIETZ, FRANZ PETER",ANDRATX A,Suplente,Local,PENYA INDEPENDENT A,28,0,0,0,19
22,"HOMAR GARCIA, ROMAN",ANDRATX A,Suplente,Local,PENYA INDEPENDENT A,28,0,0,0,5
1,"RAMON DIAZ, HUGO",PENYA INDEPENDENT A,Titular,Visitante,ANDRATX A,28,0,0,0,90
2,"GRANDA VILLAVICENCIO, DAVID JOAN",PENYA INDEPENDENT A,Titular,Visitante,ANDRATX A,28,0,0,0,61
5,"ESCANDELL RIBAS, JOAN",PENYA INDEPENDENT A,Titular,Visitante,ANDRATX A,28,0,1,0,90
6,"OROZCO RIERA, ASIER",PENYA INDEPENDENT A,Titular,Visitante,ANDRATX A,28,0,0,0,34
7,"LOPEZ MARI, PABLO",PENYA INDEPENDENT A,Titular,Visitante,ANDRATX A,28,0,0,0,90
8,"PRATS RIPOLL, MIQUEL",PENYA INDEPENDENT A,Titular,Visitante,ANDRATX A,28,0,0,0,90
9,"CORDOBA TUR, MARC",PENYA INDEPENDENT A,Titular,Visitante,ANDRATX A,28,0,0,0,90
12,"CREUHERAS GARCIA, MATHEO",PENYA INDEPENDENT A,Titular,Visitante,ANDRATX A,28,0,1,0,61
15,"FAQUINETTI VERGILIO, SAMUEL",PENYA INDEPENDENT A,Titular,Visitante,ANDRATX A,28,0,0,0,90
18,"LLAMAS MARTINEZ, ERIC",PENYA INDEPENDENT A,Titular,Visitante,ANDRATX A,28,0,0,0,71
19,"EL ATTARINE BOUZID, MOHAMED",PENYA INDEPENDENT A,Titular,Visitante,ANDRATX A,28,0,0,0,90
4,"MARTINEZ JUAN, MARTIN",PENYA INDEPENDENT A,Suplente,Visitante,ANDRATX A,28,0,0,0,29
11,"IRUELA KLISHINA, DAVID",PENYA INDEPENDENT A,Suplente,Visitante,ANDRATX A,28,0,0,0,19
13,"VILLAR MARI, BARTOMEU TONI",PENYA INDEPENDENT A,Suplente,Visitante,ANDRATX A,28,0,0,0,0
14,"FERRER TORRES, PEDRO",PENYA INDEPENDENT A,Suplente,Visitante,ANDRATX A,28,0,1,0,56
20,"BERNHARDT, JOEL PIOTR",PENYA INDEPENDENT A,Suplente,Visitante,ANDRATX A,28,0,0,0,29
