numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
1,"VALLBONA SERRA, JOAN",MALLORCA B,Titular,Local,SD LA SALLE A,28,0,0,0,90
2,"VERD ALONSO, ABEL",MALLORCA B,Titular,Local,SD LA SALLE A,28,0,0,0,90
3,"FRESNEDA HIDALGO, HUGO",MALLORCA B,Titular,Local,SD LA SALLE A,28,0,0,0,86
4,"D'VAZ AFONSO, SPENCER GARCIA",MALLORCA B,Titular,Local,SD LA SALLE A,28,0,0,0,90
5,"ALEMANY TOUS, MARC",MALLORCA B,Titular,Local,SD LA SALLE A,28,0,1,0,90
6,"BURGAYA GENOVART, FERRAN",MALLORCA B,Titular,Local,SD LA SALLE A,28,0,0,0,90
7,"DIALLO CONDE, ABDOURAHAMANE",MALLORCA B,Titular,Local,SD LA SALLE A,28,0,0,0,60
8,"HORRACH LLABRES, GERARDO",MALLORCA B,Titular,Local,SD LA SALLE A,28,0,0,0,68
9,"SIDIROPOULOS, ANASTASIOS",MALLORCA B,Titular,Local,SD LA SALLE A,28,1,0,0,90
10,"LAZARO TORRES, MARIO",MALLORCA B,Titular,Local,SD LA SALLE A,28,0,0,0,60
11,"MOLINA DONAIRE, DANIEL",MALLORCA B,Titular,Local,SD LA SALLE A,28,1,0,0,86
12,"TEJADA LLADONET, ORIOL",MALLORCA B,Suplente,Local,SD LA SALLE A,28,0,0,0,4
13,"CALDES SIMONET, CARLES",MALLORCA B,Suplente,Local,SD LA SALLE A,28,0,0,0,0
14,"VAN DER MEER GARI, YANNICK",MALLORCA B,Suplente,Local,SD LA SALLE A,28,0,1,0,4
15,"COCA ANTELO, ANDREW",MALLORCA B,Suplente,Local,SD LA SALLE A,28,0,0,0,22
16,"AVILÉS MAESTRE, JOEL",MALLORCA B,Suplente,Local,SD LA SALLE A,28,0,0,0,30
17,"MARTINEZ BELA, JAVIER",MALLORCA B,Suplente,Local,SD LA SALLE A,28,0,1,0,30
18,"GARCIA LLOMPART, RAFEL",MALLORCA B,Suplente,Local,SD LA SALLE A,28,0,0,0,0
13,"SILVA GIORGIO, AGUSTIN",SD LA SALLE A,Titular,Visitante,MALLORCA B,28,0,0,0,90
2,"PANEQUE PÉREZ, JOEL",SD LA SALLE A,Titular,Visitante,MALLORCA B,28,0,0,0,35
3,"SANCHEZ LAFUENTE, ARITZ",SD LA SALLE A,Titular,Visitante,MALLORCA B,28,0,1,0,90
4,"VIZCAINO SEGURA, ALAN",SD LA SALLE A,Titular,Visitante,MALLORCA B,28,0,0,0,90
5,"PUYA TUR, OSCAR",SD LA SALLE A,Titular,Visitante,MALLORCA B,28,0,0,0,90
6,"ESCUERO PARDOS, MARTI",SD LA SALLE A,Titular,Visitante,MALLORCA B,28,0,0,0,64
7,"ARBOS DENGRA, DIEGO",SD LA SALLE A,Titular,Visitante,MALLORCA B,28,0,0,0,90
8,"CORTES BOIXO, ALEIX",SD LA SALLE A,Titular,Visitante,MALLORCA B,28,0,0,0,90
9,"COMAS HUTTEN, PAU LLUIS",SD LA SALLE A,Titular,Visitante,MALLORCA B,28,0,0,0,69
10,"RODRIGUEZ MONGELOS, GAEL PAU",SD LA SALLE A,Titular,Visitante,MALLORCA B,28,0,0,0,64
11,"FERNANDEZ CABRERA, DAVID",SD LA SALLE A,Titular,Visitante,MALLORCA B,28,0,0,0,90
1,"FONTANET REUS, TOMAS",SD LA SALLE A,Suplente,Visitante,MALLORCA B,28,0,0,0,0
12,"MOYA PEDREGOSA, ALEJANDRO",SD LA SALLE A,Suplente,Visitante,MALLORCA B,28,0,0,0,55
14,"AMAYA MALENO, FRANCISCO",SD LA SALLE A,Suplente,Visitante,MALLORCA B,28,0,0,0,21
15,"SALMERON SEGURA, JONATHAN",SD LA SALLE A,Suplente,Visitante,MALLORCA B,28,0,0,0,26
16,"GIL MASSANET, LLUIS",SD LA SALLE A,Suplente,Visitante,MALLORCA B,28,0,0,0,0
17,"TORRALBA TANUGGI, LUIS",SD LA SALLE A,Suplente,Visitante,MALLORCA B,28,0,0,0,26
20,"VIVARES ARANDA, YANNICK",SD LA SALLE A,Suplente,Visitante,MALLORCA B,28,0,0,0,0
