numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
25,"BURGUERA BONET, JULIÀ",MANACOR A,Titular,Local,PALMA F.C.,28,0,0,0,90
3,"DIMITROV, DIMITAR DIMITROV",MANACOR A,Titular,Local,PALMA F.C.,28,0,0,0,90
4,"GRAHAM, NATHAN STUART",MANACOR A,Titular,Local,PALMA F.C.,28,0,0,0,90
5,"MORAGUES LLULL, TONI",MANACOR A,Titular,Local,PALMA F.C.,28,0,0,0,90
6,"BAUZA COMPANY, JOAN",MANACOR A,Titular,Local,PALMA F.C.,28,0,0,0,90
8,"MARCOS MONGE, IKER",MANACOR A,Titular,Local,PALMA F.C.,28,0,0,0,80
10,"POSTIGO GARAT, RAUL",MANACOR A,Titular,Local,PALMA F.C.,28,0,0,0,69
11,"CORCHADO JIMENEZ, ISAAC",MANACOR A,Titular,Local,PALMA F.C.,28,0,0,0,56
14,"GUICHANDUT GOMILA, MARC",MANACOR A,Titular,Local,PALMA F.C.,28,0,0,0,90
17,"VIVES HIDALGO, IKER",MANACOR A,Titular,Local,PALMA F.C.,28,2,0,0,69
19,"RODRIGUEZ GALDON, DANIEL",MANACOR A,Titular,Local,PALMA F.C.,28,0,0,0,80
13,"GARCIA MESTRE, DAVID",MANACOR A,Suplente,Local,PALMA F.C.,28,0,0,0,0
2,"LAMSIAH AJGHOUF, OSSAMA",MANACOR A,Suplente,Local,PALMA F.C.,28,0,0,0,10
7,"LAKHAL ZEROUALE, SAAD",MANACOR A,Suplente,Local,PALMA F.C.,28,0,0,0,21
16,"FUSTER GONZALEZ, SERGI",MANACOR A,Suplente,Local,PALMA F.C.,28,0,0,0,21
18,"DOMINICI ALMONTE, ANTHONY DE JESUS",MANACOR A,Suplente,Local,PALMA F.C.,28,0,0,0,34
22,"MONTES CARDONA, CHRISTIAN",MANACOR A,Suplente,Local,PALMA F.C.,28,0,0,0,10
1,"HERNANDEZ PILO, IKER",PALMA F.C.,Titular,Visitante,MANACOR A,28,0,0,0,90
2,"CONDE, MAMADI",PALMA F.C.,Titular,Visitante,MANACOR A,28,0,1,0,68
3,"ORTEGA CASTILLA, HUGO",PALMA F.C.,Titular,Visitante,MANACOR A,28,0,0,0,46
4,ZAPATA,PALMA F.C.,Titular,Visitante,MANACOR A,28,0,1,0,90
5,"ALCALDE ORTEGA, JUAN JOSÉ",PALMA F.C.,Titular,Visitante,MANACOR A,28,0,0,0,46
6,"KEANEY, DANIEL THOMAS",PALMA F.C.,Titular,Visitante,MANACOR A,28,0,0,0,90
7,"NDIR GUEYE, MOUHAMADOUL LAMIN",PALMA F.C.,Titular,Visitante,MANACOR A,28,0,0,0,90
8,"SAMPOL MARTINEZ, MARC",PALMA F.C.,Titular,Visitante,MANACOR A,28,0,0,0,90
9,"FRANCO SINGEORZAN, ALEX",PALMA F.C.,Titular,Visitante,MANACOR A,28,0,0,0,90
10,"VILLALONGA GÓMEZ, IKER",PALMA F.C.,Titular,Visitante,MANACOR A,28,0,1,0,90
11,"GIL GOMILA, XAYRON",PALMA F.C.,Titular,Visitante,MANACOR A,28,0,0,0,90
13,"CATRON, URIAS",PALMA F.C.,Suplente,Visitante,MANACOR A,28,0,0,0,0
12,"ROMERO ALASSIA, LUCAS T",PALMA F.C.,Suplente,Visitante,MANACOR A,28,0,0,0,0
14,"GOMEZ ACUÑA, RENSON ENRIQUE",PALMA F.C.,Suplente,Visitante,MANACOR A,28,0,0,0,44
15,"FERRA OSPINA, CARLES JOAN",PALMA F.C.,Suplente,Visitante,MANACOR A,28,0,0,0,0
16,"MARCANO FLORIAN, SEBASTIAN JESUS",PALMA F.C.,Suplente,Visitante,MANACOR A,28,0,0,0,0
17,"PORCEL MARTINEZ, JORDI",PALMA F.C.,Suplente,Visitante,MANACOR A,28,0,1,0,44
18,"ACUÑA LOPEZ, MARIO AGUSTIN",PALMA F.C.,Suplente,Visitante,MANACOR A,28,0,0,0,22
