numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
1,"GOMILA GOMILA, JOAN",PENYA CIUTADELLA ESPORTIVA A,Titular,Local,SANTA CATALINA ATº A,28,0,0,0,90
3,"JUANEDA JUANEDA, JOSEP",PENYA CIUTADELLA ESPORTIVA A,Titular,Local,SANTA CATALINA ATº A,28,0,0,0,90
4,"FEDELICH MARQUES, JAN",PENYA CIUTADELLA ESPORTIVA A,Titular,Local,SANTA CATALINA ATº A,28,0,0,0,73
5,"BERNAL VOIGT, YAMPEL RICHARD",PENYA CIUTADELLA ESPORTIVA A,Titular,Local,SANTA CATALINA ATº A,28,0,0,0,90
7,"DIAZ LLABRES, ISAAC",PENYA CIUTADELLA ESPORTIVA A,Titular,Local,SANTA CATALINA ATº A,28,0,0,0,65
8,"FLORIT ANGLADA, JOSEP",PENYA CIUTADELLA ESPORTIVA A,Titular,Local,SANTA CATALINA ATº A,28,0,0,0,65
9,"TRIAY SASTRE, ADRIA",PENYA CIUTADELLA ESPORTIVA A,Titular,Local,SANTA CATALINA ATº A,28,1,0,0,90
10,"PONS MOLL, FRANCESC",PENYA CIUTADELLA ESPORTIVA A,Titular,Local,SANTA CATALINA ATº A,28,0,0,0,90
17,"PASCUAL GORNES, ENRIC",PENYA CIUTADELLA ESPORTIVA A,Titular,Local,SANTA CATALINA ATº A,28,0,0,0,73
21,"MARQUES BAGUR, JOAN",PENYA CIUTADELLA ESPORTIVA A,Titular,Local,SANTA CATALINA ATº A,28,0,1,0,90
22,"CAMPS SEOANE, VICTOR",PENYA CIUTADELLA ESPORTIVA A,Titular,Local,SANTA CATALINA ATº A,28,0,1,0,90
2,"AGUILAR BOSCH, DAVID",PENYA CIUTADELLA ESPORTIVA A,Suplente,Local,SANTA CATALINA ATº A,28,0,0,0,25
11,"LOPEZ GONZALEZ, ALEJANDRO",PENYA CIUTADELLA ESPORTIVA A,Suplente,Local,SANTA CATALINA ATº A,28,0,0,0,17
12,"LEON JUAN, VICTOR",PENYA CIUTADELLA ESPORTIVA A,Suplente,Local,SANTA CATALINA ATº A,28,0,0,0,0
13,"BARCELO BOSCH, ANDREU",PENYA CIUTADELLA ESPORTIVA A,Suplente,Local,SANTA CATALINA ATº A,28,0,0,0,0
14,"CAPO MORA, MARC",PENYA CIUTADELLA ESPORTIVA A,Suplente,Local,SANTA CATALINA ATº A,28,0,1,0,25
18,"HUGUET ANGLADA, LLUIS",PENYA CIUTADELLA ESPORTIVA A,Suplente,Local,SANTA CATALINA ATº A,28,0,0,0,0
19,"PONCIANO BUESO, JOSEP",PENYA CIUTADELLA ESPORTIVA A,Suplente,Local,SANTA CATALINA ATº A,28,0,1,0,17
1,"MADROÑERO CONTRERAS, DAYRON",SANTA CATALINA ATº A,Titular,Visitante,PENYA CIUTADELLA ESPORTIVA A,28,0,0,0,90
2,"VICH FORTEZA, LLUC",SANTA CATALINA ATº A,Titular,Visitante,PENYA CIUTADELLA ESPORTIVA A,28,0,0,0,90
3,"ARROYO BERNAT, ALEJANDRO",SANTA CATALINA ATº A,Titular,Visitante,PENYA CIUTADELLA ESPORTIVA A,28,0,0,0,46
5,"DEYÀ BELTRÁN, SEBASTIÀ",SANTA CATALINA ATº A,Titular,Visitante,PENYA CIUTADELLA ESPORTIVA A,28,0,1,0,90
6,"GARCIAS LLABRES, MIQUEL",SANTA CATALINA ATº A,Titular,Visitante,PENYA CIUTADELLA ESPORTIVA A,28,0,0,0,57
8,"LOPEZ FUXA, AARON",SANTA CATALINA ATº A,Titular,Visitante,PENYA CIUTADELLA ESPORTIVA A,28,0,0,0,90
10,"FERNANDEZ REY, RAUL",SANTA CATALINA ATº A,Titular,Visitante,PENYA CIUTADELLA ESPORTIVA A,28,0,0,0,90
14,"KOPACH, DANIIL",SANTA CATALINA ATº A,Titular,Visitante,PENYA CIUTADELLA ESPORTIVA A,28,0,1,0,74
16,"GARCIA BISQUERRA, JAVIER",SANTA CATALINA ATº A,Titular,Visitante,PENYA CIUTADELLA ESPORTIVA A,28,0,0,0,90
18,"MARTIN CABALLERO, ANGEL",SANTA CATALINA ATº A,Titular,Visitante,PENYA CIUTADELLA ESPORTIVA A,28,0,0,0,90
22,"ALARCON RAGO, THIAGO",SANTA CATALINA ATº A,Titular,Visitante,PENYA CIUTADELLA ESPORTIVA A,28,0,0,0,90
4,"PALAU ORDINAS, MIQUEL",SANTA CATALINA ATº A,Suplente,Visitante,PENYA CIUTADELLA ESPORTIVA A,28,0,0,0,0
7,"ADROVER MELIS, FRANCESC",SANTA CATALINA ATº A,Suplente,Visitante,PENYA CIUTADELLA ESPORTIVA A,28,0,1,0,44
9,"LOMAS SERVERA, PAU",SANTA CATALINA ATº A,Suplente,Visitante,PENYA CIUTADELLA ESPORTIVA A,28,1,1,0,33
13,"ROIG VEGA, MATEO",SANTA CATALINA ATº A,Suplente,Visitante,PENYA CIUTADELLA ESPORTIVA A,28,0,0,0,0
19,"MENDOZA SOLER, MARIO",SANTA CATALINA ATº A,Suplente,Visitante,PENYA CIUTADELLA ESPORTIVA A,28,1,0,0,16
