numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
1,"RODRIGUEZ GUASP, JORDI",PLATGES DE CALVIA A,Titular,Local,PLA DE NA TESA A,28,0,0,0,90
4,"LOUNADI MUNAR, SAMUEL",PLATGES DE CALVIA A,Titular,Local,PLA DE NA TESA A,28,0,1,1,90
5,"GARCIA MEDRANO, MARCOS",PLATGES DE CALVIA A,Titular,Local,PLA DE NA TESA A,28,0,0,0,80
6,"MATAS OLIVER, PABLO",PLATGES DE CALVIA A,Titular,Local,PLA DE NA TESA A,28,0,0,0,90
8,"GARCÍA RODRÍGUEZ, UNAI",PLATGES DE CALVIA A,Titular,Local,PLA DE NA TESA A,28,0,0,0,90
9,"CASAUS SANCHEZ, JOSE IGNACIO",PLATGES DE CALVIA A,Titular,Local,PLA DE NA TESA A,28,0,0,0,90
10,"EXPOSITO BINNEWIES, ALEJANDRO",PLATGES DE CALVIA A,Titular,Local,PLA DE NA TESA A,28,0,1,0,90
11,"PARRA VIZUETE, DANIEL",PLATGES DE CALVIA A,Titular,Local,PLA DE NA TESA A,28,0,0,0,90
17,"PEREZ SILVENTE, ALEJANDRO",PLATGES DE CALVIA A,Titular,Local,PLA DE NA TESA A,28,0,0,0,65
19,"CARDONA MARTIN, MARCOS",PLATGES DE CALVIA A,Titular,Local,PLA DE NA TESA A,28,0,0,0,52
22,"HOLLINGSWORTH, HARRY RICHARD",PLATGES DE CALVIA A,Titular,Local,PLA DE NA TESA A,28,0,0,0,90
2,"GAYUBAS GONZALEZ, LUIS MIGUEL",PLATGES DE CALVIA A,Suplente,Local,PLA DE NA TESA A,28,0,0,0,38
3,"ALCOLEA ESCORCIA, CARLOS",PLATGES DE CALVIA A,Suplente,Local,PLA DE NA TESA A,28,0,0,0,0
7,"HOMANN KRIEK, KHEIDIN GERALD",PLATGES DE CALVIA A,Suplente,Local,PLA DE NA TESA A,28,0,0,0,0
14,"FUENTES RULLAN, PABLO",PLATGES DE CALVIA A,Suplente,Local,PLA DE NA TESA A,28,0,1,0,25
15,"SOLIVELLAS LLOMPART, JOAQUÍN",PLATGES DE CALVIA A,Suplente,Local,PLA DE NA TESA A,28,0,0,0,0
20,"PUJOL ALOMAR, TELM",PLATGES DE CALVIA A,Suplente,Local,PLA DE NA TESA A,28,0,0,0,10
25,"VALENZUELA BIERMAN, NOAH",PLATGES DE CALVIA A,Suplente,Local,PLA DE NA TESA A,28,0,0,0,0
13,"FATY, MALANG",PLA DE NA TESA A,Titular,Visitante,PLATGES DE CALVIA A,28,0,0,0,90
2,"MESA ZAFRA, CHRISTIAN",PLA DE NA TESA A,Titular,Visitante,PLATGES DE CALVIA A,28,0,0,0,90
3,"DRAGHI, MAXIMO",PLA DE NA TESA A,Titular,Visitante,PLATGES DE CALVIA A,28,0,0,0,90
4,"GONZALEZ OBRADOR, ENRIC",PLA DE NA TESA A,Titular,Visitante,PLATGES DE CALVIA A,28,0,0,0,90
5,"COULIBALY COULIBALY, MADANE",PLA DE NA TESA A,Titular,Visitante,PLATGES DE CALVIA A,28,1,0,0,90
6,"MARTINEZ ESPINOSA, DENIS",PLA DE NA TESA A,Titular,Visitante,PLATGES DE CALVIA A,28,0,0,0,90
7,"MORA GISPERT, HUGO",PLA DE NA TESA A,Titular,Visitante,PLATGES DE CALVIA A,28,0,0,0,90
8,"ONCALA CARAVACA, DANIEL",PLA DE NA TESA A,Titular,Visitante,PLATGES DE CALVIA A,28,0,0,0,90
9,"MONTES MORALES, ADRIAN",PLA DE NA TESA A,Titular,Visitante,PLATGES DE CALVIA A,28,0,0,0,90
10,"MONTALBAN ROMERO, MILO JERONIMO",PLA DE NA TESA A,Titular,Visitante,PLATGES DE CALVIA A,28,0,0,0,73
11,"MASCARÓ SERVERA, JUAN",PLA DE NA TESA A,Titular,Visitante,PLATGES DE CALVIA A,28,0,0,0,85
1,"GINARD GENESTRA, PEP",PLA DE NA TESA A,Suplente,Visitante,PLATGES DE CALVIA A,28,0,0,0,0
12,"NAVARRO BEZARES, JAVIER",PLA DE NA TESA A,Suplente,Visitante,PLATGES DE CALVIA A,28,0,0,0,0
14,"ALONSO MUNICIO, PABLO",PLA DE NA TESA A,Suplente,Visitante,PLATGES DE CALVIA A,28,0,0,0,17
15,"MONTES DE OCA LÓPEZ, VICTOR",PLA DE NA TESA A,Suplente,Visitante,PLATGES DE CALVIA A,28,0,0,0,0
16,"CACERES COMAS, SERGI",PLA DE NA TESA A,Suplente,Visitante,PLATGES DE CALVIA A,28,0,0,0,0
17,"AIT SAID TAFZATI, NABIL",PLA DE NA TESA A,Suplente,Visitante,PLATGES DE CALVIA A,28,0,0,0,0
18,"ASAMOAH ASANTEWAA, DENIS",PLA DE NA TESA A,Suplente,Visitante,PLATGES DE CALVIA A,28,0,0,0,5
