numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
13,"OLIVER RAMIS, PEP",POBLENSE A,Titular,Local,PENYA ARRABAL A,28,0,0,0,90
4,"ENSEÑAT RAMIS, MIQUEL",POBLENSE A,Titular,Local,PENYA ARRABAL A,28,0,0,0,90
5,"DE LA CRUZ RIERA, JOAN MATEU",POBLENSE A,Titular,Local,PENYA ARRABAL A,28,0,0,0,70
6,"AGUILERA PERELLO, ADRIÀ",POBLENSE A,Titular,Local,PENYA ARRABAL A,28,0,0,0,90
9,"FERRER RIGO, SEBASTIÀ",POBLENSE A,Titular,Local,PENYA ARRABAL A,28,0,0,0,90
10,"CHICA COMAS, JUAN A",POBLENSE A,Titular,Local,PENYA ARRABAL A,28,0,0,0,90
11,"RETTICH SOLER, JOSEP",POBLENSE A,Titular,Local,PENYA ARRABAL A,28,0,1,0,90
14,"GONZÁLEZ ONETO, ASSIER",POBLENSE A,Titular,Local,PENYA ARRABAL A,28,0,0,0,70
18,"MORAGUES MORAGUES, JOAN",POBLENSE A,Titular,Local,PENYA ARRABAL A,28,0,0,0,81
23,"RIERA MARTÍNEZ, FERRAN",POBLENSE A,Titular,Local,PENYA ARRABAL A,28,0,0,0,90
24,"TUR ESCALAS, TONI",POBLENSE A,Titular,Local,PENYA ARRABAL A,28,0,0,0,86
1,"MUÑOZ SANTOS, DAVID",POBLENSE A,Suplente,Local,PENYA ARRABAL A,28,0,0,0,0
2,"GIBSON, JASPER",POBLENSE A,Suplente,Local,PENYA ARRABAL A,28,0,0,0,20
3,"MENDEZ DUARTE, IVAN",POBLENSE A,Suplente,Local,PENYA ARRABAL A,28,0,0,0,0
7,"CAIMARI FIGUEROLA, JAUME",POBLENSE A,Suplente,Local,PENYA ARRABAL A,28,0,0,0,20
8,"THIAM BORRAS, KARIM",POBLENSE A,Suplente,Local,PENYA ARRABAL A,28,0,0,0,0
20,"FERNANDEZ HEREDIA, ALEJANDRO",POBLENSE A,Suplente,Local,PENYA ARRABAL A,28,0,0,0,9
21,"VIVES COMAS, JOAN JORDI",POBLENSE A,Suplente,Local,PENYA ARRABAL A,28,0,0,0,4
13,"MANOLACHE POCOVI, DANIEL",PENYA ARRABAL A,Titular,Visitante,POBLENSE A,28,0,0,0,90
2,"RIUTORT GONZALEZ, JUAN FRANCISCO",PENYA ARRABAL A,Titular,Visitante,POBLENSE A,28,0,0,0,90
3,"MARTINEZ MUNTANER, SERGI",PENYA ARRABAL A,Titular,Visitante,POBLENSE A,28,0,0,0,90
4,"MARTORELL MUDOY, JOAN",PENYA ARRABAL A,Titular,Visitante,POBLENSE A,28,0,0,0,90
6,"MUÑOZ BAIXAULI, JUAN",PENYA ARRABAL A,Titular,Visitante,POBLENSE A,28,0,0,0,70
8,"GARCIA HERNANDEZ, JOSE RAMON",PENYA ARRABAL A,Titular,Visitante,POBLENSE A,28,0,0,0,90
9,"LEBRERO BENITEZ, HUGO",PENYA ARRABAL A,Titular,Visitante,POBLENSE A,28,0,1,0,59
10,"CRESPI BARRERA, LEONARDO",PENYA ARRABAL A,Titular,Visitante,POBLENSE A,28,0,0,0,86
17,"ARIAS BESTARD, ENZO",PENYA ARRABAL A,Titular,Visitante,POBLENSE A,28,1,0,0,70
18,"FIOL ACEITUNO, MIQUEL",PENYA ARRABAL A,Titular,Visitante,POBLENSE A,28,0,0,0,90
19,"CASTAÑER PECELLIN, RAFAEL",PENYA ARRABAL A,Titular,Visitante,POBLENSE A,28,0,0,0,86
1,"MUÑOZ CAMPOY, IVAN",PENYA ARRABAL A,Suplente,Visitante,POBLENSE A,28,0,0,0,0
5,"VALLESPIR TIMONER, PERE MARC",PENYA ARRABAL A,Suplente,Visitante,POBLENSE A,28,0,0,0,4
7,"MORENO PUJOL, JAVIER",PENYA ARRABAL A,Suplente,Visitante,POBLENSE A,28,0,0,0,20
12,"SEGUI ESTEBAN, IAN",PENYA ARRABAL A,Suplente,Visitante,POBLENSE A,28,0,0,0,31
14,"MAS MAIMO, JOSEP",PENYA ARRABAL A,Suplente,Visitante,POBLENSE A,28,0,0,0,0
15,"HERRERA IGLESIAS, ADRIAN",PENYA ARRABAL A,Suplente,Visitante,POBLENSE A,28,0,0,0,4
16,"GARCES NAVARRETE, JEREMY",PENYA ARRABAL A,Suplente,Visitante,POBLENSE A,28,0,0,0,20
