numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
13,"CABELLOS CRUZ, ENRIQUE",SP. ATº CIUTAT DE PALMA,Titular,Local,FERRERIES A,28,0,0,0,90
2,"MUNAR LAZARO, DANIEL",SP. ATº CIUTAT DE PALMA,Titular,Local,FERRERIES A,28,0,0,0,71
3,"PUJOL FONT, JAUME",SP. ATº CIUTAT DE PALMA,Titular,Local,FERRERIES A,28,0,0,0,90
5,"CACERES AMOROS, MATEO",SP. ATº CIUTAT DE PALMA,Titular,Local,FERRERIES A,28,0,0,0,90
7,"SANCHO OLIVER, PEDRO",SP. ATº CIUTAT DE PALMA,Titular,Local,FERRERIES A,28,0,0,0,90
10,"SARMIENTO CABAÑIN, GABRIEL A",SP. ATº CIUTAT DE PALMA,Titular,Local,FERRERIES A,28,0,0,0,90
11,"KRZYZYK SERRANO, PEDRO",SP. ATº CIUTAT DE PALMA,Titular,Local,FERRERIES A,28,1,0,0,86
20,"BARRY DIALLO, MAMADOU ALIOU",SP. ATº CIUTAT DE PALMA,Titular,Local,FERRERIES A,28,0,0,0,71
21,"KRAUSSE, IGNACIO TOMAS",SP. ATº CIUTAT DE PALMA,Titular,Local,FERRERIES A,28,0,0,0,90
23,"GOMEZ BLANCA, AARON",SP. ATº CIUTAT DE PALMA,Titular,Local,FERRERIES A,28,0,0,0,63
24,"GAETE MARTINEZ, ISMAEL",SP. ATº CIUTAT DE PALMA,Titular,Local,FERRERIES A,28,0,1,0,45
1,"MORAGUES CRIPPA, DAVID",SP. ATº CIUTAT DE PALMA,Suplente,Local,FERRERIES A,28,0,0,0,0
4,"ORDOÑEZ QUETGLAS, MARC",SP. ATº CIUTAT DE PALMA,Suplente,Local,FERRERIES A,28,0,0,0,0
6,"SANS JIMENEZ, MIQUEL ANGEL",SP. ATº CIUTAT DE PALMA,Suplente,Local,FERRERIES A,28,0,0,0,45
8,"FERNÁNDEZ CASSO, ALBERTO",SP. ATº CIUTAT DE PALMA,Suplente,Local,FERRERIES A,28,0,0,0,4
9,"ABRAHAM BOLAÑOS, ISAAC",SP. ATº CIUTAT DE PALMA,Suplente,Local,FERRERIES A,28,0,0,0,19
14,"AMENGUAL LIRIO, IVAN",SP. ATº CIUTAT DE PALMA,Suplente,Local,FERRERIES A,28,0,0,0,27
18,"CORTES MONTANER, LUIS",SP. ATº CIUTAT DE PALMA,Suplente,Local,FERRERIES A,28,0,0,0,19
1,"SCHMIDT LOPEZ, JHAIRO EWELL",FERRERIES A,Titular,Visitante,SP. ATº CIUTAT DE PALMA,28,0,0,0,90
3,"FLORIT TAJUELO, HECTOR",FERRERIES A,Titular,Visitante,SP. ATº CIUTAT DE PALMA,28,0,1,0,90
4,"AMELLER RIUDAVETS, JOSEP",FERRERIES A,Titular,Visitante,SP. ATº CIUTAT DE PALMA,28,0,1,0,70
6,"BAGUR MOYA, HUGO",FERRERIES A,Titular,Visitante,SP. ATº CIUTAT DE PALMA,28,0,0,0,90
7,"JANER BOSCH, NOFRE",FERRERIES A,Titular,Visitante,SP. ATº CIUTAT DE PALMA,28,0,1,0,90
8,"GOMILA BOSCH, LLUÍS",FERRERIES A,Titular,Visitante,SP. ATº CIUTAT DE PALMA,28,0,0,0,90
9,"FEBRER VILLALONGA, ALBERT",FERRERIES A,Titular,Visitante,SP. ATº CIUTAT DE PALMA,28,0,0,0,90
11,"CANTALAPIEDRA LOBATO, IKER",FERRERIES A,Titular,Visitante,SP. ATº CIUTAT DE PALMA,28,0,0,0,90
14,"FAMIGLIETTI MARQUEZ, LUCA",FERRERIES A,Titular,Visitante,SP. ATº CIUTAT DE PALMA,28,0,0,0,90
15,"BOSCH VALDERRABANO, TONI",FERRERIES A,Titular,Visitante,SP. ATº CIUTAT DE PALMA,28,0,0,0,90
17,"PONS CARRERAS, ANGEL",FERRERIES A,Titular,Visitante,SP. ATº CIUTAT DE PALMA,28,0,0,0,60
2,"FLORES BARRERA, GERARD",FERRERIES A,Suplente,Visitante,SP. ATº CIUTAT DE PALMA,28,0,0,0,0
5,"SINTES PONS, PAU",FERRERIES A,Suplente,Visitante,SP. ATº CIUTAT DE PALMA,28,0,0,0,20
10,"BOSCH PULIDO, NIL",FERRERIES A,Suplente,Visitante,SP. ATº CIUTAT DE PALMA,28,0,0,0,0
16,"MARIN HERNANDEZ, PAU",FERRERIES A,Suplente,Visitante,SP. ATº CIUTAT DE PALMA,28,0,0,0,30
23,"BAGUR PONS, JUAN CARLOS",FERRERIES A,Suplente,Visitante,SP. ATº CIUTAT DE PALMA,28,0,0,0,0
