numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
1,"MONTES DOMINGUEZ, ALBERTO",U D IBIZA A,Titular,Local,SAN FRANCISCO B,28,0,0,0,90
2,"AGUILAR COSTA, MARTÍ",U D IBIZA A,Titular,Local,SAN FRANCISCO B,28,0,0,0,74
3,"PERIAÑEZ RODRIGUEZ, DANIEL",U D IBIZA A,Titular,Local,SAN FRANCISCO B,28,0,0,0,74
4,"RODRIGUEZ MARTOS, AARON",U D IBIZA A,Titular,Local,SAN FRANCISCO B,28,0,0,0,90
5,"BALBURE CARDONA, ALEX",U D IBIZA A,Titular,Local,SAN FRANCISCO B,28,0,0,0,90
6,"TORRES RIERA, LLUC",U D IBIZA A,Titular,Local,SAN FRANCISCO B,28,0,0,0,54
7,"BERNASCONI, SANTINO",U D IBIZA A,Titular,Local,SAN FRANCISCO B,28,0,0,0,90
8,"MARTOS VERGARA, DANIEL",U D IBIZA A,Titular,Local,SAN FRANCISCO B,28,0,0,0,54
9,"GARCIA ALBA, JAVIER",U D IBIZA A,Titular,Local,SAN FRANCISCO B,28,0,0,0,90
10,"LOPEZ CAPACETE, KENAI",U D IBIZA A,Titular,Local,SAN FRANCISCO B,28,0,0,0,90
11,"ELIAS ARANDIA, SAMUEL ABEL",U D IBIZA A,Titular,Local,SAN FRANCISCO B,28,0,0,0,90
13,"CABALLERO ENCINA, KEVIN JOSE",U D IBIZA A,Suplente,Local,SAN FRANCISCO B,28,0,0,0,0
12,"ORTIZ CHAPARRO, DAVID",U D IBIZA A,Suplente,Local,SAN FRANCISCO B,28,0,0,0,0
14,"GONZALEZ CASURIAGA, THIAGO",U D IBIZA A,Suplente,Local,SAN FRANCISCO B,28,0,0,0,0
15,"VALLS ANIORTE, TARIKU",U D IBIZA A,Suplente,Local,SAN FRANCISCO B,28,0,0,0,16
16,"TORRES RAMON, DIDAC",U D IBIZA A,Suplente,Local,SAN FRANCISCO B,28,0,0,0,36
18,"RODRIGUEZ ROIG, ARIAN",U D IBIZA A,Suplente,Local,SAN FRANCISCO B,28,0,0,0,36
19,"SANCHEZ LUIS, MARCO",U D IBIZA A,Suplente,Local,SAN FRANCISCO B,28,0,0,0,16
1,"MARTINS CORRAL, DIEGO",SAN FRANCISCO B,Titular,Visitante,U D IBIZA A,28,0,0,0,90
2,"BARRAGAN AGUILO, HECTOR DARIO",SAN FRANCISCO B,Titular,Visitante,U D IBIZA A,28,0,0,0,90
3,"SILVA SALINAS, ALEJANDRO",SAN FRANCISCO B,Titular,Visitante,U D IBIZA A,28,0,0,0,90
4,"CLADERA SOBERATS, LLORENÇ",SAN FRANCISCO B,Titular,Visitante,U D IBIZA A,28,0,0,0,90
5,"GIRALDE BAUZA, JAVIER",SAN FRANCISCO B,Titular,Visitante,U D IBIZA A,28,0,0,0,90
6,"LEDESMA COR, MATEU",SAN FRANCISCO B,Titular,Visitante,U D IBIZA A,28,0,1,0,90
7,"MASSANET CABRER, FRANCESC",SAN FRANCISCO B,Titular,Visitante,U D IBIZA A,28,0,0,0,66
8,"DIAZ ROMERO, GYLBERT",SAN FRANCISCO B,Titular,Visitante,U D IBIZA A,28,0,0,0,75
9,"SUÁREZ SERRA, ALEX",SAN FRANCISCO B,Titular,Visitante,U D IBIZA A,28,1,0,0,62
10,"LUNEGRO, BRUNO",SAN FRANCISCO B,Titular,Visitante,U D IBIZA A,28,0,0,0,75
11,"CONDE PEREIRA, ALEJANDRO MANUEL",SAN FRANCISCO B,Titular,Visitante,U D IBIZA A,28,0,1,0,90
13,"PRIOR, JUDE HARRY",SAN FRANCISCO B,Suplente,Visitante,U D IBIZA A,28,0,0,0,0
12,"RIBAS MUÑOZ, SERGI",SAN FRANCISCO B,Suplente,Visitante,U D IBIZA A,28,0,0,0,0
14,"BORDOY LEAL, PEDRO",SAN FRANCISCO B,Suplente,Visitante,U D IBIZA A,28,0,0,0,15
15,"LOPEZ CABRERA, JESUS",SAN FRANCISCO B,Suplente,Visitante,U D IBIZA A,28,0,0,0,15
16,"ANDEBUELA BARRIOS, PABLO",SAN FRANCISCO B,Suplente,Visitante,U D IBIZA A,28,0,1,0,24
17,"SALAMANCA GALERA, AITOR",SAN FRANCISCO B,Suplente,Visitante,U D IBIZA A,28,0,0,0,0
18,"ALARCON CAVERO, JOEL",SAN FRANCISCO B,Suplente,Visitante,U D IBIZA A,28,0,2,0,28
