numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
1,"SCHMIDT LOPEZ, JHAIRO EWELL",FERRERIES A,Titular,Local,ANDRATX A,29,0,0,0,90
2,"FLORES BARRERA, GERARD",FERRERIES A,Titular,Local,ANDRATX A,29,0,0,0,90
3,"FLORIT TAJUELO, HECTOR",FERRERIES A,Titular,Local,ANDRATX A,29,0,0,0,90
4,"AMELLER RIUDAVETS, JOSEP",FERRERIES A,Titular,Local,ANDRATX A,29,0,1,0,73
6,"BAGUR MOYA, HUGO",FERRERIES A,Titular,Local,ANDRATX A,29,1,0,0,90
8,"GOMILA BOSCH, LLUÍS",FERRERIES A,Titular,Local,ANDRATX A,29,0,0,0,73
9,"FEBRER VILLALONGA, ALBERT",FERRERIES A,Titular,Local,ANDRATX A,29,0,0,0,90
11,"CANTALAPIEDRA LOBATO, IKER",FERRERIES A,Titular,Local,ANDRATX A,29,0,0,0,79
14,"FAMIGLIETTI MARQUEZ, LUCA",FERRERIES A,Titular,Local,ANDRATX A,29,0,1,0,66
17,"PONS CARRERAS, ANGEL",FERRERIES A,Titular,Local,ANDRATX A,29,1,0,0,90
19,"DE LA PUERTA MARTORELL, JAUME",FERRERIES A,Titular,Local,ANDRATX A,29,0,1,0,66
7,"JANER BOSCH, NOFRE",FERRERIES A,Suplente,Local,ANDRATX A,29,0,0,0,0
10,"BOSCH PULIDO, NIL",FERRERIES A,Suplente,Local,ANDRATX A,29,1,0,0,24
16,"MBAYE RUIZ, MOUHAMAD YASIN",FERRERIES A,Suplente,Local,ANDRATX A,29,0,0,0,24
21,"CAMPS CARETA, PERE",FERRERIES A,Suplente,Local,ANDRATX A,29,0,0,0,11
22,"SINTES PONS, PAU",FERRERIES A,Suplente,Local,ANDRATX A,29,0,1,0,17
23,"ROTGER LÓPEZ, LLUC",FERRERIES A,Suplente,Local,ANDRATX A,29,0,0,0,17
25,"PONS MOLL, JOSEP LLUIS",FERRERIES A,Suplente,Local,ANDRATX A,29,0,0,0,0
1,"DAM, NEO DUPONT",ANDRATX A,Titular,Visitante,FERRERIES A,29,0,0,0,90
7,"LUPIAÑEZ ALEMANY, TONI",ANDRATX A,Titular,Visitante,FERRERIES A,29,0,0,0,58
9,"VARGAS RODRIGUEZ, NICOLAS",ANDRATX A,Titular,Visitante,FERRERIES A,29,0,1,0,45
10,"SANCHEZ RAMIREZ, JAVIER",ANDRATX A,Titular,Visitante,FERRERIES A,29,0,0,0,90
11,"JIMENEZ PASTOR, IKER",ANDRATX A,Titular,Visitante,FERRERIES A,29,0,0,0,58
15,"DE JUANA QUETGLAS, DIEGO",ANDRATX A,Titular,Visitante,FERRERIES A,29,0,0,0,90
16,"ROGEL ARRIAGA, BRYAN STALIN",ANDRATX A,Titular,Visitante,FERRERIES A,29,0,0,0,16
18,"AMER CASTILLO, MIGUEL",ANDRATX A,Titular,Visitante,FERRERIES A,29,0,1,0,90
20,"VILLARRAMIEL PIÑEIRO, IVAN",ANDRATX A,Titular,Visitante,FERRERIES A,29,0,1,0,73
21,"SINTES DIAZ, JOAN",ANDRATX A,Titular,Visitante,FERRERIES A,29,0,0,0,90
23,"DE JUANA QUETGLAS, SERGIO",ANDRATX A,Titular,Visitante,FERRERIES A,29,0,0,0,90
25,"GAVILAN STAHN, NOAH",ANDRATX A,Suplente,Visitante,FERRERIES A,29,0,0,0,0
2,"PATRICIO TORRRENS, JUAN",ANDRATX A,Suplente,Visitante,FERRERIES A,29,0,2,0,32
3,"ALARCON FERRER, ADRIAN",ANDRATX A,Suplente,Visitante,FERRERIES A,29,0,0,0,0
6,"TUR HORRACH, HUG",ANDRATX A,Suplente,Visitante,FERRERIES A,29,0,0,0,74
8,"ALMERING, BEPPE",ANDRATX A,Suplente,Visitante,FERRERIES A,29,0,0,0,32
12,"KRAWIETZ, FRANZ PETER",ANDRATX A,Suplente,Visitante,FERRERIES A,29,0,0,0,45
22,"HOMAR GARCIA, ROMAN",ANDRATX A,Suplente,Visitante,FERRERIES A,29,0,0,0,17
