numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
1,"MUÑOZ CAMPOY, IVAN",PENYA ARRABAL A,Titular,Local,SP. ATº CIUTAT DE PALMA,29,0,0,0,90
3,"MARTINEZ MUNTANER, SERGI",PENYA ARRABAL A,Titular,Local,SP. ATº CIUTAT DE PALMA,29,0,0,0,90
4,"MARTORELL MUDOY, JOAN",PENYA ARRABAL A,Titular,Local,SP. ATº CIUTAT DE PALMA,29,0,0,0,90
6,"MUÑOZ BAIXAULI, JUAN",PENYA ARRABAL A,Titular,Local,SP. ATº CIUTAT DE PALMA,29,0,0,0,52
8,"GARCIA HERNANDEZ, JOSE RAMON",PENYA ARRABAL A,Titular,Local,SP. ATº CIUTAT DE PALMA,29,0,0,0,90
9,"LEBRERO BENITEZ, HUGO",PENYA ARRABAL A,Titular,Local,SP. ATº CIUTAT DE PALMA,29,0,0,0,52
10,"CRESPI BARRERA, LEONARDO",PENYA ARRABAL A,Titular,Local,SP. ATº CIUTAT DE PALMA,29,0,0,0,93
17,"ARIAS BESTARD, ENZO",PENYA ARRABAL A,Titular,Local,SP. ATº CIUTAT DE PALMA,29,0,1,0,52
18,"FIOL ACEITUNO, MIQUEL",PENYA ARRABAL A,Titular,Local,SP. ATº CIUTAT DE PALMA,29,0,0,0,90
19,"CASTAÑER PECELLIN, RAFAEL",PENYA ARRABAL A,Titular,Local,SP. ATº CIUTAT DE PALMA,29,0,0,0,82
21,"RIUTORT GONZALEZ, JUAN FRANCISCO",PENYA ARRABAL A,Titular,Local,SP. ATº CIUTAT DE PALMA,29,0,0,0,90
5,"VALLESPIR TIMONER, PERE MARC",PENYA ARRABAL A,Suplente,Local,SP. ATº CIUTAT DE PALMA,29,0,0,0,0
7,"GARCES NAVARRETE, JEREMY",PENYA ARRABAL A,Suplente,Local,SP. ATº CIUTAT DE PALMA,29,0,0,0,38
12,"ECHEVERRY ISAZA, SANTIAGO",PENYA ARRABAL A,Suplente,Local,SP. ATº CIUTAT DE PALMA,29,0,0,0,8
13,"MANOLACHE POCOVI, DANIEL",PENYA ARRABAL A,Suplente,Local,SP. ATº CIUTAT DE PALMA,29,0,0,0,0
14,"MAS MAIMO, JOSEP",PENYA ARRABAL A,Suplente,Local,SP. ATº CIUTAT DE PALMA,29,0,0,0,-3
22,"MORENO PUJOL, JAVIER",PENYA ARRABAL A,Suplente,Local,SP. ATº CIUTAT DE PALMA,29,0,1,0,38
23,"SEGUI ESTEBAN, IAN",PENYA ARRABAL A,Suplente,Local,SP. ATº CIUTAT DE PALMA,29,1,0,0,38
13,"CABELLOS CRUZ, ENRIQUE",SP. ATº CIUTAT DE PALMA,Titular,Visitante,PENYA ARRABAL A,29,0,0,0,90
3,"PUJOL FONT, JAUME",SP. ATº CIUTAT DE PALMA,Titular,Visitante,PENYA ARRABAL A,29,0,1,0,74
5,"CACERES AMOROS, MATEO",SP. ATº CIUTAT DE PALMA,Titular,Visitante,PENYA ARRABAL A,29,0,0,0,87
6,"SANS JIMENEZ, MIQUEL ANGEL",SP. ATº CIUTAT DE PALMA,Titular,Visitante,PENYA ARRABAL A,29,0,0,0,90
7,"SANCHO OLIVER, PEDRO",SP. ATº CIUTAT DE PALMA,Titular,Visitante,PENYA ARRABAL A,29,1,0,0,90
10,"SARMIENTO CABAÑIN, GABRIEL A",SP. ATº CIUTAT DE PALMA,Titular,Visitante,PENYA ARRABAL A,29,0,0,0,90
11,"KRZYZYK SERRANO, PEDRO",SP. ATº CIUTAT DE PALMA,Titular,Visitante,PENYA ARRABAL A,29,0,0,0,87
14,"AMENGUAL LIRIO, IVAN",SP. ATº CIUTAT DE PALMA,Titular,Visitante,PENYA ARRABAL A,29,0,1,0,90
18,"CORTES MONTANER, LUIS",SP. ATº CIUTAT DE PALMA,Titular,Visitante,PENYA ARRABAL A,29,0,0,0,69
20,"BARRY DIALLO, MAMADOU ALIOU",SP. ATº CIUTAT DE PALMA,Titular,Visitante,PENYA ARRABAL A,29,0,0,0,90
21,"KRAUSSE, IGNACIO TOMAS",SP. ATº CIUTAT DE PALMA,Titular,Visitante,PENYA ARRABAL A,29,0,0,0,74
1,"GONZALEZ VASQUEZ, LUIS JOSE",SP. ATº CIUTAT DE PALMA,Suplente,Visitante,PENYA ARRABAL A,29,0,0,0,0
2,"MUNAR LAZARO, DANIEL",SP. ATº CIUTAT DE PALMA,Suplente,Visitante,PENYA ARRABAL A,29,0,0,0,21
4,"ORELLANA ZERDA, JORDI",SP. ATº CIUTAT DE PALMA,Suplente,Visitante,PENYA ARRABAL A,29,0,0,0,0
9,"ABRAHAM BOLAÑOS, ISAAC",SP. ATº CIUTAT DE PALMA,Suplente,Visitante,PENYA ARRABAL A,29,0,0,0,16
17,"AQUINO GUTIERREZ, DAN JOEL",SP. ATº CIUTAT DE PALMA,Suplente,Visitante,PENYA ARRABAL A,29,0,0,0,3
22,"ORDOÑEZ QUETGLAS, MARC",SP. ATº CIUTAT DE PALMA,Suplente,Visitante,PENYA ARRABAL A,29,0,0,0,3
23,"GOMEZ BLANCA, AARON",SP. ATº CIUTAT DE PALMA,Suplente,Visitante,PENYA ARRABAL A,29,0,1,0,16
