numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
13,"FATY, MALANG",PLA DE NA TESA A,Titular,Local,CONSTANCIA A,29,0,0,0,90
2,"DRAGHI, MAXIMO",PLA DE NA TESA A,Titular,Local,CONSTANCIA A,29,0,0,0,84
3,"OSEGIE AMADASUN, MARVIN ISOKEN",PLA DE NA TESA A,Titular,Local,CONSTANCIA A,29,0,0,0,90
4,"GONZALEZ OBRADOR, ENRIC",PLA DE NA TESA A,Titular,Local,CONSTANCIA A,29,0,0,0,90
5,"MARTINEZ ESPINOSA, DENIS",PLA DE NA TESA A,Titular,Local,CONSTANCIA A,29,0,0,0,46
6,"COULIBALY COULIBALY, MADANE",PLA DE NA TESA A,Titular,Local,CONSTANCIA A,29,0,1,0,90
7,"MORA GISPERT, HUGO",PLA DE NA TESA A,Titular,Local,CONSTANCIA A,29,0,0,0,90
8,"ALONSO MUNICIO, PABLO",PLA DE NA TESA A,Titular,Local,CONSTANCIA A,29,0,0,0,90
9,"MONTES MORALES, ADRIAN",PLA DE NA TESA A,Titular,Local,CONSTANCIA A,29,0,0,0,75
10,"ONCALA CARAVACA, DANIEL",PLA DE NA TESA A,Titular,Local,CONSTANCIA A,29,0,0,0,90
11,"MASCARÓ SERVERA, JUAN",PLA DE NA TESA A,Titular,Local,CONSTANCIA A,29,0,0,0,82
1,"GINARD GENESTRA, PEP",PLA DE NA TESA A,Suplente,Local,CONSTANCIA A,29,0,0,0,0
12,"NAVARRO BEZARES, JAVIER",PLA DE NA TESA A,Suplente,Local,CONSTANCIA A,29,0,0,0,0
14,"CACERES COMAS, SERGI",PLA DE NA TESA A,Suplente,Local,CONSTANCIA A,29,0,0,0,15
15,"MESA ZAFRA, CHRISTIAN",PLA DE NA TESA A,Suplente,Local,CONSTANCIA A,29,0,0,0,6
16,"MONTALBAN ROMERO, MILO JERONIMO",PLA DE NA TESA A,Suplente,Local,CONSTANCIA A,29,0,0,0,44
17,"AIT SAID TAFZATI, NABIL",PLA DE NA TESA A,Suplente,Local,CONSTANCIA A,29,0,0,0,0
18,"ASAMOAH ASANTEWAA, DENIS",PLA DE NA TESA A,Suplente,Local,CONSTANCIA A,29,0,0,0,8
13,"BOVER LLOMPART, JOSEP",CONSTANCIA A,Titular,Visitante,PLA DE NA TESA A,29,0,0,0,90
4,"ROMERO FELIU, ANDREU",CONSTANCIA A,Titular,Visitante,PLA DE NA TESA A,29,0,0,0,90
5,"FONTCUBERTA GALINDO, GABRIEL",CONSTANCIA A,Titular,Visitante,PLA DE NA TESA A,29,0,0,0,90
6,"BOTELLO CARMONA, PAU",CONSTANCIA A,Titular,Visitante,PLA DE NA TESA A,29,0,0,0,90
7,"MARTIN MONSALVE, IAN",CONSTANCIA A,Titular,Visitante,PLA DE NA TESA A,29,1,0,0,84
8,"COMPANY INGLA, JAUME",CONSTANCIA A,Titular,Visitante,PLA DE NA TESA A,29,0,1,0,90
14,"MORENO GODOY, NICOLAS",CONSTANCIA A,Titular,Visitante,PLA DE NA TESA A,29,0,0,0,90
16,"OLIVER GELABERT, PERE",CONSTANCIA A,Titular,Visitante,PLA DE NA TESA A,29,0,1,0,60
18,"PATRICIO GUAL, MARC",CONSTANCIA A,Titular,Visitante,PLA DE NA TESA A,29,0,0,0,89
22,"MAIRATA NOGUERA, ADRIA",CONSTANCIA A,Titular,Visitante,PLA DE NA TESA A,29,0,0,0,90
23,"BLANCO WEBER, LUCA",CONSTANCIA A,Titular,Visitante,PLA DE NA TESA A,29,0,1,0,60
1,"MIR OLMO, JORDI",CONSTANCIA A,Suplente,Visitante,PLA DE NA TESA A,29,0,0,0,0
3,"ROMAN DE REMENTERIA, ASIER",CONSTANCIA A,Suplente,Visitante,PLA DE NA TESA A,29,0,0,0,30
9,"BALLE BRUNET, JOAN",CONSTANCIA A,Suplente,Visitante,PLA DE NA TESA A,29,0,0,0,30
11,"COLL AREVALO, JORDI",CONSTANCIA A,Suplente,Visitante,PLA DE NA TESA A,29,0,0,0,0
17,"SABATER SANCHO, MARC",CONSTANCIA A,Suplente,Visitante,PLA DE NA TESA A,29,0,0,0,0
19,"GALVEZ ESPINOZA, BRAD ANTONY",CONSTANCIA A,Suplente,Visitante,PLA DE NA TESA A,29,0,0,0,6
20,"CHUKWUKERE PULLET, GREGORY IKECHUKWU",CONSTANCIA A,Suplente,Visitante,PLA DE NA TESA A,29,0,0,0,1
