numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
13,"MARTINS CORRAL, DIEGO",SAN FRANCISCO B,Titular,Local,PENYA CIUTADELLA ESPORTIVA A,29,0,0,0,90
2,"BARRAGAN AGUILO, HECTOR DARIO",SAN FRANCISCO B,Titular,Local,PENYA CIUTADELLA ESPORTIVA A,29,0,0,0,90
3,"SILVA SALINAS, ALEJANDRO",SAN FRANCISCO B,Titular,Local,PENYA CIUTADELLA ESPORTIVA A,29,0,1,0,90
4,"ANDEBUELA BARRIOS, PABLO",SAN FRANCISCO B,Titular,Local,PENYA CIUTADELLA ESPORTIVA A,29,0,0,0,90
5,"GIRALDE BAUZA, JAVIER",SAN FRANCISCO B,Titular,Local,PENYA CIUTADELLA ESPORTIVA A,29,0,1,0,90
6,"LEDESMA COR, MATEU",SAN FRANCISCO B,Titular,Local,PENYA CIUTADELLA ESPORTIVA A,29,0,0,0,90
7,"MASSANET CABRER, FRANCESC",SAN FRANCISCO B,Titular,Local,PENYA CIUTADELLA ESPORTIVA A,29,0,0,0,54
8,"LUNEGRO, BRUNO",SAN FRANCISCO B,Titular,Local,PENYA CIUTADELLA ESPORTIVA A,29,0,0,0,77
9,"CONDE PEREIRA, ALEJANDRO MANUEL",SAN FRANCISCO B,Titular,Local,PENYA CIUTADELLA ESPORTIVA A,29,0,0,0,54
10,"GALLARDO DEL VALLE, BENJAMIN",SAN FRANCISCO B,Titular,Local,PENYA CIUTADELLA ESPORTIVA A,29,1,0,0,90
11,"BADJINKA NDIAYE, BUBAKAR",SAN FRANCISCO B,Titular,Local,PENYA CIUTADELLA ESPORTIVA A,29,0,0,0,83
1,"PRIOR, JUDE HARRY",SAN FRANCISCO B,Suplente,Local,PENYA CIUTADELLA ESPORTIVA A,29,0,0,0,0
12,"LOPEZ CABRERA, JESUS",SAN FRANCISCO B,Suplente,Local,PENYA CIUTADELLA ESPORTIVA A,29,0,0,0,0
14,"CLADERA SOBERATS, LLORENÇ",SAN FRANCISCO B,Suplente,Local,PENYA CIUTADELLA ESPORTIVA A,29,0,0,0,13
15,"BORDOY LEAL, PEDRO",SAN FRANCISCO B,Suplente,Local,PENYA CIUTADELLA ESPORTIVA A,29,0,0,0,7
16,"DIAZ ROMERO, GYLBERT",SAN FRANCISCO B,Suplente,Local,PENYA CIUTADELLA ESPORTIVA A,29,0,0,0,0
17,"PADILLA BORRAS, PERE",SAN FRANCISCO B,Suplente,Local,PENYA CIUTADELLA ESPORTIVA A,29,0,0,0,36
18,"SUÁREZ SERRA, ALEX",SAN FRANCISCO B,Suplente,Local,PENYA CIUTADELLA ESPORTIVA A,29,0,0,0,36
1,"GOMILA GOMILA, JOAN",PENYA CIUTADELLA ESPORTIVA A,Titular,Visitante,SAN FRANCISCO B,29,0,0,0,90
3,"JUANEDA JUANEDA, JOSEP",PENYA CIUTADELLA ESPORTIVA A,Titular,Visitante,SAN FRANCISCO B,29,0,0,0,77
5,"BERNAL VOIGT, YAMPEL RICHARD",PENYA CIUTADELLA ESPORTIVA A,Titular,Visitante,SAN FRANCISCO B,29,0,0,0,90
6,"RUS FERNANDEZ, IGNASI",PENYA CIUTADELLA ESPORTIVA A,Titular,Visitante,SAN FRANCISCO B,29,0,1,0,90
7,"DIAZ LLABRES, ISAAC",PENYA CIUTADELLA ESPORTIVA A,Titular,Visitante,SAN FRANCISCO B,29,0,0,0,71
9,"TRIAY SASTRE, ADRIA",PENYA CIUTADELLA ESPORTIVA A,Titular,Visitante,SAN FRANCISCO B,29,1,1,0,71
10,"PONS MOLL, FRANCESC",PENYA CIUTADELLA ESPORTIVA A,Titular,Visitante,SAN FRANCISCO B,29,0,0,0,90
11,"LOPEZ GONZALEZ, ALEJANDRO",PENYA CIUTADELLA ESPORTIVA A,Titular,Visitante,SAN FRANCISCO B,29,0,0,0,58
16,"PONCIANO BUESO, JOSEP",PENYA CIUTADELLA ESPORTIVA A,Titular,Visitante,SAN FRANCISCO B,29,0,0,0,58
21,"MARQUES BAGUR, JOAN",PENYA CIUTADELLA ESPORTIVA A,Titular,Visitante,SAN FRANCISCO B,29,0,0,1,90
22,"CAMPS SEOANE, VICTOR",PENYA CIUTADELLA ESPORTIVA A,Titular,Visitante,SAN FRANCISCO B,29,0,0,0,90
4,"FEDELICH MARQUES, JAN",PENYA CIUTADELLA ESPORTIVA A,Suplente,Visitante,SAN FRANCISCO B,29,0,0,0,32
8,"FLORIT ANGLADA, JOSEP",PENYA CIUTADELLA ESPORTIVA A,Suplente,Visitante,SAN FRANCISCO B,29,0,0,0,13
12,"LEON JUAN, VICTOR",PENYA CIUTADELLA ESPORTIVA A,Suplente,Visitante,SAN FRANCISCO B,29,0,0,0,19
13,"RIOJA GUILLEN, ALFONSO",PENYA CIUTADELLA ESPORTIVA A,Suplente,Visitante,SAN FRANCISCO B,29,0,0,0,0
17,"PASCUAL GORNES, ENRIC",PENYA CIUTADELLA ESPORTIVA A,Suplente,Visitante,SAN FRANCISCO B,29,0,0,0,19
18,"HUGUET ANGLADA, LLUIS",PENYA CIUTADELLA ESPORTIVA A,Suplente,Visitante,SAN FRANCISCO B,29,0,0,0,32
