numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
1,"MADROÑERO CONTRERAS, DAYRON",SANTA CATALINA ATº A,Titular,Local,PLATGES DE CALVIA A,29,0,0,0,90
2,"VICH FORTEZA, LLUC",SANTA CATALINA ATº A,Titular,Local,PLATGES DE CALVIA A,29,0,0,0,90
4,"PALAU ORDINAS, MIQUEL",SANTA CATALINA ATº A,Titular,Local,PLATGES DE CALVIA A,29,0,0,0,90
7,"ADROVER MELIS, FRANCESC",SANTA CATALINA ATº A,Titular,Local,PLATGES DE CALVIA A,29,0,1,0,92
8,"LOPEZ FUXA, AARON",SANTA CATALINA ATº A,Titular,Local,PLATGES DE CALVIA A,29,0,0,0,90
10,"FERNANDEZ REY, RAUL",SANTA CATALINA ATº A,Titular,Local,PLATGES DE CALVIA A,29,1,1,0,90
14,"KOPACH, DANIIL",SANTA CATALINA ATº A,Titular,Local,PLATGES DE CALVIA A,29,0,0,0,90
18,"MARTIN CABALLERO, ANGEL",SANTA CATALINA ATº A,Titular,Local,PLATGES DE CALVIA A,29,0,0,0,46
19,"MENDOZA SOLER, MARIO",SANTA CATALINA ATº A,Titular,Local,PLATGES DE CALVIA A,29,0,1,0,55
21,"EZ ZARY SAIDI, ISMAEL",SANTA CATALINA ATº A,Titular,Local,PLATGES DE CALVIA A,29,0,0,0,55
22,"ALARCON RAGO, THIAGO",SANTA CATALINA ATº A,Titular,Local,PLATGES DE CALVIA A,29,0,1,0,90
3,"ARROYO BERNAT, ALEJANDRO",SANTA CATALINA ATº A,Suplente,Local,PLATGES DE CALVIA A,29,0,0,0,0
5,"DEYÀ BELTRÁN, SEBASTIÀ",SANTA CATALINA ATº A,Suplente,Local,PLATGES DE CALVIA A,29,0,0,0,35
6,"GARCIAS LLABRES, MIQUEL",SANTA CATALINA ATº A,Suplente,Local,PLATGES DE CALVIA A,29,0,0,0,-2
9,"LOMAS SERVERA, PAU",SANTA CATALINA ATº A,Suplente,Local,PLATGES DE CALVIA A,29,0,1,0,35
11,"MASCARELL LLABRES, MARC",SANTA CATALINA ATº A,Suplente,Local,PLATGES DE CALVIA A,29,0,0,0,44
13,"ROIG VEGA, MATEO",SANTA CATALINA ATº A,Suplente,Local,PLATGES DE CALVIA A,29,0,0,0,0
16,"ENTRENA CALDENTEY, MANUEL",SANTA CATALINA ATº A,Suplente,Local,PLATGES DE CALVIA A,29,0,0,0,0
25,"VALENZUELA BIERMAN, NOAH",PLATGES DE CALVIA A,Titular,Visitante,SANTA CATALINA ATº A,29,0,0,0,90
5,"GARCIA MEDRANO, MARCOS",PLATGES DE CALVIA A,Titular,Visitante,SANTA CATALINA ATº A,29,0,0,0,90
6,"MATAS OLIVER, PABLO",PLATGES DE CALVIA A,Titular,Visitante,SANTA CATALINA ATº A,29,0,1,0,90
8,"GARCÍA RODRÍGUEZ, UNAI",PLATGES DE CALVIA A,Titular,Visitante,SANTA CATALINA ATº A,29,0,0,0,90
9,"CASAUS SANCHEZ, JOSE IGNACIO",PLATGES DE CALVIA A,Titular,Visitante,SANTA CATALINA ATº A,29,0,1,0,90
10,"EXPOSITO BINNEWIES, ALEJANDRO",PLATGES DE CALVIA A,Titular,Visitante,SANTA CATALINA ATº A,29,1,0,0,90
11,"PARRA VIZUETE, DANIEL",PLATGES DE CALVIA A,Titular,Visitante,SANTA CATALINA ATº A,29,0,0,0,90
14,"MAGAN MITCHELL SMITH, MIGUEL",PLATGES DE CALVIA A,Titular,Visitante,SANTA CATALINA ATº A,29,0,0,0,58
19,"CARDONA MARTIN, MARCOS",PLATGES DE CALVIA A,Titular,Visitante,SANTA CATALINA ATº A,29,0,0,0,46
21,"CABRERA FERRA, LIAM",PLATGES DE CALVIA A,Titular,Visitante,SANTA CATALINA ATº A,29,0,1,0,90
22,"HOLLINGSWORTH, HARRY RICHARD",PLATGES DE CALVIA A,Titular,Visitante,SANTA CATALINA ATº A,29,0,0,0,90
1,"RODRIGUEZ GUASP, JORDI",PLATGES DE CALVIA A,Suplente,Visitante,SANTA CATALINA ATº A,29,0,0,0,0
2,"GAYUBAS GONZALEZ, LUIS MIGUEL",PLATGES DE CALVIA A,Suplente,Visitante,SANTA CATALINA ATº A,29,0,0,0,0
3,"ALCOLEA ESCORCIA, CARLOS",PLATGES DE CALVIA A,Suplente,Visitante,SANTA CATALINA ATº A,29,0,0,0,0
7,"HOMANN KRIEK, KHEIDIN GERALD",PLATGES DE CALVIA A,Suplente,Visitante,SANTA CATALINA ATº A,29,0,0,0,0
17,"PEREZ SILVENTE, ALEJANDRO",PLATGES DE CALVIA A,Suplente,Visitante,SANTA CATALINA ATº A,29,0,0,0,44
18,"PORTO PASCUAL, JUAN",PLATGES DE CALVIA A,Suplente,Visitante,SANTA CATALINA ATº A,29,0,0,0,0
20,"PUJOL ALOMAR, TELM",PLATGES DE CALVIA A,Suplente,Visitante,SANTA CATALINA ATº A,29,0,0,0,32
