numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
13,"SILVA GIORGIO, AGUSTIN",SD LA SALLE A,Titular,Local,POBLENSE A,29,0,0,0,90
2,"SANCHEZ LAFUENTE, ARITZ",SD LA SALLE A,Titular,Local,POBLENSE A,29,0,0,0,90
4,"VIZCAINO SEGURA, ALAN",SD LA SALLE A,Titular,Local,POBLENSE A,29,1,1,0,90
5,"PUYA TUR, OSCAR",SD LA SALLE A,Titular,Local,POBLENSE A,29,0,0,0,78
6,"CORTES BOIXO, ALEIX",SD LA SALLE A,Titular,Local,POBLENSE A,29,0,0,0,78
7,"ARBOS DENGRA, DIEGO",SD LA SALLE A,Titular,Local,POBLENSE A,29,0,0,0,90
8,"COMAS HUTTEN, PAU LLUIS",SD LA SALLE A,Titular,Local,POBLENSE A,29,0,0,0,72
9,"TORRALBA TANUGGI, LUIS",SD LA SALLE A,Titular,Local,POBLENSE A,29,1,0,0,90
10,"RODRIGUEZ MONGELOS, GAEL PAU",SD LA SALLE A,Titular,Local,POBLENSE A,29,0,0,0,72
11,"FERNANDEZ CABRERA, DAVID",SD LA SALLE A,Titular,Local,POBLENSE A,29,0,0,0,90
20,"VIVARES ARANDA, YANNICK",SD LA SALLE A,Titular,Local,POBLENSE A,29,0,0,0,65
12,"ESCUERO PARDOS, MARTI",SD LA SALLE A,Suplente,Local,POBLENSE A,29,0,0,0,25
14,"AMAYA MALENO, FRANCISCO",SD LA SALLE A,Suplente,Local,POBLENSE A,29,0,0,0,18
15,"GIL MASSANET, LLUIS",SD LA SALLE A,Suplente,Local,POBLENSE A,29,0,0,0,0
16,"GOMILA GAMERO, FRANCISCO",SD LA SALLE A,Suplente,Local,POBLENSE A,29,0,0,0,12
17,"MARTI RODRIGUEZ, IVAN",SD LA SALLE A,Suplente,Local,POBLENSE A,29,0,0,0,12
18,"SALMERON SEGURA, JONATHAN",SD LA SALLE A,Suplente,Local,POBLENSE A,29,0,0,1,18
13,"OLIVER RAMIS, PEP",POBLENSE A,Titular,Visitante,SD LA SALLE A,29,0,0,0,90
4,"ENSEÑAT RAMIS, MIQUEL",POBLENSE A,Titular,Visitante,SD LA SALLE A,29,0,0,0,90
5,"DE LA CRUZ RIERA, JOAN MATEU",POBLENSE A,Titular,Visitante,SD LA SALLE A,29,0,0,0,90
6,"AGUILERA PERELLO, ADRIÀ",POBLENSE A,Titular,Visitante,SD LA SALLE A,29,0,0,0,90
10,"CHICA COMAS, JUAN A",POBLENSE A,Titular,Visitante,SD LA SALLE A,29,2,1,0,90
11,"RETTICH SOLER, JOSEP",POBLENSE A,Titular,Visitante,SD LA SALLE A,29,0,0,0,90
18,"MORAGUES MORAGUES, JOAN",POBLENSE A,Titular,Visitante,SD LA SALLE A,29,1,0,0,71
20,"FERNANDEZ HEREDIA, ALEJANDRO",POBLENSE A,Titular,Visitante,SD LA SALLE A,29,0,2,0,90
21,"VIVES COMAS, JOAN JORDI",POBLENSE A,Titular,Visitante,SD LA SALLE A,29,0,0,0,90
23,"RIERA MARTÍNEZ, FERRAN",POBLENSE A,Titular,Visitante,SD LA SALLE A,29,0,0,0,46
24,"TUR ESCALAS, TONI",POBLENSE A,Titular,Visitante,SD LA SALLE A,29,0,0,0,90
1,"BOUJJIA LAMRINI, AMIN",POBLENSE A,Suplente,Visitante,SD LA SALLE A,29,0,0,0,0
2,"GIBSON, JASPER",POBLENSE A,Suplente,Visitante,SD LA SALLE A,29,0,0,0,19
7,"CAIMARI FIGUEROLA, JAUME",POBLENSE A,Suplente,Visitante,SD LA SALLE A,29,0,0,0,0
8,"THIAM BORRAS, KARIM",POBLENSE A,Suplente,Visitante,SD LA SALLE A,29,0,0,0,0
9,"FERRER RIGO, SEBASTIÀ",POBLENSE A,Suplente,Visitante,SD LA SALLE A,29,0,0,0,44
12,"MEFTAH ES SALEMY, BILAL",POBLENSE A,Suplente,Visitante,SD LA SALLE A,29,0,0,0,0
22,"GONZÁLEZ ONETO, ASSIER",POBLENSE A,Suplente,Visitante,SD LA SALLE A,29,0,0,0,0
