numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
1,"GASCON SASTRE, IKER",UD MAHON,Titular,Local,MALLORCA B,29,0,0,0,90
2,"IZAGUIRRE RODRIGUEZ, RICARDO ABRAHAM",UD MAHON,Titular,Local,MALLORCA B,29,0,0,0,70
4,"DE LA PUENTE JAÑEZ, NICOLAS",UD MAHON,Titular,Local,MALLORCA B,29,0,1,0,90
5,"GOMEZ SANTOS, JUAN",UD MAHON,Titular,Local,MALLORCA B,29,0,0,0,90
6,"DIALLO, FODE",UD MAHON,Titular,Local,MALLORCA B,29,0,1,0,45
7,"GRUBAC, NOA",UD MAHON,Titular,Local,MALLORCA B,29,0,0,0,45
8,"MASCARO MARTINEZ, IKER",UD MAHON,Titular,Local,MALLORCA B,29,0,0,0,90
9,"TEJEDOR MORENO, ALEJANDRO",UD MAHON,Titular,Local,MALLORCA B,29,0,0,0,70
10,"PEREZ MARTIN, IGNACIO",UD MAHON,Titular,Local,MALLORCA B,29,0,0,0,90
11,"DE OLIVEIRA MESSIAS, EMMANUEL",UD MAHON,Titular,Local,MALLORCA B,29,0,0,0,61
14,"SINTES MELERO, ALVARO",UD MAHON,Titular,Local,MALLORCA B,29,0,0,0,90
3,"LASSO VIAFARA, ANDRES FELIPE",UD MAHON,Suplente,Local,MALLORCA B,29,0,0,0,0
12,"NGONG NGO, FABRICE",UD MAHON,Suplente,Local,MALLORCA B,29,0,0,0,20
13,"LASSO VIAFARA, DUVAN FELIPE",UD MAHON,Suplente,Local,MALLORCA B,29,0,0,0,0
15,"ELHADJ ABDOULAYE, BALDE",UD MAHON,Suplente,Local,MALLORCA B,29,0,0,0,45
16,"ESPINOZA ARMIJOS, CARLOS ANDRES",UD MAHON,Suplente,Local,MALLORCA B,29,0,0,0,45
17,"LOPEZ FERNANDEZ, MARC",UD MAHON,Suplente,Local,MALLORCA B,29,1,0,0,29
18,"BOLIVAR PERAL, ROGER",UD MAHON,Suplente,Local,MALLORCA B,29,0,0,0,20
1,"VALLBONA SERRA, JOAN",MALLORCA B,Titular,Visitante,UD MAHON,29,0,1,0,90
2,"VERD ALONSO, ABEL",MALLORCA B,Titular,Visitante,UD MAHON,29,0,0,0,90
3,"FRESNEDA HIDALGO, HUGO",MALLORCA B,Titular,Visitante,UD MAHON,29,0,0,0,76
4,"D'VAZ AFONSO, SPENCER GARCIA",MALLORCA B,Titular,Visitante,UD MAHON,29,0,1,0,90
5,"ALEMANY TOUS, MARC",MALLORCA B,Titular,Visitante,UD MAHON,29,0,0,0,90
6,"BURGAYA GENOVART, FERRAN",MALLORCA B,Titular,Visitante,UD MAHON,29,0,0,0,90
7,"DIALLO CONDE, ABDOURAHAMANE",MALLORCA B,Titular,Visitante,UD MAHON,29,0,0,0,56
8,"COCA ANTELO, ANDREW",MALLORCA B,Titular,Visitante,UD MAHON,29,0,0,0,56
9,"SIDIROPOULOS, ANASTASIOS",MALLORCA B,Titular,Visitante,UD MAHON,29,1,0,0,90
10,"LAZARO TORRES, MARIO",MALLORCA B,Titular,Visitante,UD MAHON,29,0,0,0,90
11,"MOLINA DONAIRE, DANIEL",MALLORCA B,Titular,Visitante,UD MAHON,29,0,0,0,76
12,"VERA SALINAS, ERIK",MALLORCA B,Suplente,Visitante,UD MAHON,29,0,0,0,0
13,"CALDES SIMONET, CARLES",MALLORCA B,Suplente,Visitante,UD MAHON,29,0,0,0,0
14,"TEJADA LLADONET, ORIOL",MALLORCA B,Suplente,Visitante,UD MAHON,29,0,0,0,14
15,"HORRACH LLABRES, GERARDO",MALLORCA B,Suplente,Visitante,UD MAHON,29,0,0,0,34
16,"AVILÉS MAESTRE, JOEL",MALLORCA B,Suplente,Visitante,UD MAHON,29,1,1,0,34
17,"GARCIA LLOMPART, RAFEL",MALLORCA B,Suplente,Visitante,UD MAHON,29,0,0,0,14
18,"CORCINO MUÑOZ, ANDRES",MALLORCA B,Suplente,Visitante,UD MAHON,29,0,0,0,20
