numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
1,"MERCADAL CARRERAS, JOSEP",MALLORCA B,Titular,Local,PLATGES DE CALVIA A,2,0,0,0,90
2,"VERD ALONSO, ABEL",MALLORCA B,Titular,Local,PLATGES DE CALVIA A,2,0,0,0,66
3,"TEJADA LLADONET, ORIOL",MALLORCA B,Titular,Local,PLATGES DE CALVIA A,2,0,0,0,78
4,"VERA SALINAS, ERIK",MALLORCA B,Titular,Local,PLATGES DE CALVIA A,2,1,0,0,90
5,"VAN DER MEER GARI, YANNICK",MALLORCA B,Titular,Local,PLATGES DE CALVIA A,2,0,0,0,90
6,"BURGAYA GENOVART, FERRAN",MALLORCA B,Titular,Local,PLATGES DE CALVIA A,2,0,0,0,90
7,"GARCIA LLOMPART, RAFEL",MALLORCA B,Titular,Local,PLATGES DE CALVIA A,2,1,0,0,60
8,"BIARNES MORENO, ALEJANDRO",MALLORCA B,Titular,Local,PLATGES DE CALVIA A,2,0,0,0,90
9,"WHYTE ODUNZE, MICHAEL IKENNA",MALLORCA B,Titular,Local,PLATGES DE CALVIA A,2,0,0,0,90
10,"HORRACH LLABRES, GERARDO",MALLORCA B,Titular,Local,PLATGES DE CALVIA A,2,0,1,0,78
11,"CORCINO MUÑOZ, ANDRES",MALLORCA B,Titular,Local,PLATGES DE CALVIA A,2,0,0,0,60
12,"ALEMANY TOUS, MARC",MALLORCA B,Suplente,Local,PLATGES DE CALVIA A,2,0,0,0,0
13,"VALLBONA SERRA, JOAN",MALLORCA B,Suplente,Local,PLATGES DE CALVIA A,2,0,0,0,0
14,"FRESNEDA HIDALGO, HUGO",MALLORCA B,Suplente,Local,PLATGES DE CALVIA A,2,0,0,0,12
15,"COCA ANTELO, ANDREW",MALLORCA B,Suplente,Local,PLATGES DE CALVIA A,2,0,0,0,24
16,"LAZARO TORRES, MARIO",MALLORCA B,Suplente,Local,PLATGES DE CALVIA A,2,0,0,0,30
17,"MOLINA DONAIRE, DANIEL",MALLORCA B,Suplente,Local,PLATGES DE CALVIA A,2,0,0,0,30
18,"ARAQUE CARRASCOSA, AITOR",MALLORCA B,Suplente,Local,PLATGES DE CALVIA A,2,1,0,0,12
25,"RODRIGUEZ GUASP, JORDI",PLATGES DE CALVIA A,Titular,Visitante,MALLORCA B,2,0,0,0,90
2,"GAYUBAS GONZALEZ, LUIS MIGUEL",PLATGES DE CALVIA A,Titular,Visitante,MALLORCA B,2,0,0,0,46
4,"LOUNADI MUNAR, SAMUEL",PLATGES DE CALVIA A,Titular,Visitante,MALLORCA B,2,0,0,0,90
5,"GARCIA MEDRANO, MARCOS",PLATGES DE CALVIA A,Titular,Visitante,MALLORCA B,2,0,0,0,90
7,"SANCHIS MARTINEZ, DAVID",PLATGES DE CALVIA A,Titular,Visitante,MALLORCA B,2,0,0,0,65
10,"EXPOSITO BINNEWIES, ALEJANDRO",PLATGES DE CALVIA A,Titular,Visitante,MALLORCA B,2,1,0,0,90
11,"PARRA VIZUETE, DANIEL",PLATGES DE CALVIA A,Titular,Visitante,MALLORCA B,2,0,0,0,86
14,"PEREZ SILVENTE, ALEJANDRO",PLATGES DE CALVIA A,Titular,Visitante,MALLORCA B,2,0,0,0,65
16,"MATAS OLIVER, PABLO",PLATGES DE CALVIA A,Titular,Visitante,MALLORCA B,2,0,0,0,90
20,"PUJOL ALOMAR, TELM",PLATGES DE CALVIA A,Titular,Visitante,MALLORCA B,2,0,0,0,84
21,"CABRERA FERRA, LIAM",PLATGES DE CALVIA A,Titular,Visitante,MALLORCA B,2,0,0,0,90
1,"DE SOUZA BUSTAMANTE, IZAN LUCAS",PLATGES DE CALVIA A,Suplente,Visitante,MALLORCA B,2,0,0,0,0
3,"ALCOLEA ESCORCIA, CARLOS",PLATGES DE CALVIA A,Suplente,Visitante,MALLORCA B,2,0,0,0,25
8,"GARCÍA RODRÍGUEZ, UNAI",PLATGES DE CALVIA A,Suplente,Visitante,MALLORCA B,2,0,0,0,4
9,"CASAUS SANCHEZ, JOSE IGNACIO",PLATGES DE CALVIA A,Suplente,Visitante,MALLORCA B,2,0,0,0,44
12,"CARDONA MARTIN, MARCOS",PLATGES DE CALVIA A,Suplente,Visitante,MALLORCA B,2,0,0,0,25
17,"FERRAGUT DIAZ, TONI",PLATGES DE CALVIA A,Suplente,Visitante,MALLORCA B,2,0,0,0,6
22,"HOLLINGSWORTH, HARRY RICHARD",PLATGES DE CALVIA A,Suplente,Visitante,MALLORCA B,2,0,0,0,0
