numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
1,"RADO ASENCIO, IKER",MANACOR A,Titular,Local,ANDRATX A,2,0,0,0,90
2,"LAMSIAH AJGHOUF, OSSAMA",MANACOR A,Titular,Local,ANDRATX A,2,0,0,0,90
3,"DIMITROV, DIMITAR DIMITROV",MANACOR A,Titular,Local,ANDRATX A,2,0,0,0,71
6,"MORENO CALDENTEY, JAIME I",MANACOR A,Titular,Local,ANDRATX A,2,0,0,0,90
7,"LAKHAL ZEROUALE, SAAD",MANACOR A,Titular,Local,ANDRATX A,2,0,0,0,71
8,"MARCOS MONGE, IKER",MANACOR A,Titular,Local,ANDRATX A,2,0,0,0,82
10,"POSTIGO GARAT, RAUL",MANACOR A,Titular,Local,ANDRATX A,2,0,1,0,90
11,"CORCHADO JIMENEZ, ISAAC",MANACOR A,Titular,Local,ANDRATX A,2,0,0,0,61
14,"GUICHANDUT GOMILA, MARC",MANACOR A,Titular,Local,ANDRATX A,2,0,0,0,90
17,"ARCOS MUÑOZ, IKER",MANACOR A,Titular,Local,ANDRATX A,2,0,0,0,61
22,"MONTES CARDONA, CHRISTIAN",MANACOR A,Titular,Local,ANDRATX A,2,0,0,0,90
12,"ORTIZ CARROZA, ABRAHAM",MANACOR A,Suplente,Local,ANDRATX A,2,0,0,0,19
13,"GARCIA MESTRE, DAVID",MANACOR A,Suplente,Local,ANDRATX A,2,0,0,0,0
16,"MESTRE RIBOT, PAU",MANACOR A,Suplente,Local,ANDRATX A,2,0,0,0,29
18,"SOLER CALDENTEY, JOEL",MANACOR A,Suplente,Local,ANDRATX A,2,0,0,0,0
19,"RODRIGUEZ LOPEZ, RAUL",MANACOR A,Suplente,Local,ANDRATX A,2,0,0,0,8
20,"ADROVER GARRIDO, GERARD",MANACOR A,Suplente,Local,ANDRATX A,2,0,0,0,29
21,"TRIAY PETHERAM, TOMAS ISMAEL",MANACOR A,Suplente,Local,ANDRATX A,2,0,0,0,19
13,"HURTADO LOPEZ, IVAN",ANDRATX A,Titular,Visitante,MANACOR A,2,0,0,0,90
4,"SANCHEZ JIMENEZ, FERNANDO",ANDRATX A,Titular,Visitante,MANACOR A,2,0,1,0,90
7,"LUPIAÑEZ ALEMANY, TONI",ANDRATX A,Titular,Visitante,MANACOR A,2,0,0,0,90
9,"VARGAS RODRIGUEZ, NICOLAS",ANDRATX A,Titular,Visitante,MANACOR A,2,0,0,0,82
10,"SANCHEZ RAMIREZ, JAVIER",ANDRATX A,Titular,Visitante,MANACOR A,2,0,0,0,90
11,"JIMENEZ PASTOR, IKER",ANDRATX A,Titular,Visitante,MANACOR A,2,0,0,0,46
14,"DOBLAS TORRES, MIGUEL",ANDRATX A,Titular,Visitante,MANACOR A,2,0,0,0,90
16,"ROGEL ARRIAGA, BRYAN STALIN",ANDRATX A,Titular,Visitante,MANACOR A,2,0,0,0,90
18,"AMER CASTILLO, MIGUEL",ANDRATX A,Titular,Visitante,MANACOR A,2,0,0,0,90
20,"RIBOT FUSTER, MARIO",ANDRATX A,Titular,Visitante,MANACOR A,2,0,0,0,90
21,"SINTES DIAZ, JOAN",ANDRATX A,Titular,Visitante,MANACOR A,2,0,0,0,90
1,"SULADZE, ALEKSANDRE",ANDRATX A,Suplente,Visitante,MANACOR A,2,0,0,0,0
3,"ALARCON FERRER, ADRIAN",ANDRATX A,Suplente,Visitante,MANACOR A,2,0,0,0,0
8,"PATRICIO TORRRENS, JUAN",ANDRATX A,Suplente,Visitante,MANACOR A,2,0,0,0,44
15,"OPREA, ALESSIO MIHAI",ANDRATX A,Suplente,Visitante,MANACOR A,2,0,0,0,8
22,"GARCIA RAMOS, ADRIAN",ANDRATX A,Suplente,Visitante,MANACOR A,2,0,0,0,0
