numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
1,"SOTERAS CONTRERAS, JACOBO",PALMA F.C.,Titular,Local,UD MAHON,2,0,0,0,90
3,"VICENS VIDAL, PAU",PALMA F.C.,Titular,Local,UD MAHON,2,0,0,0,90
4,"CONDE, MAMADI",PALMA F.C.,Titular,Local,UD MAHON,2,0,0,0,90
5,"GOMEZ ACUÑA, RENSON ENRIQUE",PALMA F.C.,Titular,Local,UD MAHON,2,0,0,0,90
8,"ALLENDES SEPULVEDA, MARTIN ALONSO",PALMA F.C.,Titular,Local,UD MAHON,2,0,0,0,63
10,"NDIR GUEYE, MOUHAMADOUL LAMIN",PALMA F.C.,Titular,Local,UD MAHON,2,0,0,0,69
11,"FRANCO SINGEORZAN, ALEX",PALMA F.C.,Titular,Local,UD MAHON,2,1,0,0,90
14,"ALCALDE ORTEGA, JUAN JOSÉ",PALMA F.C.,Titular,Local,UD MAHON,2,0,0,0,30
15,"VILLALONGA GÓMEZ, IKER",PALMA F.C.,Titular,Local,UD MAHON,2,0,0,0,63
16,"GIL GOMILA, XAYRON",PALMA F.C.,Titular,Local,UD MAHON,2,0,0,0,90
18,"SAMPOL MARTINEZ, MARC",PALMA F.C.,Titular,Local,UD MAHON,2,0,0,0,69
2,"BADICU, GEORGE",PALMA F.C.,Suplente,Local,UD MAHON,2,0,0,0,60
6,"FERRA OSPINA, CARLES JOAN",PALMA F.C.,Suplente,Local,UD MAHON,2,0,0,0,21
7,"PORCEL MARTINEZ, JORDI",PALMA F.C.,Suplente,Local,UD MAHON,2,0,0,0,27
9,"SEGORBE GODOY, MARCOS",PALMA F.C.,Suplente,Local,UD MAHON,2,2,0,0,21
12,"ROMERO ALASSIA, LUCAS T",PALMA F.C.,Suplente,Local,UD MAHON,2,0,0,0,0
13,"CATRON, URIAS",PALMA F.C.,Suplente,Local,UD MAHON,2,0,0,0,0
17,"JIMENEZ JARAMILLO, KARLO ANDREU",PALMA F.C.,Suplente,Local,UD MAHON,2,0,0,0,27
13,"GASCON SASTRE, IKER",UD MAHON,Titular,Visitante,PALMA F.C.,2,0,0,0,90
2,"NGONG NGO, FABRICE",UD MAHON,Titular,Visitante,PALMA F.C.,2,0,0,0,90
3,"DE LA PUENTE JAÑEZ, NICOLAS",UD MAHON,Titular,Visitante,PALMA F.C.,2,0,0,0,90
5,"GOMEZ SANTOS, JUAN",UD MAHON,Titular,Visitante,PALMA F.C.,2,0,0,0,90
6,"PEREZ MARTIN, IGNACIO",UD MAHON,Titular,Visitante,PALMA F.C.,2,0,0,0,90
7,"DE OLIVEIRA MESSIAS, EMMANUEL",UD MAHON,Titular,Visitante,PALMA F.C.,2,1,1,0,90
8,"DE OLIVEIRA MESSIAS, KLAYVER",UD MAHON,Titular,Visitante,PALMA F.C.,2,0,0,0,90
9,"TEJEDOR MORENO, ALEJANDRO",UD MAHON,Titular,Visitante,PALMA F.C.,2,0,0,0,63
10,"ESPINOZA ARMIJOS, CARLOS ANDRES",UD MAHON,Titular,Visitante,PALMA F.C.,2,0,1,0,63
11,"SINTES MELERO, ALVARO",UD MAHON,Titular,Visitante,PALMA F.C.,2,0,0,0,70
14,"GOMEZ GORDILLO, RAUL",UD MAHON,Titular,Visitante,PALMA F.C.,2,0,0,0,90
1,"ORFILA QUINTANA, AARON",UD MAHON,Suplente,Visitante,PALMA F.C.,2,0,0,0,0
17,"GRUBAC, NOA",UD MAHON,Suplente,Visitante,PALMA F.C.,2,0,0,0,27
18,"LOPEZ FERNANDEZ, MARC",UD MAHON,Suplente,Visitante,PALMA F.C.,2,0,0,0,20
20,"MASCARO MARTINEZ, IKER",UD MAHON,Suplente,Visitante,PALMA F.C.,2,1,0,0,27
