numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
1,"MUÑOZ CAMPOY, IVAN",PENYA ARRABAL A,Titular,Local,PLA DE NA TESA A,2,0,0,0,90
3,"MARTINEZ MUNTANER, SERGI",PENYA ARRABAL A,Titular,Local,PLA DE NA TESA A,2,0,0,0,90
4,"MARTORELL MUDOY, JOAN",PENYA ARRABAL A,Titular,Local,PLA DE NA TESA A,2,0,0,0,90
5,"BELFAQUIH ZBAT, ANUAR",PENYA ARRABAL A,Titular,Local,PLA DE NA TESA A,2,0,0,0,90
8,"GARCIA HERNANDEZ, JOSE RAMON",PENYA ARRABAL A,Titular,Local,PLA DE NA TESA A,2,0,0,0,90
9,"LEBRERO BENITEZ, HUGO",PENYA ARRABAL A,Titular,Local,PLA DE NA TESA A,2,0,0,0,69
16,"VALLESPIR TIMONER, PERE MARC",PENYA ARRABAL A,Titular,Local,PLA DE NA TESA A,2,0,0,0,69
18,"FIOL ACEITUNO, MIQUEL",PENYA ARRABAL A,Titular,Local,PLA DE NA TESA A,2,0,0,0,90
19,"CASTAÑER PECELLIN, RAFAEL",PENYA ARRABAL A,Titular,Local,PLA DE NA TESA A,2,0,1,0,90
22,"PONS SERRANO, ALEIX",PENYA ARRABAL A,Titular,Local,PLA DE NA TESA A,2,0,0,0,61
23,"SEGUI ESTEBAN, IAN",PENYA ARRABAL A,Titular,Local,PLA DE NA TESA A,2,1,0,0,61
6,"MUÑOZ BAIXAULI, JUAN",PENYA ARRABAL A,Suplente,Local,PLA DE NA TESA A,2,0,1,0,21
10,"CRESPI BARRERA, LEONARDO",PENYA ARRABAL A,Suplente,Local,PLA DE NA TESA A,2,0,0,0,29
12,"OSUNA REINHARDT, HECTOR",PENYA ARRABAL A,Suplente,Local,PLA DE NA TESA A,2,0,0,0,0
13,"REINSHAGEN, EMANUEL",PENYA ARRABAL A,Suplente,Local,PLA DE NA TESA A,2,0,0,0,0
14,"MAS MAIMO, JOSEP",PENYA ARRABAL A,Suplente,Local,PLA DE NA TESA A,2,0,0,0,0
15,"HERRERA IGLESIAS, ADRIAN",PENYA ARRABAL A,Suplente,Local,PLA DE NA TESA A,2,0,1,0,29
17,"ARIAS BESTARD, ENZO",PENYA ARRABAL A,Suplente,Local,PLA DE NA TESA A,2,0,0,0,21
1,"FATY, MALANG",PLA DE NA TESA A,Titular,Visitante,PENYA ARRABAL A,2,0,0,0,90
2,"DRAGHI, MAXIMO",PLA DE NA TESA A,Titular,Visitante,PENYA ARRABAL A,2,0,0,0,90
3,"OSEGIE AMADASUN, MARVIN ISOKEN",PLA DE NA TESA A,Titular,Visitante,PENYA ARRABAL A,2,0,1,0,90
4,"GONZALEZ OBRADOR, ENRIC",PLA DE NA TESA A,Titular,Visitante,PENYA ARRABAL A,2,0,0,0,90
5,"ALONSO MUNICIO, PABLO",PLA DE NA TESA A,Titular,Visitante,PENYA ARRABAL A,2,0,0,0,90
6,"COULIBALY COULIBALY, MADANE",PLA DE NA TESA A,Titular,Visitante,PENYA ARRABAL A,2,0,1,0,80
7,"CACERES COMAS, SERGI",PLA DE NA TESA A,Titular,Visitante,PENYA ARRABAL A,2,0,1,0,63
8,"FERNÁNDEZ RODRÍGUEZ, IKER",PLA DE NA TESA A,Titular,Visitante,PENYA ARRABAL A,2,0,1,0,71
9,"MONTALBAN ROMERO, MILO JERONIMO",PLA DE NA TESA A,Titular,Visitante,PENYA ARRABAL A,2,0,0,0,71
10,"ONCALA CARAVACA, DANIEL",PLA DE NA TESA A,Titular,Visitante,PENYA ARRABAL A,2,0,0,0,90
11,"FERRER FERNANDEZ, ALEJANDRO",PLA DE NA TESA A,Titular,Visitante,PENYA ARRABAL A,2,0,0,0,80
13,"CRUZ SEGUI, SERGIO",PLA DE NA TESA A,Suplente,Visitante,PENYA ARRABAL A,2,0,0,0,0
12,"MESA ZAFRA, CHRISTIAN",PLA DE NA TESA A,Suplente,Visitante,PENYA ARRABAL A,2,0,0,0,10
14,"SANCHEZ GARAU, ADRIA",PLA DE NA TESA A,Suplente,Visitante,PENYA ARRABAL A,2,0,0,0,10
15,"MASCARÓ SERVERA, JUAN",PLA DE NA TESA A,Suplente,Visitante,PENYA ARRABAL A,2,0,0,0,0
16,"CUNI GELABERT, MARC",PLA DE NA TESA A,Suplente,Visitante,PENYA ARRABAL A,2,0,0,0,19
17,"AIT SAID TAFZATI, NABIL",PLA DE NA TESA A,Suplente,Visitante,PENYA ARRABAL A,2,0,0,0,19
18,"ASAMOAH ASANTEWAA, DENIS",PLA DE NA TESA A,Suplente,Visitante,PENYA ARRABAL A,2,0,0,0,27
