numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
13,"SILVA GIORGIO, AGUSTIN",SD LA SALLE A,Titular,Local,CONSTANCIA A,2,0,1,0,90
2,"SANCHEZ LAFUENTE, ARITZ",SD LA SALLE A,Titular,Local,CONSTANCIA A,2,0,0,0,90
3,"GARCÍA GARCÍA, ÁLVARO",SD LA SALLE A,Titular,Local,CONSTANCIA A,2,0,0,0,67
4,"VIZCAINO SEGURA, ALAN",SD LA SALLE A,Titular,Local,CONSTANCIA A,2,0,0,0,90
6,"ESCUERO PARDOS, MARTI",SD LA SALLE A,Titular,Local,CONSTANCIA A,2,0,0,0,90
7,"PETRARCA, ELIA",SD LA SALLE A,Titular,Local,CONSTANCIA A,2,0,0,0,62
8,"CORTES BOIXO, ALEIX",SD LA SALLE A,Titular,Local,CONSTANCIA A,2,0,0,0,90
9,"FUSTER CORTES, FERNANDO",SD LA SALLE A,Titular,Local,CONSTANCIA A,2,0,0,0,62
10,"AMAYA MALENO, FRANCISCO",SD LA SALLE A,Titular,Local,CONSTANCIA A,2,1,0,0,90
11,"ARBOS DENGRA, DIEGO",SD LA SALLE A,Titular,Local,CONSTANCIA A,2,0,0,0,67
20,"VIVARES ARANDA, YANNICK",SD LA SALLE A,Titular,Local,CONSTANCIA A,2,1,0,0,77
1,"FONTANET REUS, TOMAS",SD LA SALLE A,Suplente,Local,CONSTANCIA A,2,0,0,0,0
5,"MARCH MOLINA, MARCOS",SD LA SALLE A,Suplente,Local,CONSTANCIA A,2,0,0,0,13
12,"SALMERON SEGURA, JONATHAN",SD LA SALLE A,Suplente,Local,CONSTANCIA A,2,0,0,0,28
14,"GIL MASSANET, LLUIS",SD LA SALLE A,Suplente,Local,CONSTANCIA A,2,0,0,0,23
15,"BAUZÁ CASTILLA, SANDRO",SD LA SALLE A,Suplente,Local,CONSTANCIA A,2,0,0,0,28
16,"HOMAR GARCIA, ROMAN",SD LA SALLE A,Suplente,Local,CONSTANCIA A,2,0,0,0,23
1,"MIR OLMO, JORDI",CONSTANCIA A,Titular,Visitante,SD LA SALLE A,2,0,0,0,90
2,"RIBAS ROSALIA, XAVIER",CONSTANCIA A,Titular,Visitante,SD LA SALLE A,2,0,0,0,90
4,"CRESPI LUCENA, JUAN MIQUEL",CONSTANCIA A,Titular,Visitante,SD LA SALLE A,2,0,0,0,90
5,"FONTCUBERTA GALINDO, GABRIEL",CONSTANCIA A,Titular,Visitante,SD LA SALLE A,2,0,0,0,46
10,"CABEZAS GALLARDO, MANUEL",CONSTANCIA A,Titular,Visitante,SD LA SALLE A,2,0,0,0,71
11,"COLL AREVALO, JORDI",CONSTANCIA A,Titular,Visitante,SD LA SALLE A,2,0,1,0,90
15,"KOUJILI EL TALHAOUI, MAROUAN",CONSTANCIA A,Titular,Visitante,SD LA SALLE A,2,0,0,0,90
17,"SABATER SANCHO, MARC",CONSTANCIA A,Titular,Visitante,SD LA SALLE A,2,0,0,1,90
18,"PATRICIO GUAL, MARC",CONSTANCIA A,Titular,Visitante,SD LA SALLE A,2,0,2,0,90
19,"GALVEZ ESPINOZA, BRAD ANTONY",CONSTANCIA A,Titular,Visitante,SD LA SALLE A,2,0,1,0,58
23,"BLANCO WEBER, LUCA",CONSTANCIA A,Titular,Visitante,SD LA SALLE A,2,0,0,0,77
13,"BOVER LLOMPART, JOSEP",CONSTANCIA A,Suplente,Visitante,SD LA SALLE A,2,0,0,0,0
3,"ROMAN DE REMENTERIA, ASIER",CONSTANCIA A,Suplente,Visitante,SD LA SALLE A,2,0,0,0,44
7,"BOTELLO CARMONA, PAU",CONSTANCIA A,Suplente,Visitante,SD LA SALLE A,2,0,0,0,32
9,"BALLE BRUNET, JOAN",CONSTANCIA A,Suplente,Visitante,SD LA SALLE A,2,0,0,0,0
14,"MORENO GODOY, NICOLAS",CONSTANCIA A,Suplente,Visitante,SD LA SALLE A,2,0,0,0,0
16,"OLIVER GELABERT, PERE",CONSTANCIA A,Suplente,Visitante,SD LA SALLE A,2,0,0,0,19
20,"CHUKWUKERE PULLET, GREGORY IKECHUKWU",CONSTANCIA A,Suplente,Visitante,SD LA SALLE A,2,0,1,0,13
