numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
1,"GONZALEZ VASQUEZ, LUIS JOSE",SP. ATº CIUTAT DE PALMA,Titular,Local,U D IBIZA A,2,0,0,0,90
3,"PUJOL FONT, JAUME",SP. ATº CIUTAT DE PALMA,Titular,Local,U D IBIZA A,2,0,0,0,72
5,"CACERES AMOROS, MATEO",SP. ATº CIUTAT DE PALMA,Titular,Local,U D IBIZA A,2,0,1,0,90
6,"SANS JIMENEZ, MIQUEL ANGEL",SP. ATº CIUTAT DE PALMA,Titular,Local,U D IBIZA A,2,0,0,0,61
7,"SANCHO OLIVER, PEDRO",SP. ATº CIUTAT DE PALMA,Titular,Local,U D IBIZA A,2,0,0,0,90
10,"SARMIENTO CABAÑIN, GABRIEL A",SP. ATº CIUTAT DE PALMA,Titular,Local,U D IBIZA A,2,0,0,0,61
11,"KRZYZYK SERRANO, PEDRO",SP. ATº CIUTAT DE PALMA,Titular,Local,U D IBIZA A,2,0,0,0,61
12,"BLANCO VALERO, DAVID",SP. ATº CIUTAT DE PALMA,Titular,Local,U D IBIZA A,2,0,0,0,90
19,"MARTINEZ GOMEZ, DYLAN",SP. ATº CIUTAT DE PALMA,Titular,Local,U D IBIZA A,2,0,0,0,72
21,"KRAUSSE, IGNACIO TOMAS",SP. ATº CIUTAT DE PALMA,Titular,Local,U D IBIZA A,2,0,1,0,90
23,"GOMEZ BLANCA, AARON",SP. ATº CIUTAT DE PALMA,Titular,Local,U D IBIZA A,2,1,0,0,90
13,"CABELLOS CRUZ, ENRIQUE",SP. ATº CIUTAT DE PALMA,Suplente,Local,U D IBIZA A,2,0,0,0,0
9,"ABRAHAM BOLAÑOS, ISAAC",SP. ATº CIUTAT DE PALMA,Suplente,Local,U D IBIZA A,2,0,0,0,29
14,"AMENGUAL LIRIO, IVAN",SP. ATº CIUTAT DE PALMA,Suplente,Local,U D IBIZA A,2,0,0,0,18
18,"CORTES MONTANER, LUIS",SP. ATº CIUTAT DE PALMA,Suplente,Local,U D IBIZA A,2,0,0,0,0
20,"BARRY DIALLO, MAMADOU ALIOU",SP. ATº CIUTAT DE PALMA,Suplente,Local,U D IBIZA A,2,0,0,0,18
24,"GAETE MARTINEZ, ISMAEL",SP. ATº CIUTAT DE PALMA,Suplente,Local,U D IBIZA A,2,0,0,0,29
27,"GOMEZ BARBOSA, RICARDO ADRIAN",SP. ATº CIUTAT DE PALMA,Suplente,Local,U D IBIZA A,2,0,0,0,29
1,"MONTES DOMINGUEZ, ALBERTO",U D IBIZA A,Titular,Visitante,SP. ATº CIUTAT DE PALMA,2,0,0,0,90
2,"AGUILAR COSTA, MARTÍ",U D IBIZA A,Titular,Visitante,SP. ATº CIUTAT DE PALMA,2,0,0,0,90
3,"PUGLIESE, PAOLO ALBERTO",U D IBIZA A,Titular,Visitante,SP. ATº CIUTAT DE PALMA,2,1,0,0,81
4,"RODRIGUEZ MARTOS, AARON",U D IBIZA A,Titular,Visitante,SP. ATº CIUTAT DE PALMA,2,0,0,0,90
5,"BALBURE CARDONA, ALEX",U D IBIZA A,Titular,Visitante,SP. ATº CIUTAT DE PALMA,2,0,0,0,90
6,"GORLA, AGUSTIN",U D IBIZA A,Titular,Visitante,SP. ATº CIUTAT DE PALMA,2,0,1,0,90
7,"BERNASCONI, SANTINO",U D IBIZA A,Titular,Visitante,SP. ATº CIUTAT DE PALMA,2,0,0,0,75
8,"VALLS ANIORTE, TARIKU",U D IBIZA A,Titular,Visitante,SP. ATº CIUTAT DE PALMA,2,0,0,0,56
9,"ELIAS ARANDIA, SAMUEL ABEL",U D IBIZA A,Titular,Visitante,SP. ATº CIUTAT DE PALMA,2,0,0,0,45
10,"LOPEZ CAPACETE, KENAI",U D IBIZA A,Titular,Visitante,SP. ATº CIUTAT DE PALMA,2,0,1,0,90
11,"GARCIA ALBA, JAVIER",U D IBIZA A,Titular,Visitante,SP. ATº CIUTAT DE PALMA,2,1,0,0,56
12,"CUBERO GUASCH, JOAN",U D IBIZA A,Suplente,Visitante,SP. ATº CIUTAT DE PALMA,2,0,1,0,34
13,"AVOGADRO, TOMMASO",U D IBIZA A,Suplente,Visitante,SP. ATº CIUTAT DE PALMA,2,0,0,0,0
14,"GONZALEZ CASURIAGA, THIAGO",U D IBIZA A,Suplente,Visitante,SP. ATº CIUTAT DE PALMA,2,0,0,0,9
15,"TORRES RIERA, LLUC",U D IBIZA A,Suplente,Visitante,SP. ATº CIUTAT DE PALMA,2,0,0,0,34
16,"MARTIN LOPEZ, IKER",U D IBIZA A,Suplente,Visitante,SP. ATº CIUTAT DE PALMA,2,0,0,0,0
18,"GHARBI KHAMMAL EL BAKKALI, NASROLLAH",U D IBIZA A,Suplente,Visitante,SP. ATº CIUTAT DE PALMA,2,0,0,0,15
19,"RODRIGUEZ ROIG, ARIAN",U D IBIZA A,Suplente,Visitante,SP. ATº CIUTAT DE PALMA,2,2,0,0,45
