numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
25,"HURTADO LOPEZ, IVAN",ANDRATX A,Titular,Local,PENYA ARRABAL A,30,0,0,0,90
7,"LUPIAÑEZ ALEMANY, TONI",ANDRATX A,Titular,Local,PENYA ARRABAL A,30,0,1,0,84
8,"ALMERING, BEPPE",ANDRATX A,Titular,Local,PENYA ARRABAL A,30,0,0,0,61
9,"VARGAS RODRIGUEZ, NICOLAS",ANDRATX A,Titular,Local,PENYA ARRABAL A,30,0,1,0,79
10,"SANCHEZ RAMIREZ, JAVIER",ANDRATX A,Titular,Local,PENYA ARRABAL A,30,0,0,0,84
11,"JIMENEZ PASTOR, IKER",ANDRATX A,Titular,Local,PENYA ARRABAL A,30,0,0,0,61
15,"DE JUANA QUETGLAS, DIEGO",ANDRATX A,Titular,Local,PENYA ARRABAL A,30,0,0,0,90
18,"AMER CASTILLO, MIGUEL",ANDRATX A,Titular,Local,PENYA ARRABAL A,30,0,1,0,90
20,"VILLARRAMIEL PIÑEIRO, IVAN",ANDRATX A,Titular,Local,PENYA ARRABAL A,30,0,0,1,90
21,"SINTES DIAZ, JOAN",ANDRATX A,Titular,Local,PENYA ARRABAL A,30,0,0,0,90
23,"DE JUANA QUETGLAS, SERGIO",ANDRATX A,Titular,Local,PENYA ARRABAL A,30,0,0,0,90
1,"DAM, NEO DUPONT",ANDRATX A,Suplente,Local,PENYA ARRABAL A,30,0,0,0,0
3,"ALARCON FERRER, ADRIAN",ANDRATX A,Suplente,Local,PENYA ARRABAL A,30,0,0,0,6
4,"LABRADOR VILLAR, SERGIO",ANDRATX A,Suplente,Local,PENYA ARRABAL A,30,0,0,0,0
6,"TUR HORRACH, HUG",ANDRATX A,Suplente,Local,PENYA ARRABAL A,30,0,0,0,29
12,"KRAWIETZ, FRANZ PETER",ANDRATX A,Suplente,Local,PENYA ARRABAL A,30,0,0,0,11
16,"POLINTANG ANCHETA, GIANNE LARRY",ANDRATX A,Suplente,Local,PENYA ARRABAL A,30,0,0,0,6
22,"HOMAR GARCIA, ROMAN",ANDRATX A,Suplente,Local,PENYA ARRABAL A,30,0,0,0,29
1,"MUÑOZ CAMPOY, IVAN",PENYA ARRABAL A,Titular,Visitante,ANDRATX A,30,0,0,0,90
3,"MARTINEZ MUNTANER, SERGI",PENYA ARRABAL A,Titular,Visitante,ANDRATX A,30,1,0,0,90
4,"MARTORELL MUDOY, JOAN",PENYA ARRABAL A,Titular,Visitante,ANDRATX A,30,0,0,0,90
6,"MUÑOZ BAIXAULI, JUAN",PENYA ARRABAL A,Titular,Visitante,ANDRATX A,30,0,0,0,90
10,"CRESPI BARRERA, LEONARDO",PENYA ARRABAL A,Titular,Visitante,ANDRATX A,30,1,0,0,90
17,"ARIAS BESTARD, ENZO",PENYA ARRABAL A,Titular,Visitante,ANDRATX A,30,0,0,0,66
18,"FIOL ACEITUNO, MIQUEL",PENYA ARRABAL A,Titular,Visitante,ANDRATX A,30,0,0,0,90
19,"CASTAÑER PECELLIN, RAFAEL",PENYA ARRABAL A,Titular,Visitante,ANDRATX A,30,0,0,0,85
21,"RIUTORT GONZALEZ, JUAN FRANCISCO",PENYA ARRABAL A,Titular,Visitante,ANDRATX A,30,0,0,0,90
22,"MORENO PUJOL, JAVIER",PENYA ARRABAL A,Titular,Visitante,ANDRATX A,30,0,0,0,85
23,"SEGUI ESTEBAN, IAN",PENYA ARRABAL A,Titular,Visitante,ANDRATX A,30,0,0,0,73
2,"ROTTLANDER, LENNOX MARKUS",PENYA ARRABAL A,Suplente,Visitante,ANDRATX A,30,0,0,0,5
5,"VALLESPIR TIMONER, PERE MARC",PENYA ARRABAL A,Suplente,Visitante,ANDRATX A,30,0,0,0,5
7,"GARCES NAVARRETE, JEREMY",PENYA ARRABAL A,Suplente,Visitante,ANDRATX A,30,0,0,0,24
8,"GARCIA HERNANDEZ, JOSE RAMON",PENYA ARRABAL A,Suplente,Visitante,ANDRATX A,30,0,0,0,0
13,"MANOLACHE POCOVI, DANIEL",PENYA ARRABAL A,Suplente,Visitante,ANDRATX A,30,0,0,0,0
14,"MAS MAIMO, JOSEP",PENYA ARRABAL A,Suplente,Visitante,ANDRATX A,30,0,0,0,0
15,"HERRERA IGLESIAS, ADRIAN",PENYA ARRABAL A,Suplente,Visitante,ANDRATX A,30,0,0,0,17
