numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
1,"MIR OLMO, JORDI",CONSTANCIA A,Titular,Local,SANTA CATALINA ATº A,30,0,0,0,90
2,"BLANCO WEBER, NOAH",CONSTANCIA A,Titular,Local,SANTA CATALINA ATº A,30,0,0,0,90
3,"ROMAN DE REMENTERIA, ASIER",CONSTANCIA A,Titular,Local,SANTA CATALINA ATº A,30,0,0,0,90
4,"CRESPI LUCENA, JUAN MIQUEL",CONSTANCIA A,Titular,Local,SANTA CATALINA ATº A,30,1,0,0,90
5,"FONTCUBERTA GALINDO, GABRIEL",CONSTANCIA A,Titular,Local,SANTA CATALINA ATº A,30,0,0,0,90
7,"MARTIN MONSALVE, IAN",CONSTANCIA A,Titular,Local,SANTA CATALINA ATº A,30,0,0,0,46
8,"COMPANY INGLA, JAUME",CONSTANCIA A,Titular,Local,SANTA CATALINA ATº A,30,1,0,0,90
11,"COLL AREVALO, JORDI",CONSTANCIA A,Titular,Local,SANTA CATALINA ATº A,30,0,0,0,66
16,"OLIVER GELABERT, PERE",CONSTANCIA A,Titular,Local,SANTA CATALINA ATº A,30,0,0,0,72
17,"SABATER SANCHO, MARC",CONSTANCIA A,Titular,Local,SANTA CATALINA ATº A,30,0,0,0,46
19,"GALVEZ ESPINOZA, BRAD ANTONY",CONSTANCIA A,Titular,Local,SANTA CATALINA ATº A,30,0,0,0,60
13,"BOVER LLOMPART, JOSEP",CONSTANCIA A,Suplente,Local,SANTA CATALINA ATº A,30,0,0,0,0
6,"BOTELLO CARMONA, PAU",CONSTANCIA A,Suplente,Local,SANTA CATALINA ATº A,30,0,0,0,44
9,"BALLE BRUNET, JOAN",CONSTANCIA A,Suplente,Local,SANTA CATALINA ATº A,30,0,0,0,18
10,"CABEZAS GALLARDO, MANUEL",CONSTANCIA A,Suplente,Local,SANTA CATALINA ATº A,30,0,0,0,30
18,"ROMERO FELIU, ANDREU",CONSTANCIA A,Suplente,Local,SANTA CATALINA ATº A,30,0,0,0,0
20,"CHUKWUKERE PULLET, GREGORY IKECHUKWU",CONSTANCIA A,Suplente,Local,SANTA CATALINA ATº A,30,0,0,0,24
23,"BLANCO WEBER, LUCA",CONSTANCIA A,Suplente,Local,SANTA CATALINA ATº A,30,0,0,0,44
1,"MADROÑERO CONTRERAS, DAYRON",SANTA CATALINA ATº A,Titular,Visitante,CONSTANCIA A,30,0,0,0,90
2,"VICH FORTEZA, LLUC",SANTA CATALINA ATº A,Titular,Visitante,CONSTANCIA A,30,0,0,0,90
3,"GARCIA BISQUERRA, JAVIER",SANTA CATALINA ATº A,Titular,Visitante,CONSTANCIA A,30,0,0,0,90
4,"PALAU ORDINAS, MIQUEL",SANTA CATALINA ATº A,Titular,Visitante,CONSTANCIA A,30,0,0,0,90
5,"DEYÀ BELTRÁN, SEBASTIÀ",SANTA CATALINA ATº A,Titular,Visitante,CONSTANCIA A,30,0,0,0,66
7,"ADROVER MELIS, FRANCESC",SANTA CATALINA ATº A,Titular,Visitante,CONSTANCIA A,30,0,0,0,76
8,"LOPEZ FUXA, AARON",SANTA CATALINA ATº A,Titular,Visitante,CONSTANCIA A,30,0,0,0,82
10,"FERNANDEZ REY, RAUL",SANTA CATALINA ATº A,Titular,Visitante,CONSTANCIA A,30,0,0,0,90
11,"MASCARELL LLABRES, MARC",SANTA CATALINA ATº A,Titular,Visitante,CONSTANCIA A,30,0,0,0,66
14,"KOPACH, DANIIL",SANTA CATALINA ATº A,Titular,Visitante,CONSTANCIA A,30,0,0,0,90
22,"ALARCON RAGO, THIAGO",SANTA CATALINA ATº A,Titular,Visitante,CONSTANCIA A,30,0,0,0,76
13,"ROIG VEGA, MATEO",SANTA CATALINA ATº A,Suplente,Visitante,CONSTANCIA A,30,0,0,0,0
6,"GARCIAS LLABRES, MIQUEL",SANTA CATALINA ATº A,Suplente,Visitante,CONSTANCIA A,30,0,1,0,8
12,"ENTRENA CALDENTEY, MANUEL",SANTA CATALINA ATº A,Suplente,Visitante,CONSTANCIA A,30,0,0,0,14
15,"ARROYO BERNAT, ALEJANDRO",SANTA CATALINA ATº A,Suplente,Visitante,CONSTANCIA A,30,0,0,0,0
16,"BARRIGA CATRINA, VICTOR",SANTA CATALINA ATº A,Suplente,Visitante,CONSTANCIA A,30,0,0,0,24
18,"MARTIN CABALLERO, ANGEL",SANTA CATALINA ATº A,Suplente,Visitante,CONSTANCIA A,30,0,0,0,24
21,"EZ ZARY SAIDI, ISMAEL",SANTA CATALINA ATº A,Suplente,Visitante,CONSTANCIA A,30,0,0,0,14
