numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
25,"BURGUERA BONET, JULIÀ",MANACOR A,Titular,Local,FERRERIES A,30,0,0,0,90
3,"DIMITROV, DIMITAR DIMITROV",MANACOR A,Titular,Local,FERRERIES A,30,0,0,0,90
4,"GRAHAM, NATHAN STUART",MANACOR A,Titular,Local,FERRERIES A,30,0,0,0,78
5,"MORAGUES LLULL, TONI",MANACOR A,Titular,Local,FERRERIES A,30,0,1,0,90
6,"BAUZA COMPANY, JOAN",MANACOR A,Titular,Local,FERRERIES A,30,0,0,0,90
8,"MARCOS MONGE, IKER",MANACOR A,Titular,Local,FERRERIES A,30,0,0,0,90
10,"POSTIGO GARAT, RAUL",MANACOR A,Titular,Local,FERRERIES A,30,0,0,0,86
14,"GUICHANDUT GOMILA, MARC",MANACOR A,Titular,Local,FERRERIES A,30,0,0,0,72
16,"FUSTER GONZALEZ, SERGI",MANACOR A,Titular,Local,FERRERIES A,30,0,0,0,72
17,"VIVES HIDALGO, IKER",MANACOR A,Titular,Local,FERRERIES A,30,0,0,0,90
19,"RODRIGUEZ GALDON, DANIEL",MANACOR A,Titular,Local,FERRERIES A,30,0,0,0,72
2,"LAMSIAH AJGHOUF, OSSAMA",MANACOR A,Suplente,Local,FERRERIES A,30,0,0,0,12
7,"LAKHAL ZEROUALE, SAAD",MANACOR A,Suplente,Local,FERRERIES A,30,0,0,0,18
13,"GARCIA MESTRE, DAVID",MANACOR A,Suplente,Local,FERRERIES A,30,0,0,0,0
18,"DOMINICI ALMONTE, ANTHONY DE JESUS",MANACOR A,Suplente,Local,FERRERIES A,30,0,0,0,18
21,"TRIAY PETHERAM, TOMAS ISMAEL",MANACOR A,Suplente,Local,FERRERIES A,30,0,0,0,4
22,"MONTES CARDONA, CHRISTIAN",MANACOR A,Suplente,Local,FERRERIES A,30,0,1,0,18
1,"SCHMIDT LOPEZ, JHAIRO EWELL",FERRERIES A,Titular,Visitante,MANACOR A,30,0,0,0,90
2,"FLORES BARRERA, GERARD",FERRERIES A,Titular,Visitante,MANACOR A,30,0,0,0,32
3,"FLORIT TAJUELO, HECTOR",FERRERIES A,Titular,Visitante,MANACOR A,30,0,0,0,90
4,"AMELLER RIUDAVETS, JOSEP",FERRERIES A,Titular,Visitante,MANACOR A,30,0,1,0,90
6,"BAGUR MOYA, HUGO",FERRERIES A,Titular,Visitante,MANACOR A,30,0,0,0,53
8,"GOMILA BOSCH, LLUÍS",FERRERIES A,Titular,Visitante,MANACOR A,30,1,1,0,75
9,"FEBRER VILLALONGA, ALBERT",FERRERIES A,Titular,Visitante,MANACOR A,30,1,1,0,90
10,"BOSCH PULIDO, NIL",FERRERIES A,Titular,Visitante,MANACOR A,30,0,0,0,53
16,"MBAYE RUIZ, MOUHAMAD YASIN",FERRERIES A,Titular,Visitante,MANACOR A,30,0,0,0,90
17,"PONS CARRERAS, ANGEL",FERRERIES A,Titular,Visitante,MANACOR A,30,0,0,0,90
19,"DE LA PUERTA MARTORELL, JAUME",FERRERIES A,Titular,Visitante,MANACOR A,30,0,1,0,75
25,"PONS MOLL, JOSEP LLUIS",FERRERIES A,Suplente,Visitante,MANACOR A,30,0,0,0,0
7,"JANER BOSCH, NOFRE",FERRERIES A,Suplente,Visitante,MANACOR A,30,0,0,0,58
11,"CANTALAPIEDRA LOBATO, IKER",FERRERIES A,Suplente,Visitante,MANACOR A,30,0,0,0,37
14,"FAMIGLIETTI MARQUEZ, LUCA",FERRERIES A,Suplente,Visitante,MANACOR A,30,1,0,0,37
18,"ROTGER LÓPEZ, LLUC",FERRERIES A,Suplente,Visitante,MANACOR A,30,0,0,0,15
21,"CAMPS CARETA, PERE",FERRERIES A,Suplente,Visitante,MANACOR A,30,0,0,0,15
