numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
13,"FATY, MALANG",PLA DE NA TESA A,Titular,Local,UD MAHON,30,0,0,0,90
2,"DRAGHI, MAXIMO",PLA DE NA TESA A,Titular,Local,UD MAHON,30,0,0,0,90
3,"OSEGIE AMADASUN, MARVIN ISOKEN",PLA DE NA TESA A,Titular,Local,UD MAHON,30,0,0,0,90
4,"GONZALEZ OBRADOR, ENRIC",PLA DE NA TESA A,Titular,Local,UD MAHON,30,0,0,0,80
5,"ALONSO MUNICIO, PABLO",PLA DE NA TESA A,Titular,Local,UD MAHON,30,0,0,0,90
6,"COULIBALY COULIBALY, MADANE",PLA DE NA TESA A,Titular,Local,UD MAHON,30,0,0,0,90
7,"MORA GISPERT, HUGO",PLA DE NA TESA A,Titular,Local,UD MAHON,30,0,0,0,80
8,"ONCALA CARAVACA, DANIEL",PLA DE NA TESA A,Titular,Local,UD MAHON,30,0,0,0,90
9,"ASAMOAH ASANTEWAA, DENIS",PLA DE NA TESA A,Titular,Local,UD MAHON,30,1,0,0,64
10,"MONTES MORALES, ADRIAN",PLA DE NA TESA A,Titular,Local,UD MAHON,30,1,0,0,64
11,"MASCARÓ SERVERA, JUAN",PLA DE NA TESA A,Titular,Local,UD MAHON,30,1,0,0,77
1,"CRUZ SEGUI, SERGIO",PLA DE NA TESA A,Suplente,Local,UD MAHON,30,0,0,0,0
12,"NAVARRO BEZARES, JAVIER",PLA DE NA TESA A,Suplente,Local,UD MAHON,30,0,0,0,0
14,"CACERES COMAS, SERGI",PLA DE NA TESA A,Suplente,Local,UD MAHON,30,0,0,0,26
15,"MARTINEZ ESPINOSA, DENIS",PLA DE NA TESA A,Suplente,Local,UD MAHON,30,0,0,0,10
16,"MESA ZAFRA, CHRISTIAN",PLA DE NA TESA A,Suplente,Local,UD MAHON,30,0,0,0,10
17,"AIT SAID TAFZATI, NABIL",PLA DE NA TESA A,Suplente,Local,UD MAHON,30,0,0,0,13
18,"MONTALBAN ROMERO, MILO JERONIMO",PLA DE NA TESA A,Suplente,Local,UD MAHON,30,0,0,0,26
13,"LASSO VIAFARA, DUVAN FELIPE",UD MAHON,Titular,Visitante,PLA DE NA TESA A,30,0,0,0,46
2,"IZAGUIRRE RODRIGUEZ, RICARDO ABRAHAM",UD MAHON,Titular,Visitante,PLA DE NA TESA A,30,0,0,0,90
3,"ESPINOZA ARMIJOS, CARLOS ANDRES",UD MAHON,Titular,Visitante,PLA DE NA TESA A,30,0,0,0,56
4,"GOMEZ GORDILLO, RAUL",UD MAHON,Titular,Visitante,PLA DE NA TESA A,30,0,1,0,90
5,"GOMEZ SANTOS, JUAN",UD MAHON,Titular,Visitante,PLA DE NA TESA A,30,0,0,0,90
6,"BOLIVAR PERAL, ROGER",UD MAHON,Titular,Visitante,PLA DE NA TESA A,30,0,0,0,90
7,"DE OLIVEIRA MESSIAS, EMMANUEL",UD MAHON,Titular,Visitante,PLA DE NA TESA A,30,0,0,0,56
8,"MASCARO MARTINEZ, IKER",UD MAHON,Titular,Visitante,PLA DE NA TESA A,30,0,0,0,90
9,"LOPEZ FERNANDEZ, MARC",UD MAHON,Titular,Visitante,PLA DE NA TESA A,30,0,1,0,90
10,"PEREZ MARTIN, IGNACIO",UD MAHON,Titular,Visitante,PLA DE NA TESA A,30,0,0,0,90
11,"DE OLIVEIRA MESSIAS, KLAYVER",UD MAHON,Titular,Visitante,PLA DE NA TESA A,30,0,0,0,46
25,"GASCON SASTRE, IKER",UD MAHON,Suplente,Visitante,PLA DE NA TESA A,30,0,0,0,44
12,"NGONG NGO, FABRICE",UD MAHON,Suplente,Visitante,PLA DE NA TESA A,30,0,0,0,34
14,"TEJEDOR MORENO, ALEJANDRO",UD MAHON,Suplente,Visitante,PLA DE NA TESA A,30,0,0,0,34
15,"ELHADJ ABDOULAYE, BALDE",UD MAHON,Suplente,Visitante,PLA DE NA TESA A,30,0,0,0,44
16,"LASSO VIAFARA, ANDRES FELIPE",UD MAHON,Suplente,Visitante,PLA DE NA TESA A,30,0,0,0,0
