numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
25,"VALENZUELA BIERMAN, NOAH",PLATGES DE CALVIA A,Titular,Local,SAN FRANCISCO B,30,0,0,0,90
2,"GAYUBAS GONZALEZ, LUIS MIGUEL",PLATGES DE CALVIA A,Titular,Local,SAN FRANCISCO B,30,0,0,0,62
5,"GARCIA MEDRANO, MARCOS",PLATGES DE CALVIA A,Titular,Local,SAN FRANCISCO B,30,0,0,0,90
6,"MATAS OLIVER, PABLO",PLATGES DE CALVIA A,Titular,Local,SAN FRANCISCO B,30,0,0,0,90
8,"GARCÍA RODRÍGUEZ, UNAI",PLATGES DE CALVIA A,Titular,Local,SAN FRANCISCO B,30,0,0,0,90
9,"CASAUS SANCHEZ, JOSE IGNACIO",PLATGES DE CALVIA A,Titular,Local,SAN FRANCISCO B,30,0,0,0,90
10,"EXPOSITO BINNEWIES, ALEJANDRO",PLATGES DE CALVIA A,Titular,Local,SAN FRANCISCO B,30,1,0,0,90
11,"PARRA VIZUETE, DANIEL",PLATGES DE CALVIA A,Titular,Local,SAN FRANCISCO B,30,0,0,0,90
14,"MAGAN MITCHELL SMITH, MIGUEL",PLATGES DE CALVIA A,Titular,Local,SAN FRANCISCO B,30,0,0,0,74
21,"CABRERA FERRA, LIAM",PLATGES DE CALVIA A,Titular,Local,SAN FRANCISCO B,30,0,0,0,90
22,"HOLLINGSWORTH, HARRY RICHARD",PLATGES DE CALVIA A,Titular,Local,SAN FRANCISCO B,30,0,1,0,90
1,"RODRIGUEZ GUASP, JORDI",PLATGES DE CALVIA A,Suplente,Local,SAN FRANCISCO B,30,0,0,0,0
3,"ALCOLEA ESCORCIA, CARLOS",PLATGES DE CALVIA A,Suplente,Local,SAN FRANCISCO B,30,0,0,0,0
7,"VIOLA, RICCARDO",PLATGES DE CALVIA A,Suplente,Local,SAN FRANCISCO B,30,0,0,0,0
17,"PEREZ SILVENTE, ALEJANDRO",PLATGES DE CALVIA A,Suplente,Local,SAN FRANCISCO B,30,0,0,0,28
18,"HOMANN KRIEK, KHEIDIN GERALD",PLATGES DE CALVIA A,Suplente,Local,SAN FRANCISCO B,30,0,0,0,0
19,"CARDONA MARTIN, MARCOS",PLATGES DE CALVIA A,Suplente,Local,SAN FRANCISCO B,30,0,0,0,0
20,"PUJOL ALOMAR, TELM",PLATGES DE CALVIA A,Suplente,Local,SAN FRANCISCO B,30,0,0,0,16
1,"MARTINS CORRAL, DIEGO",SAN FRANCISCO B,Titular,Visitante,PLATGES DE CALVIA A,30,0,0,0,90
3,"BORDOY LEAL, PEDRO",SAN FRANCISCO B,Titular,Visitante,PLATGES DE CALVIA A,30,0,0,0,56
4,"GIRALDE BAUZA, JAVIER",SAN FRANCISCO B,Titular,Visitante,PLATGES DE CALVIA A,30,0,0,0,90
5,"CLADERA SOBERATS, LLORENÇ",SAN FRANCISCO B,Titular,Visitante,PLATGES DE CALVIA A,30,0,0,0,90
6,"LEDESMA COR, MATEU",SAN FRANCISCO B,Titular,Visitante,PLATGES DE CALVIA A,30,0,1,0,71
7,"PADILLA BORRAS, PERE",SAN FRANCISCO B,Titular,Visitante,PLATGES DE CALVIA A,30,0,0,0,62
8,"ANDEBUELA BARRIOS, PABLO",SAN FRANCISCO B,Titular,Visitante,PLATGES DE CALVIA A,30,0,1,0,90
9,"SALAMANCA GALERA, AITOR",SAN FRANCISCO B,Titular,Visitante,PLATGES DE CALVIA A,30,0,0,0,56
10,"GALLARDO DEL VALLE, BENJAMIN",SAN FRANCISCO B,Titular,Visitante,PLATGES DE CALVIA A,30,0,0,0,56
11,"ALARCON CAVERO, JOEL",SAN FRANCISCO B,Titular,Visitante,PLATGES DE CALVIA A,30,0,0,0,90
19,"LOPEZ CABRERA, JESUS",SAN FRANCISCO B,Titular,Visitante,PLATGES DE CALVIA A,30,0,0,0,90
12,"BARRAGAN AGUILO, HECTOR DARIO",SAN FRANCISCO B,Suplente,Visitante,PLATGES DE CALVIA A,30,0,0,0,0
13,"PRIOR, JUDE HARRY",SAN FRANCISCO B,Suplente,Visitante,PLATGES DE CALVIA A,30,0,0,0,0
14,"SILVA SALINAS, ALEJANDRO",SAN FRANCISCO B,Suplente,Visitante,PLATGES DE CALVIA A,30,0,0,0,34
15,"LUNEGRO, BRUNO",SAN FRANCISCO B,Suplente,Visitante,PLATGES DE CALVIA A,30,0,1,0,28
16,"MASSANET CABRER, FRANCESC",SAN FRANCISCO B,Suplente,Visitante,PLATGES DE CALVIA A,30,0,0,0,34
17,"BADJINKA NDIAYE, BUBAKAR",SAN FRANCISCO B,Suplente,Visitante,PLATGES DE CALVIA A,30,0,0,0,34
18,"DIAZ ROMERO, GYLBERT",SAN FRANCISCO B,Suplente,Visitante,PLATGES DE CALVIA A,30,0,0,0,19
