numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
1,"GONZALEZ VASQUEZ, LUIS JOSE",SP. ATº CIUTAT DE PALMA,Titular,Local,SD LA SALLE A,30,0,0,0,90
3,"PUJOL FONT, JAUME",SP. ATº CIUTAT DE PALMA,Titular,Local,SD LA SALLE A,30,0,1,0,90
5,"CACERES AMOROS, MATEO",SP. ATº CIUTAT DE PALMA,Titular,Local,SD LA SALLE A,30,0,0,0,90
6,"SANS JIMENEZ, MIQUEL ANGEL",SP. ATº CIUTAT DE PALMA,Titular,Local,SD LA SALLE A,30,0,0,0,90
7,"SANCHO OLIVER, PEDRO",SP. ATº CIUTAT DE PALMA,Titular,Local,SD LA SALLE A,30,1,0,0,90
10,"SARMIENTO CABAÑIN, GABRIEL A",SP. ATº CIUTAT DE PALMA,Titular,Local,SD LA SALLE A,30,0,0,0,76
11,"KRZYZYK SERRANO, PEDRO",SP. ATº CIUTAT DE PALMA,Titular,Local,SD LA SALLE A,30,2,0,0,88
14,"AMENGUAL LIRIO, IVAN",SP. ATº CIUTAT DE PALMA,Titular,Local,SD LA SALLE A,30,0,1,0,88
18,"CORTES MONTANER, LUIS",SP. ATº CIUTAT DE PALMA,Titular,Local,SD LA SALLE A,30,0,0,0,76
21,"KRAUSSE, IGNACIO TOMAS",SP. ATº CIUTAT DE PALMA,Titular,Local,SD LA SALLE A,30,1,1,0,60
22,"ORDOÑEZ QUETGLAS, MARC",SP. ATº CIUTAT DE PALMA,Titular,Local,SD LA SALLE A,30,0,0,0,90
2,"MUNAR LAZARO, DANIEL",SP. ATº CIUTAT DE PALMA,Suplente,Local,SD LA SALLE A,30,0,0,0,30
13,"CABELLOS CRUZ, ENRIQUE",SP. ATº CIUTAT DE PALMA,Suplente,Local,SD LA SALLE A,30,0,0,0,0
20,"BARRY DIALLO, MAMADOU ALIOU",SP. ATº CIUTAT DE PALMA,Suplente,Local,SD LA SALLE A,30,0,0,0,14
23,"GOMEZ BLANCA, AARON",SP. ATº CIUTAT DE PALMA,Suplente,Local,SD LA SALLE A,30,0,0,0,14
24,"GAETE MARTINEZ, ISMAEL",SP. ATº CIUTAT DE PALMA,Suplente,Local,SD LA SALLE A,30,0,0,0,0
27,"GOMEZ BARBOSA, RICARDO ADRIAN",SP. ATº CIUTAT DE PALMA,Suplente,Local,SD LA SALLE A,30,0,0,0,2
29,"KEITA SIDIBE, MADY",SP. ATº CIUTAT DE PALMA,Suplente,Local,SD LA SALLE A,30,0,0,0,2
1,"FONTANET REUS, TOMAS",SD LA SALLE A,Titular,Visitante,SP. ATº CIUTAT DE PALMA,30,0,0,0,90
2,"PANEQUE PÉREZ, JOEL",SD LA SALLE A,Titular,Visitante,SP. ATº CIUTAT DE PALMA,30,0,0,0,90
3,"MOYA PEDREGOSA, ALEJANDRO",SD LA SALLE A,Titular,Visitante,SP. ATº CIUTAT DE PALMA,30,0,0,0,60
4,"PUYA TUR, OSCAR",SD LA SALLE A,Titular,Visitante,SP. ATº CIUTAT DE PALMA,30,0,0,0,46
6,"ESCUERO PARDOS, MARTI",SD LA SALLE A,Titular,Visitante,SP. ATº CIUTAT DE PALMA,30,0,0,0,46
7,"ARBOS DENGRA, DIEGO",SD LA SALLE A,Titular,Visitante,SP. ATº CIUTAT DE PALMA,30,0,0,0,90
8,"CORTES BOIXO, ALEIX",SD LA SALLE A,Titular,Visitante,SP. ATº CIUTAT DE PALMA,30,0,0,0,90
9,"AMAYA MALENO, FRANCISCO",SD LA SALLE A,Titular,Visitante,SP. ATº CIUTAT DE PALMA,30,0,0,0,60
10,"RODRIGUEZ MONGELOS, GAEL PAU",SD LA SALLE A,Titular,Visitante,SP. ATº CIUTAT DE PALMA,30,0,0,0,90
11,"FERNANDEZ CABRERA, DAVID",SD LA SALLE A,Titular,Visitante,SP. ATº CIUTAT DE PALMA,30,0,0,0,64
20,"VIVARES ARANDA, YANNICK",SD LA SALLE A,Titular,Visitante,SP. ATº CIUTAT DE PALMA,30,0,0,0,90
5,"MARTI RODRIGUEZ, IVAN",SD LA SALLE A,Suplente,Visitante,SP. ATº CIUTAT DE PALMA,30,0,0,0,30
12,"SANCHEZ LAFUENTE, ARITZ",SD LA SALLE A,Suplente,Visitante,SP. ATº CIUTAT DE PALMA,30,0,0,0,44
13,"SILVA GIORGIO, AGUSTIN",SD LA SALLE A,Suplente,Visitante,SP. ATº CIUTAT DE PALMA,30,0,0,0,0
14,"COMAS HUTTEN, PAU LLUIS",SD LA SALLE A,Suplente,Visitante,SP. ATº CIUTAT DE PALMA,30,1,0,0,30
16,"GIL MASSANET, LLUIS",SD LA SALLE A,Suplente,Visitante,SP. ATº CIUTAT DE PALMA,30,0,0,0,44
17,"GOMILA GAMERO, FRANCISCO",SD LA SALLE A,Suplente,Visitante,SP. ATº CIUTAT DE PALMA,30,0,0,0,26
