numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
25,"PONS MOLL, JOSEP LLUIS",FERRERIES A,Titular,Local,U D IBIZA A,31,0,0,0,90
3,"FLORIT TAJUELO, HECTOR",FERRERIES A,Titular,Local,U D IBIZA A,31,0,0,0,90
7,"JANER BOSCH, NOFRE",FERRERIES A,Titular,Local,U D IBIZA A,31,1,0,0,90
8,"GOMILA BOSCH, LLUÍS",FERRERIES A,Titular,Local,U D IBIZA A,31,0,1,0,90
10,"BOSCH PULIDO, NIL",FERRERIES A,Titular,Local,U D IBIZA A,31,1,1,0,90
11,"CANTALAPIEDRA LOBATO, IKER",FERRERIES A,Titular,Local,U D IBIZA A,31,0,0,0,45
14,"FAMIGLIETTI MARQUEZ, LUCA",FERRERIES A,Titular,Local,U D IBIZA A,31,0,0,0,90
16,"MBAYE RUIZ, MOUHAMAD YASIN",FERRERIES A,Titular,Local,U D IBIZA A,31,0,1,0,67
17,"PONS CARRERAS, ANGEL",FERRERIES A,Titular,Local,U D IBIZA A,31,0,0,0,85
20,"BOSCH VALDERRABANO, TONI",FERRERIES A,Titular,Local,U D IBIZA A,31,0,0,0,70
21,"CAMPS CARETA, PERE",FERRERIES A,Titular,Local,U D IBIZA A,31,0,0,0,45
1,"SCHMIDT LOPEZ, JHAIRO EWELL",FERRERIES A,Suplente,Local,U D IBIZA A,31,0,0,0,0
4,"AMELLER RIUDAVETS, JOSEP",FERRERIES A,Suplente,Local,U D IBIZA A,31,0,0,0,0
5,"PULIDO COLL, IZAN",FERRERIES A,Suplente,Local,U D IBIZA A,31,0,0,0,20
6,"BAGUR MOYA, HUGO",FERRERIES A,Suplente,Local,U D IBIZA A,31,0,1,0,23
12,"TRIAY HIERRO, TEO",FERRERIES A,Suplente,Local,U D IBIZA A,31,0,0,0,45
15,"FLORES MOYA, ELOY",FERRERIES A,Suplente,Local,U D IBIZA A,31,0,1,0,45
18,"MARIN HERNANDEZ, PAU",FERRERIES A,Suplente,Local,U D IBIZA A,31,0,0,0,5
1,"AVOGADRO, TOMMASO",U D IBIZA A,Titular,Visitante,FERRERIES A,31,0,0,0,90
2,"ORTIZ CHAPARRO, DAVID",U D IBIZA A,Titular,Visitante,FERRERIES A,31,0,1,0,45
3,"GONZALEZ CASURIAGA, THIAGO",U D IBIZA A,Titular,Visitante,FERRERIES A,31,0,0,0,45
4,"AGUILAR COSTA, MARTÍ",U D IBIZA A,Titular,Visitante,FERRERIES A,31,1,0,0,88
5,"BALBURE CARDONA, ALEX",U D IBIZA A,Titular,Visitante,FERRERIES A,31,0,0,0,90
6,"PERIAÑEZ RODRIGUEZ, DANIEL",U D IBIZA A,Titular,Visitante,FERRERIES A,31,0,0,1,90
7,"RODRIGUEZ ROIG, ARIAN",U D IBIZA A,Titular,Visitante,FERRERIES A,31,0,1,0,90
8,"GARCIA ALBA, JAVIER",U D IBIZA A,Titular,Visitante,FERRERIES A,31,0,0,0,90
9,"BELTRAN ALVAREZ, SERGIO",U D IBIZA A,Titular,Visitante,FERRERIES A,31,0,0,0,90
10,"TORRES RAMON, DIDAC",U D IBIZA A,Titular,Visitante,FERRERIES A,31,0,1,0,78
11,"BERNASCONI, SANTINO",U D IBIZA A,Titular,Visitante,FERRERIES A,31,0,0,0,45
12,"ASENSIO ESCANDELL, ANDRES",U D IBIZA A,Suplente,Visitante,FERRERIES A,31,0,0,0,2
13,"MONTES DOMINGUEZ, ALBERTO",U D IBIZA A,Suplente,Visitante,FERRERIES A,31,0,0,0,0
14,"ZARZA DUARTE, JORGE EMANUEL",U D IBIZA A,Suplente,Visitante,FERRERIES A,31,0,0,0,45
15,"OKROGLIC SOMOZA, LUKA",U D IBIZA A,Suplente,Visitante,FERRERIES A,31,0,0,0,45
16,"TORRES RIERA, LLUC",U D IBIZA A,Suplente,Visitante,FERRERIES A,31,0,0,0,45
18,"ELIAS ARANDIA, SAMUEL ABEL",U D IBIZA A,Suplente,Visitante,FERRERIES A,31,0,0,0,12
