numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
1,"CALDES SIMONET, CARLES",MALLORCA B,Titular,Local,SP. ATº CIUTAT DE PALMA,31,0,0,0,90
2,"AVILÉS MAESTRE, JOEL",MALLORCA B,Titular,Local,SP. ATº CIUTAT DE PALMA,31,0,0,0,90
3,"TEJADA LLADONET, ORIOL",MALLORCA B,Titular,Local,SP. ATº CIUTAT DE PALMA,31,0,0,0,90
4,"D'VAZ AFONSO, SPENCER GARCIA",MALLORCA B,Titular,Local,SP. ATº CIUTAT DE PALMA,31,0,0,0,90
5,"ALEMANY TOUS, MARC",MALLORCA B,Titular,Local,SP. ATº CIUTAT DE PALMA,31,0,0,0,90
6,"COCA ANTELO, ANDREW",MALLORCA B,Titular,Local,SP. ATº CIUTAT DE PALMA,31,0,0,0,90
7,"GARCIA LLOMPART, RAFEL",MALLORCA B,Titular,Local,SP. ATº CIUTAT DE PALMA,31,0,0,0,54
8,"MARTINEZ BELA, JAVIER",MALLORCA B,Titular,Local,SP. ATº CIUTAT DE PALMA,31,0,0,0,72
9,"SIDIROPOULOS, ANASTASIOS",MALLORCA B,Titular,Local,SP. ATº CIUTAT DE PALMA,31,0,0,0,90
10,"LAZARO TORRES, MARIO",MALLORCA B,Titular,Local,SP. ATº CIUTAT DE PALMA,31,0,0,0,90
11,"MOLINA DONAIRE, DANIEL",MALLORCA B,Titular,Local,SP. ATº CIUTAT DE PALMA,31,0,0,0,90
12,"VAN DER MEER GARI, YANNICK",MALLORCA B,Suplente,Local,SP. ATº CIUTAT DE PALMA,31,0,0,0,0
13,"VALLBONA SERRA, JOAN",MALLORCA B,Suplente,Local,SP. ATº CIUTAT DE PALMA,31,0,0,0,0
14,"CORCINO MUÑOZ, ANDRES",MALLORCA B,Suplente,Local,SP. ATº CIUTAT DE PALMA,31,0,0,0,18
15,"DIALLO CONDE, ABDOURAHAMANE",MALLORCA B,Suplente,Local,SP. ATº CIUTAT DE PALMA,31,0,0,0,36
13,"CABELLOS CRUZ, ENRIQUE",SP. ATº CIUTAT DE PALMA,Titular,Visitante,MALLORCA B,31,0,0,0,90
2,"MUNAR LAZARO, DANIEL",SP. ATº CIUTAT DE PALMA,Titular,Visitante,MALLORCA B,31,0,0,0,90
5,"CACERES AMOROS, MATEO",SP. ATº CIUTAT DE PALMA,Titular,Visitante,MALLORCA B,31,0,0,0,90
6,"SANS JIMENEZ, MIQUEL ANGEL",SP. ATº CIUTAT DE PALMA,Titular,Visitante,MALLORCA B,31,0,0,0,90
7,"SANCHO OLIVER, PEDRO",SP. ATº CIUTAT DE PALMA,Titular,Visitante,MALLORCA B,31,0,0,0,88
10,"SARMIENTO CABAÑIN, GABRIEL A",SP. ATº CIUTAT DE PALMA,Titular,Visitante,MALLORCA B,31,0,0,0,88
11,"KRZYZYK SERRANO, PEDRO",SP. ATº CIUTAT DE PALMA,Titular,Visitante,MALLORCA B,31,0,0,0,74
14,"AMENGUAL LIRIO, IVAN",SP. ATº CIUTAT DE PALMA,Titular,Visitante,MALLORCA B,31,0,1,0,88
20,"BARRY DIALLO, MAMADOU ALIOU",SP. ATº CIUTAT DE PALMA,Titular,Visitante,MALLORCA B,31,0,1,0,90
21,"KRAUSSE, IGNACIO TOMAS",SP. ATº CIUTAT DE PALMA,Titular,Visitante,MALLORCA B,31,0,0,0,80
22,"ORDOÑEZ QUETGLAS, MARC",SP. ATº CIUTAT DE PALMA,Titular,Visitante,MALLORCA B,31,0,0,0,90
1,"GONZALEZ VASQUEZ, LUIS JOSE",SP. ATº CIUTAT DE PALMA,Suplente,Visitante,MALLORCA B,31,0,0,0,0
4,"ORELLANA ZERDA, JORDI",SP. ATº CIUTAT DE PALMA,Suplente,Visitante,MALLORCA B,31,0,0,0,0
8,"FERNÁNDEZ CASSO, ALBERTO",SP. ATº CIUTAT DE PALMA,Suplente,Visitante,MALLORCA B,31,0,0,0,2
9,"ABRAHAM BOLAÑOS, ISAAC",SP. ATº CIUTAT DE PALMA,Suplente,Visitante,MALLORCA B,31,0,0,0,16
18,"MORETTI, VALENTINO",SP. ATº CIUTAT DE PALMA,Suplente,Visitante,MALLORCA B,31,0,0,0,2
23,"GOMEZ BLANCA, AARON",SP. ATº CIUTAT DE PALMA,Suplente,Visitante,MALLORCA B,31,0,0,0,10
27,"GOMEZ BARBOSA, RICARDO ADRIAN",SP. ATº CIUTAT DE PALMA,Suplente,Visitante,MALLORCA B,31,0,0,0,2
