numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
1,"CATRON, URIAS",PALMA F.C.,Titular,Local,PLATGES DE CALVIA A,31,0,0,0,90
2,"CONDE, MAMADI",PALMA F.C.,Titular,Local,PLATGES DE CALVIA A,31,0,0,0,90
3,"MARCANO FLORIAN, SEBASTIAN JESUS",PALMA F.C.,Titular,Local,PLATGES DE CALVIA A,31,0,0,0,90
4,"ALCALDE ORTEGA, JUAN JOSÉ",PALMA F.C.,Titular,Local,PLATGES DE CALVIA A,31,0,0,0,90
5,ZAPATA,PALMA F.C.,Titular,Local,PLATGES DE CALVIA A,31,0,0,0,90
6,"FERRA OSPINA, CARLES JOAN",PALMA F.C.,Titular,Local,PLATGES DE CALVIA A,31,0,0,0,63
7,"NDIR GUEYE, MOUHAMADOUL LAMIN",PALMA F.C.,Titular,Local,PLATGES DE CALVIA A,31,0,0,0,76
8,"SAMPOL MARTINEZ, MARC",PALMA F.C.,Titular,Local,PLATGES DE CALVIA A,31,0,0,0,90
9,"VILLALONGA GÓMEZ, IKER",PALMA F.C.,Titular,Local,PLATGES DE CALVIA A,31,1,0,0,88
10,"FRANCO SINGEORZAN, ALEX",PALMA F.C.,Titular,Local,PLATGES DE CALVIA A,31,0,0,0,90
11,"GIL GOMILA, XAYRON",PALMA F.C.,Titular,Local,PLATGES DE CALVIA A,31,1,0,0,90
13,"AZIZI BAIBOUN, OUSSAMA",PALMA F.C.,Suplente,Local,PLATGES DE CALVIA A,31,0,0,0,0
12,"CRESPI FERNANDEZ, MARC",PALMA F.C.,Suplente,Local,PLATGES DE CALVIA A,31,0,0,0,0
15,"PORCEL MARTINEZ, JORDI",PALMA F.C.,Suplente,Local,PLATGES DE CALVIA A,31,0,0,0,0
16,"MORELL SACRISTÁN, CARLOS",PALMA F.C.,Suplente,Local,PLATGES DE CALVIA A,31,0,0,0,14
17,"PANIZA PAEZ, JOSE LUIS",PALMA F.C.,Suplente,Local,PLATGES DE CALVIA A,31,0,0,0,0
18,"KEANEY, DANIEL THOMAS",PALMA F.C.,Suplente,Local,PLATGES DE CALVIA A,31,0,0,0,27
19,"FOLGADO GARNICA, IXTZUL",PALMA F.C.,Suplente,Local,PLATGES DE CALVIA A,31,0,0,0,2
1,"RODRIGUEZ GUASP, JORDI",PLATGES DE CALVIA A,Titular,Visitante,PALMA F.C.,31,0,0,0,90
2,"GAYUBAS GONZALEZ, LUIS MIGUEL",PLATGES DE CALVIA A,Titular,Visitante,PALMA F.C.,31,0,0,0,54
5,"GARCIA MEDRANO, MARCOS",PLATGES DE CALVIA A,Titular,Visitante,PALMA F.C.,31,0,1,0,90
6,"MATAS OLIVER, PABLO",PLATGES DE CALVIA A,Titular,Visitante,PALMA F.C.,31,0,0,0,72
8,"GARCÍA RODRÍGUEZ, UNAI",PLATGES DE CALVIA A,Titular,Visitante,PALMA F.C.,31,0,1,0,90
9,"CASAUS SANCHEZ, JOSE IGNACIO",PLATGES DE CALVIA A,Titular,Visitante,PALMA F.C.,31,0,0,0,90
10,"EXPOSITO BINNEWIES, ALEJANDRO",PLATGES DE CALVIA A,Titular,Visitante,PALMA F.C.,31,0,0,0,90
11,"PARRA VIZUETE, DANIEL",PLATGES DE CALVIA A,Titular,Visitante,PALMA F.C.,31,0,0,0,90
14,"MAGAN MITCHELL SMITH, MIGUEL",PLATGES DE CALVIA A,Titular,Visitante,PALMA F.C.,31,0,0,0,65
21,"CABRERA FERRA, LIAM",PLATGES DE CALVIA A,Titular,Visitante,PALMA F.C.,31,0,0,0,90
22,"HOLLINGSWORTH, HARRY RICHARD",PLATGES DE CALVIA A,Titular,Visitante,PALMA F.C.,31,0,0,0,65
25,"GRAF PILATI VON THASSUL ZU GARCIA, DANIEL",PLATGES DE CALVIA A,Suplente,Visitante,PALMA F.C.,31,0,0,0,0
3,"ALCOLEA ESCORCIA, CARLOS",PLATGES DE CALVIA A,Suplente,Visitante,PALMA F.C.,31,0,0,0,25
7,"VIOLA, RICCARDO",PLATGES DE CALVIA A,Suplente,Visitante,PALMA F.C.,31,0,0,0,25
19,"CARDONA MARTIN, MARCOS",PLATGES DE CALVIA A,Suplente,Visitante,PALMA F.C.,31,0,0,0,18
20,"PUJOL ALOMAR, TELM",PLATGES DE CALVIA A,Suplente,Visitante,PALMA F.C.,31,0,0,0,36
