numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
13,"MANOLACHE POCOVI, DANIEL",PENYA ARRABAL A,Titular,Local,MANACOR A,31,0,0,0,90
3,"MARTINEZ MUNTANER, SERGI",PENYA ARRABAL A,Titular,Local,MANACOR A,31,0,0,0,62
4,"MARTORELL MUDOY, JOAN",PENYA ARRABAL A,Titular,Local,MANACOR A,31,0,0,0,90
6,"MUÑOZ BAIXAULI, JUAN",PENYA ARRABAL A,Titular,Local,MANACOR A,31,0,0,0,90
7,"GARCES NAVARRETE, JEREMY",PENYA ARRABAL A,Titular,Local,MANACOR A,31,0,0,0,90
8,"GARCIA HERNANDEZ, JOSE RAMON",PENYA ARRABAL A,Titular,Local,MANACOR A,31,0,0,0,62
9,"LEBRERO BENITEZ, HUGO",PENYA ARRABAL A,Titular,Local,MANACOR A,31,2,0,0,68
10,"CRESPI BARRERA, LEONARDO",PENYA ARRABAL A,Titular,Local,MANACOR A,31,0,0,0,68
18,"FIOL ACEITUNO, MIQUEL",PENYA ARRABAL A,Titular,Local,MANACOR A,31,0,0,0,73
19,"CASTAÑER PECELLIN, RAFAEL",PENYA ARRABAL A,Titular,Local,MANACOR A,31,1,0,0,90
21,"RIUTORT GONZALEZ, JUAN FRANCISCO",PENYA ARRABAL A,Titular,Local,MANACOR A,31,0,0,0,90
1,"MUÑOZ CAMPOY, IVAN",PENYA ARRABAL A,Suplente,Local,MANACOR A,31,0,0,0,0
5,"VALLESPIR TIMONER, PERE MARC",PENYA ARRABAL A,Suplente,Local,MANACOR A,31,0,0,0,22
14,"MAS MAIMO, JOSEP",PENYA ARRABAL A,Suplente,Local,MANACOR A,31,0,0,0,17
17,"ARIAS BESTARD, ENZO",PENYA ARRABAL A,Suplente,Local,MANACOR A,31,0,0,0,0
20,"PASCUAL RIERA, MIGUEL ANGEL",PENYA ARRABAL A,Suplente,Local,MANACOR A,31,0,0,0,28
22,"MORENO PUJOL, JAVIER",PENYA ARRABAL A,Suplente,Local,MANACOR A,31,0,0,0,28
23,"SEGUI ESTEBAN, IAN",PENYA ARRABAL A,Suplente,Local,MANACOR A,31,0,1,0,22
25,"BURGUERA BONET, JULIÀ",MANACOR A,Titular,Visitante,PENYA ARRABAL A,31,0,0,0,90
3,"DIMITROV, DIMITAR DIMITROV",MANACOR A,Titular,Visitante,PENYA ARRABAL A,31,0,0,0,90
4,"GRAHAM, NATHAN STUART",MANACOR A,Titular,Visitante,PENYA ARRABAL A,31,0,1,0,64
6,"BAUZA COMPANY, JOAN",MANACOR A,Titular,Visitante,PENYA ARRABAL A,31,0,0,0,90
8,"MARCOS MONGE, IKER",MANACOR A,Titular,Visitante,PENYA ARRABAL A,31,0,1,0,90
10,"POSTIGO GARAT, RAUL",MANACOR A,Titular,Visitante,PENYA ARRABAL A,31,0,0,0,64
14,"GUICHANDUT GOMILA, MARC",MANACOR A,Titular,Visitante,PENYA ARRABAL A,31,0,0,0,90
16,"FUSTER GONZALEZ, SERGI",MANACOR A,Titular,Visitante,PENYA ARRABAL A,31,1,0,0,90
17,"VIVES HIDALGO, IKER",MANACOR A,Titular,Visitante,PENYA ARRABAL A,31,0,0,0,81
18,"DOMINICI ALMONTE, ANTHONY DE JESUS",MANACOR A,Titular,Visitante,PENYA ARRABAL A,31,0,0,0,45
19,"RODRIGUEZ GALDON, DANIEL",MANACOR A,Titular,Visitante,PENYA ARRABAL A,31,0,0,0,49
13,"GARCIA MESTRE, DAVID",MANACOR A,Suplente,Visitante,PENYA ARRABAL A,31,0,0,0,9
2,"LAMSIAH AJGHOUF, OSSAMA",MANACOR A,Suplente,Visitante,PENYA ARRABAL A,31,0,0,0,45
7,"LAKHAL ZEROUALE, SAAD",MANACOR A,Suplente,Visitante,PENYA ARRABAL A,31,0,0,0,26
21,"TRIAY PETHERAM, TOMAS ISMAEL",MANACOR A,Suplente,Visitante,PENYA ARRABAL A,31,1,0,0,26
23,"MARTINEZ ABELLAN, IKER",MANACOR A,Suplente,Visitante,PENYA ARRABAL A,31,0,0,0,41
