numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
1,"RAMON DIAZ, HUGO",PENYA INDEPENDENT A,Titular,Local,PENYA CIUTADELLA ESPORTIVA A,31,0,0,0,90
4,"MARTINEZ JUAN, MARTIN",PENYA INDEPENDENT A,Titular,Local,PENYA CIUTADELLA ESPORTIVA A,31,0,0,0,90
5,"ESCANDELL RIBAS, JOAN",PENYA INDEPENDENT A,Titular,Local,PENYA CIUTADELLA ESPORTIVA A,31,0,0,0,90
7,"EL HABBOULA EL KORTOBI, ABDELMOIZE",PENYA INDEPENDENT A,Titular,Local,PENYA CIUTADELLA ESPORTIVA A,31,1,0,0,70
8,"PRATS RIPOLL, MIQUEL",PENYA INDEPENDENT A,Titular,Local,PENYA CIUTADELLA ESPORTIVA A,31,0,0,0,90
10,"LOPEZ MARI, PABLO",PENYA INDEPENDENT A,Titular,Local,PENYA CIUTADELLA ESPORTIVA A,31,1,1,0,87
14,"FERRER TORRES, PEDRO",PENYA INDEPENDENT A,Titular,Local,PENYA CIUTADELLA ESPORTIVA A,31,0,0,0,45
15,"FAQUINETTI VERGILIO, SAMUEL",PENYA INDEPENDENT A,Titular,Local,PENYA CIUTADELLA ESPORTIVA A,31,0,1,0,90
17,"ODERA PACILIO, SANTIAGO",PENYA INDEPENDENT A,Titular,Local,PENYA CIUTADELLA ESPORTIVA A,31,0,0,0,90
19,"EL ATTARINE BOUZID, MOHAMED",PENYA INDEPENDENT A,Titular,Local,PENYA CIUTADELLA ESPORTIVA A,31,3,1,0,90
20,"BERNHARDT, JOEL PIOTR",PENYA INDEPENDENT A,Titular,Local,PENYA CIUTADELLA ESPORTIVA A,31,0,0,0,76
2,"GRANDA VILLAVICENCIO, DAVID JOAN",PENYA INDEPENDENT A,Suplente,Local,PENYA CIUTADELLA ESPORTIVA A,31,0,0,0,45
3,"VALLE GUASCH, GAEL",PENYA INDEPENDENT A,Suplente,Local,PENYA CIUTADELLA ESPORTIVA A,31,0,0,0,0
6,"IRUELA KLISHINA, DAVID",PENYA INDEPENDENT A,Suplente,Local,PENYA CIUTADELLA ESPORTIVA A,31,1,1,0,20
11,"BASILIO FERNANDEZ, MARC",PENYA INDEPENDENT A,Suplente,Local,PENYA CIUTADELLA ESPORTIVA A,31,0,0,0,3
12,"JUAN GUASCH, JORDI MIQUEL",PENYA INDEPENDENT A,Suplente,Local,PENYA CIUTADELLA ESPORTIVA A,31,0,0,0,14
13,"RIOJA GUILLEN, ALFONSO",PENYA CIUTADELLA ESPORTIVA A,Titular,Visitante,PENYA INDEPENDENT A,31,0,0,0,90
5,"BERNAL VOIGT, YAMPEL RICHARD",PENYA CIUTADELLA ESPORTIVA A,Titular,Visitante,PENYA INDEPENDENT A,31,1,0,0,90
6,"RUS FERNANDEZ, IGNASI",PENYA CIUTADELLA ESPORTIVA A,Titular,Visitante,PENYA INDEPENDENT A,31,0,1,0,90
8,"FLORIT ANGLADA, JOSEP",PENYA CIUTADELLA ESPORTIVA A,Titular,Visitante,PENYA INDEPENDENT A,31,0,0,0,70
9,"TRIAY SASTRE, ADRIA",PENYA CIUTADELLA ESPORTIVA A,Titular,Visitante,PENYA INDEPENDENT A,31,0,0,0,90
10,"PONS MOLL, FRANCESC",PENYA CIUTADELLA ESPORTIVA A,Titular,Visitante,PENYA INDEPENDENT A,31,0,0,0,90
12,"LEON JUAN, VICTOR",PENYA CIUTADELLA ESPORTIVA A,Titular,Visitante,PENYA INDEPENDENT A,31,0,0,0,45
17,"PASCUAL GORNES, ENRIC",PENYA CIUTADELLA ESPORTIVA A,Titular,Visitante,PENYA INDEPENDENT A,31,0,0,0,8
19,"SALORT MARIN, JORGE",PENYA CIUTADELLA ESPORTIVA A,Titular,Visitante,PENYA INDEPENDENT A,31,0,0,0,57
21,"MARQUES BAGUR, JOAN",PENYA CIUTADELLA ESPORTIVA A,Titular,Visitante,PENYA INDEPENDENT A,31,0,0,0,90
22,"CAMPS SEOANE, VICTOR",PENYA CIUTADELLA ESPORTIVA A,Titular,Visitante,PENYA INDEPENDENT A,31,0,0,0,45
1,"BARCELO BOSCH, ANDREU",PENYA CIUTADELLA ESPORTIVA A,Suplente,Visitante,PENYA INDEPENDENT A,31,0,0,0,0
2,"AGUILAR BOSCH, DAVID",PENYA CIUTADELLA ESPORTIVA A,Suplente,Visitante,PENYA INDEPENDENT A,31,0,0,0,45
3,"JUANEDA JUANEDA, JOSEP",PENYA CIUTADELLA ESPORTIVA A,Suplente,Visitante,PENYA INDEPENDENT A,31,0,0,0,45
4,"FEDELICH MARQUES, JAN",PENYA CIUTADELLA ESPORTIVA A,Suplente,Visitante,PENYA INDEPENDENT A,31,0,0,0,33
7,"DIAZ LLABRES, ISAAC",PENYA CIUTADELLA ESPORTIVA A,Suplente,Visitante,PENYA INDEPENDENT A,31,3,0,0,82
14,"CAPO MORA, MARC",PENYA CIUTADELLA ESPORTIVA A,Suplente,Visitante,PENYA INDEPENDENT A,31,0,2,0,20
