numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
13,"MARTINS CORRAL, DIEGO",SAN FRANCISCO B,Titular,Local,CONSTANCIA A,31,0,0,0,90
2,"LOPEZ CABRERA, JESUS",SAN FRANCISCO B,Titular,Local,CONSTANCIA A,31,0,0,1,90
3,"SILVA SALINAS, ALEJANDRO",SAN FRANCISCO B,Titular,Local,CONSTANCIA A,31,0,1,0,90
4,"RIBAS MUÑOZ, SERGI",SAN FRANCISCO B,Titular,Local,CONSTANCIA A,31,0,0,0,90
5,"BARRAGAN AGUILO, HECTOR DARIO",SAN FRANCISCO B,Titular,Local,CONSTANCIA A,31,0,0,0,90
6,"LEDESMA COR, MATEU",SAN FRANCISCO B,Titular,Local,CONSTANCIA A,31,0,1,0,90
7,"MASSANET CABRER, FRANCESC",SAN FRANCISCO B,Titular,Local,CONSTANCIA A,31,0,0,0,57
8,"ANDEBUELA BARRIOS, PABLO",SAN FRANCISCO B,Titular,Local,CONSTANCIA A,31,0,1,0,71
9,"SUÁREZ SERRA, ALEX",SAN FRANCISCO B,Titular,Local,CONSTANCIA A,31,0,0,0,67
10,"GALLARDO DEL VALLE, BENJAMIN",SAN FRANCISCO B,Titular,Local,CONSTANCIA A,31,0,0,0,90
11,"ALARCON CAVERO, JOEL",SAN FRANCISCO B,Titular,Local,CONSTANCIA A,31,0,0,0,57
1,"PRIOR, JUDE HARRY",SAN FRANCISCO B,Suplente,Local,CONSTANCIA A,31,0,0,0,0
12,"GIRALDE BAUZA, JAVIER",SAN FRANCISCO B,Suplente,Local,CONSTANCIA A,31,0,0,0,0
14,"DIAZ ROMERO, GYLBERT",SAN FRANCISCO B,Suplente,Local,CONSTANCIA A,31,0,0,0,19
15,"BORDOY LEAL, PEDRO",SAN FRANCISCO B,Suplente,Local,CONSTANCIA A,31,0,0,0,0
16,"SALAMANCA GALERA, AITOR",SAN FRANCISCO B,Suplente,Local,CONSTANCIA A,31,0,0,0,33
17,"PADILLA BORRAS, PERE",SAN FRANCISCO B,Suplente,Local,CONSTANCIA A,31,0,0,0,33
18,"CONDE PEREIRA, ALEJANDRO MANUEL",SAN FRANCISCO B,Suplente,Local,CONSTANCIA A,31,0,0,0,23
13,"BOVER LLOMPART, JOSEP",CONSTANCIA A,Titular,Visitante,SAN FRANCISCO B,31,0,0,0,90
4,"CRESPI LUCENA, JUAN MIQUEL",CONSTANCIA A,Titular,Visitante,SAN FRANCISCO B,31,0,0,0,90
5,"FONTCUBERTA GALINDO, GABRIEL",CONSTANCIA A,Titular,Visitante,SAN FRANCISCO B,31,0,0,0,90
7,"MARTIN MONSALVE, IAN",CONSTANCIA A,Titular,Visitante,SAN FRANCISCO B,31,0,0,0,90
8,"COMPANY INGLA, JAUME",CONSTANCIA A,Titular,Visitante,SAN FRANCISCO B,31,0,0,0,90
10,"CABEZAS GALLARDO, MANUEL",CONSTANCIA A,Titular,Visitante,SAN FRANCISCO B,31,0,0,0,58
11,"COLL AREVALO, JORDI",CONSTANCIA A,Titular,Visitante,SAN FRANCISCO B,31,0,0,0,66
14,"MORENO GODOY, NICOLAS",CONSTANCIA A,Titular,Visitante,SAN FRANCISCO B,31,0,1,0,90
16,"OLIVER GELABERT, PERE",CONSTANCIA A,Titular,Visitante,SAN FRANCISCO B,31,0,0,0,75
18,"PATRICIO GUAL, MARC",CONSTANCIA A,Titular,Visitante,SAN FRANCISCO B,31,0,0,0,58
22,"MAIRATA NOGUERA, ADRIA",CONSTANCIA A,Titular,Visitante,SAN FRANCISCO B,31,0,0,0,58
1,"MIR OLMO, JORDI",CONSTANCIA A,Suplente,Visitante,SAN FRANCISCO B,31,0,0,0,0
3,"ROMAN DE REMENTERIA, ASIER",CONSTANCIA A,Suplente,Visitante,SAN FRANCISCO B,31,0,0,0,32
6,"BOTELLO CARMONA, PAU",CONSTANCIA A,Suplente,Visitante,SAN FRANCISCO B,31,0,0,0,0
9,"BALLE BRUNET, JOAN",CONSTANCIA A,Suplente,Visitante,SAN FRANCISCO B,31,1,0,0,15
19,"GALVEZ ESPINOZA, BRAD ANTONY",CONSTANCIA A,Suplente,Visitante,SAN FRANCISCO B,31,0,0,0,32
20,"CHUKWUKERE PULLET, GREGORY IKECHUKWU",CONSTANCIA A,Suplente,Visitante,SAN FRANCISCO B,31,0,0,0,24
23,"BLANCO WEBER, LUCA",CONSTANCIA A,Suplente,Visitante,SAN FRANCISCO B,31,1,0,0,32
