numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
13,"ROIG VEGA, MATEO",SANTA CATALINA ATº A,Titular,Local,PLA DE NA TESA A,31,0,0,0,90
2,"VICH FORTEZA, LLUC",SANTA CATALINA ATº A,Titular,Local,PLA DE NA TESA A,31,1,0,0,90
4,"PALAU ORDINAS, MIQUEL",SANTA CATALINA ATº A,Titular,Local,PLA DE NA TESA A,31,0,0,0,90
5,"DEYÀ BELTRÁN, SEBASTIÀ",SANTA CATALINA ATº A,Titular,Local,PLA DE NA TESA A,31,0,1,0,90
7,"ADROVER MELIS, FRANCESC",SANTA CATALINA ATº A,Titular,Local,PLA DE NA TESA A,31,0,0,0,70
8,"LOPEZ FUXA, AARON",SANTA CATALINA ATº A,Titular,Local,PLA DE NA TESA A,31,0,0,0,90
9,"LOMAS SERVERA, PAU",SANTA CATALINA ATº A,Titular,Local,PLA DE NA TESA A,31,0,0,0,60
10,"FERNANDEZ REY, RAUL",SANTA CATALINA ATº A,Titular,Local,PLA DE NA TESA A,31,0,0,0,90
14,"KOPACH, DANIIL",SANTA CATALINA ATº A,Titular,Local,PLA DE NA TESA A,31,0,0,0,90
21,"EZ ZARY SAIDI, ISMAEL",SANTA CATALINA ATº A,Titular,Local,PLA DE NA TESA A,31,0,0,0,76
22,"ALARCON RAGO, THIAGO",SANTA CATALINA ATº A,Titular,Local,PLA DE NA TESA A,31,0,1,0,46
1,"MADROÑERO CONTRERAS, DAYRON",SANTA CATALINA ATº A,Suplente,Local,PLA DE NA TESA A,31,0,0,0,0
3,"GARCIA BISQUERRA, JAVIER",SANTA CATALINA ATº A,Suplente,Local,PLA DE NA TESA A,31,0,0,0,14
6,"GARCIAS LLABRES, MIQUEL",SANTA CATALINA ATº A,Suplente,Local,PLA DE NA TESA A,31,0,0,0,0
11,"MASCARELL LLABRES, MARC",SANTA CATALINA ATº A,Suplente,Local,PLA DE NA TESA A,31,0,0,0,14
16,"BARRIGA CATRINA, VICTOR",SANTA CATALINA ATº A,Suplente,Local,PLA DE NA TESA A,31,0,0,0,44
18,"MARTIN CABALLERO, ANGEL",SANTA CATALINA ATº A,Suplente,Local,PLA DE NA TESA A,31,0,0,0,30
19,"MENDOZA SOLER, MARIO",SANTA CATALINA ATº A,Suplente,Local,PLA DE NA TESA A,31,1,0,0,20
13,"FATY, MALANG",PLA DE NA TESA A,Titular,Visitante,SANTA CATALINA ATº A,31,0,0,0,90
2,"DRAGHI, MAXIMO",PLA DE NA TESA A,Titular,Visitante,SANTA CATALINA ATº A,31,0,0,0,90
3,"OSEGIE AMADASUN, MARVIN ISOKEN",PLA DE NA TESA A,Titular,Visitante,SANTA CATALINA ATº A,31,0,0,0,90
4,"GONZALEZ OBRADOR, ENRIC",PLA DE NA TESA A,Titular,Visitante,SANTA CATALINA ATº A,31,1,0,0,90
5,"ALONSO MUNICIO, PABLO",PLA DE NA TESA A,Titular,Visitante,SANTA CATALINA ATº A,31,0,0,0,90
6,"COULIBALY COULIBALY, MADANE",PLA DE NA TESA A,Titular,Visitante,SANTA CATALINA ATº A,31,1,0,0,80
7,"MORA GISPERT, HUGO",PLA DE NA TESA A,Titular,Visitante,SANTA CATALINA ATº A,31,0,0,0,80
8,"ONCALA CARAVACA, DANIEL",PLA DE NA TESA A,Titular,Visitante,SANTA CATALINA ATº A,31,0,0,0,90
9,"ASAMOAH ASANTEWAA, DENIS",PLA DE NA TESA A,Titular,Visitante,SANTA CATALINA ATº A,31,0,0,0,67
10,"MONTES MORALES, ADRIAN",PLA DE NA TESA A,Titular,Visitante,SANTA CATALINA ATº A,31,1,0,0,80
11,"MASCARÓ SERVERA, JUAN",PLA DE NA TESA A,Titular,Visitante,SANTA CATALINA ATº A,31,0,0,0,76
1,"CRUZ SEGUI, SERGIO",PLA DE NA TESA A,Suplente,Visitante,SANTA CATALINA ATº A,31,0,0,0,0
12,"NAVARRO BEZARES, JAVIER",PLA DE NA TESA A,Suplente,Visitante,SANTA CATALINA ATº A,31,0,0,0,10
14,"MONTES DE OCA LÓPEZ, VICTOR",PLA DE NA TESA A,Suplente,Visitante,SANTA CATALINA ATº A,31,0,0,0,10
15,"NAVIO TORRICO, ADRIAN",PLA DE NA TESA A,Suplente,Visitante,SANTA CATALINA ATº A,31,0,0,0,23
16,"CACERES COMAS, SERGI",PLA DE NA TESA A,Suplente,Visitante,SANTA CATALINA ATº A,31,1,0,0,14
17,"AIT SAID TAFZATI, NABIL",PLA DE NA TESA A,Suplente,Visitante,SANTA CATALINA ATº A,31,0,0,0,10
18,"MESA ZAFRA, CHRISTIAN",PLA DE NA TESA A,Suplente,Visitante,SANTA CATALINA ATº A,31,0,0,0,0
