numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
13,"SILVA GIORGIO, AGUSTIN",SD LA SALLE A,Titular,Local,ANDRATX A,31,0,0,0,90
2,"PANEQUE PÉREZ, JOEL",SD LA SALLE A,Titular,Local,ANDRATX A,31,0,0,0,62
3,"MOYA PEDREGOSA, ALEJANDRO",SD LA SALLE A,Titular,Local,ANDRATX A,31,0,0,0,90
4,"VIZCAINO SEGURA, ALAN",SD LA SALLE A,Titular,Local,ANDRATX A,31,0,0,0,90
5,"GIL MASSANET, LLUIS",SD LA SALLE A,Titular,Local,ANDRATX A,31,0,0,0,62
6,"ESCUERO PARDOS, MARTI",SD LA SALLE A,Titular,Local,ANDRATX A,31,0,0,0,77
7,"TORRALBA TANUGGI, LUIS",SD LA SALLE A,Titular,Local,ANDRATX A,31,0,0,0,90
8,"CORTES BOIXO, ALEIX",SD LA SALLE A,Titular,Local,ANDRATX A,31,0,1,0,90
9,"COMAS HUTTEN, PAU LLUIS",SD LA SALLE A,Titular,Local,ANDRATX A,31,1,0,0,90
10,"GOMILA GAMERO, FRANCISCO",SD LA SALLE A,Titular,Local,ANDRATX A,31,0,0,0,62
11,"FERNANDEZ CABRERA, DAVID",SD LA SALLE A,Titular,Local,ANDRATX A,31,1,0,0,40
1,"FONTANET REUS, TOMAS",SD LA SALLE A,Suplente,Local,ANDRATX A,31,0,0,0,0
12,"PUYA TUR, OSCAR",SD LA SALLE A,Suplente,Local,ANDRATX A,31,0,0,0,13
15,"AMAYA MALENO, FRANCISCO",SD LA SALLE A,Suplente,Local,ANDRATX A,31,0,0,0,28
16,"ARBOS DENGRA, DIEGO",SD LA SALLE A,Suplente,Local,ANDRATX A,31,0,0,0,50
17,"RODRIGUEZ MONGELOS, GAEL PAU",SD LA SALLE A,Suplente,Local,ANDRATX A,31,1,0,0,28
20,"VIVARES ARANDA, YANNICK",SD LA SALLE A,Suplente,Local,ANDRATX A,31,0,0,0,28
1,"DAM, NEO DUPONT",ANDRATX A,Titular,Visitante,SD LA SALLE A,31,0,0,0,90
2,"PATRICIO TORRRENS, JUAN",ANDRATX A,Titular,Visitante,SD LA SALLE A,31,0,1,0,60
6,"TUR HORRACH, HUG",ANDRATX A,Titular,Visitante,SD LA SALLE A,31,1,0,0,90
7,"LUPIAÑEZ ALEMANY, TONI",ANDRATX A,Titular,Visitante,SD LA SALLE A,31,0,1,0,90
8,"ALMERING, BEPPE",ANDRATX A,Titular,Visitante,SD LA SALLE A,31,0,2,0,90
9,"VARGAS RODRIGUEZ, NICOLAS",ANDRATX A,Titular,Visitante,SD LA SALLE A,31,0,0,0,67
10,"SANCHEZ RAMIREZ, JAVIER",ANDRATX A,Titular,Visitante,SD LA SALLE A,31,0,0,0,90
15,"DE JUANA QUETGLAS, DIEGO",ANDRATX A,Titular,Visitante,SD LA SALLE A,31,0,0,0,81
18,"AMER CASTILLO, MIGUEL",ANDRATX A,Titular,Visitante,SD LA SALLE A,31,0,0,0,90
22,"HOMAR GARCIA, ROMAN",ANDRATX A,Titular,Visitante,SD LA SALLE A,31,0,0,0,81
23,"DE JUANA QUETGLAS, SERGIO",ANDRATX A,Titular,Visitante,SD LA SALLE A,31,0,0,0,67
3,"ALARCON FERRER, ADRIAN",ANDRATX A,Suplente,Visitante,SD LA SALLE A,31,0,0,0,9
4,"LABRADOR VILLAR, SERGIO",ANDRATX A,Suplente,Visitante,SD LA SALLE A,31,0,0,0,0
5,"POLINTANG ANCHETA, GIANNE LARRY",ANDRATX A,Suplente,Visitante,SD LA SALLE A,31,0,0,0,9
11,"JIMENEZ PASTOR, IKER",ANDRATX A,Suplente,Visitante,SD LA SALLE A,31,0,0,0,30
12,"LEFTER, ANDREI FABIAN",ANDRATX A,Suplente,Visitante,SD LA SALLE A,31,0,1,0,23
13,"FERREIRA MENDEZ, RAFAEL",ANDRATX A,Suplente,Visitante,SD LA SALLE A,31,0,0,0,0
21,"SINTES DIAZ, JOAN",ANDRATX A,Suplente,Visitante,SD LA SALLE A,31,0,0,0,23
