numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
13,"GASCON SASTRE, IKER",UD MAHON,Titular,Local,POBLENSE A,31,0,0,0,90
2,"IZAGUIRRE RODRIGUEZ, RICARDO ABRAHAM",UD MAHON,Titular,Local,POBLENSE A,31,0,0,0,74
3,"DE LA PUENTE JAÑEZ, NICOLAS",UD MAHON,Titular,Local,POBLENSE A,31,0,0,0,90
4,"GOMEZ GORDILLO, RAUL",UD MAHON,Titular,Local,POBLENSE A,31,0,0,0,90
5,"GOMEZ SANTOS, JUAN",UD MAHON,Titular,Local,POBLENSE A,31,1,0,0,90
6,"BOLIVAR PERAL, ROGER",UD MAHON,Titular,Local,POBLENSE A,31,0,0,0,90
7,"DE OLIVEIRA MESSIAS, EMMANUEL",UD MAHON,Titular,Local,POBLENSE A,31,0,0,0,70
8,"MASCARO MARTINEZ, IKER",UD MAHON,Titular,Local,POBLENSE A,31,0,0,0,90
9,"ELHADJ ABDOULAYE, BALDE",UD MAHON,Titular,Local,POBLENSE A,31,0,0,0,70
10,"PEREZ MARTIN, IGNACIO",UD MAHON,Titular,Local,POBLENSE A,31,0,0,0,90
11,"DE OLIVEIRA MESSIAS, KLAYVER",UD MAHON,Titular,Local,POBLENSE A,31,0,1,0,70
1,"ORFILA QUINTANA, AARON",UD MAHON,Suplente,Local,POBLENSE A,31,0,0,0,0
12,"ESPINOZA ARMIJOS, CARLOS ANDRES",UD MAHON,Suplente,Local,POBLENSE A,31,0,1,0,20
14,"TEJEDOR MORENO, ALEJANDRO",UD MAHON,Suplente,Local,POBLENSE A,31,0,0,0,20
15,"ORFILA PONCE, JULEN",UD MAHON,Suplente,Local,POBLENSE A,31,0,0,0,16
16,"PEREZ CALDERON, ADRIAN",UD MAHON,Suplente,Local,POBLENSE A,31,0,0,0,0
17,"VILALTA GARCIA, ARNAU",UD MAHON,Suplente,Local,POBLENSE A,31,0,0,0,0
18,"SINTES MELERO, ALVARO",UD MAHON,Suplente,Local,POBLENSE A,31,0,0,0,20
1,"BOUJJIA LAMRINI, AMIN",POBLENSE A,Titular,Visitante,UD MAHON,31,0,0,0,90
4,"ENSEÑAT RAMIS, MIQUEL",POBLENSE A,Titular,Visitante,UD MAHON,31,0,0,0,90
5,"DE LA CRUZ RIERA, JOAN MATEU",POBLENSE A,Titular,Visitante,UD MAHON,31,0,1,0,82
6,"AGUILERA PERELLO, ADRIÀ",POBLENSE A,Titular,Visitante,UD MAHON,31,0,0,0,88
7,"CAIMARI FIGUEROLA, JAUME",POBLENSE A,Titular,Visitante,UD MAHON,31,0,0,0,88
10,"CHICA COMAS, JUAN A",POBLENSE A,Titular,Visitante,UD MAHON,31,0,0,0,90
11,"RETTICH SOLER, JOSEP",POBLENSE A,Titular,Visitante,UD MAHON,31,0,0,0,90
14,"GONZÁLEZ ONETO, ASSIER",POBLENSE A,Titular,Visitante,UD MAHON,31,0,0,0,70
18,"MORAGUES MORAGUES, JOAN",POBLENSE A,Titular,Visitante,UD MAHON,31,0,0,0,90
20,"FERNANDEZ HEREDIA, ALEJANDRO",POBLENSE A,Titular,Visitante,UD MAHON,31,0,0,0,82
23,"RIERA MARTÍNEZ, FERRAN",POBLENSE A,Titular,Visitante,UD MAHON,31,0,0,0,90
2,"GIBSON, JASPER",POBLENSE A,Suplente,Visitante,UD MAHON,31,0,0,0,20
8,"THIAM BORRAS, KARIM",POBLENSE A,Suplente,Visitante,UD MAHON,31,0,0,0,2
9,"FERRER RIGO, SEBASTIÀ",POBLENSE A,Suplente,Visitante,UD MAHON,31,0,0,0,8
12,"MEFTAH ES SALEMY, BILAL",POBLENSE A,Suplente,Visitante,UD MAHON,31,0,0,0,2
13,"OLIVER RAMIS, PEP",POBLENSE A,Suplente,Visitante,UD MAHON,31,0,0,0,0
21,"VIVES COMAS, JOAN JORDI",POBLENSE A,Suplente,Visitante,UD MAHON,31,0,0,0,8
25,"TUR ESCALAS, TONI",POBLENSE A,Suplente,Visitante,UD MAHON,31,0,0,0,0
