numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
1,"DAM, NEO DUPONT",ANDRATX A,Titular,Local,MALLORCA B,32,0,0,0,90
2,"PATRICIO TORRRENS, JUAN",ANDRATX A,Titular,Local,MALLORCA B,32,0,1,0,72
3,"ALARCON FERRER, ADRIAN",ANDRATX A,Titular,Local,MALLORCA B,32,0,0,0,90
6,"TUR HORRACH, HUG",ANDRATX A,Titular,Local,MALLORCA B,32,0,0,0,90
7,"LUPIAÑEZ ALEMANY, TONI",ANDRATX A,Titular,Local,MALLORCA B,32,0,2,0,90
9,"VARGAS RODRIGUEZ, NICOLAS",ANDRATX A,Titular,Local,MALLORCA B,32,1,0,0,90
10,"SANCHEZ RAMIREZ, JAVIER",ANDRATX A,Titular,Local,MALLORCA B,32,0,0,0,69
11,"JIMENEZ PASTOR, IKER",ANDRATX A,Titular,Local,MALLORCA B,32,0,0,0,46
18,"AMER CASTILLO, MIGUEL",ANDRATX A,Titular,Local,MALLORCA B,32,0,0,0,60
21,"SINTES DIAZ, JOAN",ANDRATX A,Titular,Local,MALLORCA B,32,0,0,0,90
22,"HOMAR GARCIA, ROMAN",ANDRATX A,Titular,Local,MALLORCA B,32,0,0,0,72
5,"LEFTER, ANDREI FABIAN",ANDRATX A,Suplente,Local,MALLORCA B,32,0,0,0,21
13,"FERREIRA MENDEZ, RAFAEL",ANDRATX A,Suplente,Local,MALLORCA B,32,0,0,0,0
15,"DE JUANA QUETGLAS, DIEGO",ANDRATX A,Suplente,Local,MALLORCA B,32,0,0,0,44
17,"DOBLAS TORRES, MIGUEL",ANDRATX A,Suplente,Local,MALLORCA B,32,0,0,0,18
23,"DE JUANA QUETGLAS, SERGIO",ANDRATX A,Suplente,Local,MALLORCA B,32,0,0,0,30
24,"BERNABÉ VITKIN, JAVIER ANDRÉS",ANDRATX A,Suplente,Local,MALLORCA B,32,0,0,0,18
1,"VALLBONA SERRA, JOAN",MALLORCA B,Titular,Visitante,ANDRATX A,32,0,0,0,90
2,"AVILÉS MAESTRE, JOEL",MALLORCA B,Titular,Visitante,ANDRATX A,32,1,0,0,90
3,"TEJADA LLADONET, ORIOL",MALLORCA B,Titular,Visitante,ANDRATX A,32,0,0,0,72
4,"D'VAZ AFONSO, SPENCER GARCIA",MALLORCA B,Titular,Visitante,ANDRATX A,32,0,0,0,63
5,"ALEMANY TOUS, MARC",MALLORCA B,Titular,Visitante,ANDRATX A,32,0,0,0,90
6,"FERRARI PEREZ, MIGUEL ANGEL",MALLORCA B,Titular,Visitante,ANDRATX A,32,0,0,0,90
7,"DIALLO CONDE, ABDOURAHAMANE",MALLORCA B,Titular,Visitante,ANDRATX A,32,1,0,0,63
8,"CORCINO MUÑOZ, ANDRES",MALLORCA B,Titular,Visitante,ANDRATX A,32,0,0,0,90
9,"SIDIROPOULOS, ANASTASIOS",MALLORCA B,Titular,Visitante,ANDRATX A,32,0,0,0,90
10,"LAZARO TORRES, MARIO",MALLORCA B,Titular,Visitante,ANDRATX A,32,1,0,0,90
11,"MOLINA DONAIRE, DANIEL",MALLORCA B,Titular,Visitante,ANDRATX A,32,0,0,0,90
12,"VAN DER MEER GARI, YANNICK",MALLORCA B,Suplente,Visitante,ANDRATX A,32,0,0,0,18
13,"MERCADAL CARRERAS, JOSEP",MALLORCA B,Suplente,Visitante,ANDRATX A,32,0,0,0,0
14,"VERA SALINAS, ERIK",MALLORCA B,Suplente,Visitante,ANDRATX A,32,0,0,0,27
15,"MARTINEZ BELA, JAVIER",MALLORCA B,Suplente,Visitante,ANDRATX A,32,0,0,0,0
16,"GARCIA LLOMPART, RAFEL",MALLORCA B,Suplente,Visitante,ANDRATX A,32,0,0,0,27
17,"FRESNEDA HIDALGO, HUGO",MALLORCA B,Suplente,Visitante,ANDRATX A,32,0,0,0,0
