numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
1,"MIR OLMO, JORDI",CONSTANCIA A,Titular,Local,PALMA F.C.,32,0,0,0,90
3,"ROMAN DE REMENTERIA, ASIER",CONSTANCIA A,Titular,Local,PALMA F.C.,32,0,1,0,66
4,"CRESPI LUCENA, JUAN MIQUEL",CONSTANCIA A,Titular,Local,PALMA F.C.,32,0,0,0,90
5,"FONTCUBERTA GALINDO, GABRIEL",CONSTANCIA A,Titular,Local,PALMA F.C.,32,0,0,0,90
6,"BOTELLO CARMONA, PAU",CONSTANCIA A,Titular,Local,PALMA F.C.,32,0,0,0,54
7,"MARTIN MONSALVE, IAN",CONSTANCIA A,Titular,Local,PALMA F.C.,32,0,0,0,90
8,"COMPANY INGLA, JAUME",CONSTANCIA A,Titular,Local,PALMA F.C.,32,0,0,0,90
9,"BALLE BRUNET, JOAN",CONSTANCIA A,Titular,Local,PALMA F.C.,32,0,0,0,54
14,"MORENO GODOY, NICOLAS",CONSTANCIA A,Titular,Local,PALMA F.C.,32,0,0,0,90
20,"CHUKWUKERE PULLET, GREGORY IKECHUKWU",CONSTANCIA A,Titular,Local,PALMA F.C.,32,0,0,0,66
23,"BLANCO WEBER, LUCA",CONSTANCIA A,Titular,Local,PALMA F.C.,32,0,0,0,82
10,"CABEZAS GALLARDO, MANUEL",CONSTANCIA A,Suplente,Local,PALMA F.C.,32,0,0,0,8
11,"COLL AREVALO, JORDI",CONSTANCIA A,Suplente,Local,PALMA F.C.,32,0,0,0,36
13,"BOVER LLOMPART, JOSEP",CONSTANCIA A,Suplente,Local,PALMA F.C.,32,0,0,0,0
18,"PATRICIO GUAL, MARC",CONSTANCIA A,Suplente,Local,PALMA F.C.,32,1,1,0,24
19,"GALVEZ ESPINOZA, BRAD ANTONY",CONSTANCIA A,Suplente,Local,PALMA F.C.,32,1,0,0,36
22,"MAIRATA NOGUERA, ADRIA",CONSTANCIA A,Suplente,Local,PALMA F.C.,32,0,0,0,24
1,"CATRON, URIAS",PALMA F.C.,Titular,Visitante,CONSTANCIA A,32,0,1,0,90
2,"CONDE, MAMADI",PALMA F.C.,Titular,Visitante,CONSTANCIA A,32,0,1,0,90
3,"MARCANO FLORIAN, SEBASTIAN JESUS",PALMA F.C.,Titular,Visitante,CONSTANCIA A,32,0,0,0,81
4,ZAPATA,PALMA F.C.,Titular,Visitante,CONSTANCIA A,32,0,0,0,90
5,"KEANEY, DANIEL THOMAS",PALMA F.C.,Titular,Visitante,CONSTANCIA A,32,0,0,0,90
6,"FERRA OSPINA, CARLES JOAN",PALMA F.C.,Titular,Visitante,CONSTANCIA A,32,0,0,0,81
7,"NDIR GUEYE, MOUHAMADOUL LAMIN",PALMA F.C.,Titular,Visitante,CONSTANCIA A,32,0,0,0,81
8,"SAMPOL MARTINEZ, MARC",PALMA F.C.,Titular,Visitante,CONSTANCIA A,32,0,0,1,90
9,"FRANCO SINGEORZAN, ALEX",PALMA F.C.,Titular,Visitante,CONSTANCIA A,32,0,0,0,60
10,"VILLALONGA GÓMEZ, IKER",PALMA F.C.,Titular,Visitante,CONSTANCIA A,32,0,0,0,87
11,"GIL GOMILA, XAYRON",PALMA F.C.,Titular,Visitante,CONSTANCIA A,32,0,0,0,90
12,"ALCALDE ORTEGA, JUAN JOSÉ",PALMA F.C.,Suplente,Visitante,CONSTANCIA A,32,0,0,0,0
13,"AZIZI BAIBOUN, OUSSAMA",PALMA F.C.,Suplente,Visitante,CONSTANCIA A,32,0,0,0,0
15,"ROIG IBAÑEZ, XAVI",PALMA F.C.,Suplente,Visitante,CONSTANCIA A,32,0,0,0,3
16,"FOLGADO GARNICA, IXTZUL",PALMA F.C.,Suplente,Visitante,CONSTANCIA A,32,0,0,0,9
17,"VICENS VIDAL, PAU",PALMA F.C.,Suplente,Visitante,CONSTANCIA A,32,0,0,0,9
18,"MORELL SACRISTÁN, CARLOS",PALMA F.C.,Suplente,Visitante,CONSTANCIA A,32,0,0,0,30
19,"FERREIRO GOMEZ, ALVARO",PALMA F.C.,Suplente,Visitante,CONSTANCIA A,32,0,0,0,9
