numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
25,"BURGUERA BONET, JULIÀ",MANACOR A,Titular,Local,SD LA SALLE A,32,0,0,0,90
3,"DIMITROV, DIMITAR DIMITROV",MANACOR A,Titular,Local,SD LA SALLE A,32,0,0,0,70
4,"GRAHAM, NATHAN STUART",MANACOR A,Titular,Local,SD LA SALLE A,32,0,0,0,80
5,"MORAGUES LLULL, TONI",MANACOR A,Titular,Local,SD LA SALLE A,32,1,1,0,90
6,"BAUZA COMPANY, JOAN",MANACOR A,Titular,Local,SD LA SALLE A,32,0,0,0,80
8,"MARCOS MONGE, IKER",MANACOR A,Titular,Local,SD LA SALLE A,32,0,0,0,90
14,"GUICHANDUT GOMILA, MARC",MANACOR A,Titular,Local,SD LA SALLE A,32,0,1,0,90
16,"FUSTER GONZALEZ, SERGI",MANACOR A,Titular,Local,SD LA SALLE A,32,0,0,0,90
17,"VIVES HIDALGO, IKER",MANACOR A,Titular,Local,SD LA SALLE A,32,0,0,0,90
19,"RODRIGUEZ GALDON, DANIEL",MANACOR A,Titular,Local,SD LA SALLE A,32,0,1,0,63
23,"MARTINEZ ABELLAN, IKER",MANACOR A,Titular,Local,SD LA SALLE A,32,0,0,0,90
2,"LAMSIAH AJGHOUF, OSSAMA",MANACOR A,Suplente,Local,SD LA SALLE A,32,0,0,0,10
10,"POSTIGO GARAT, RAUL",MANACOR A,Suplente,Local,SD LA SALLE A,32,0,0,0,27
13,"GARCIA MESTRE, DAVID",MANACOR A,Suplente,Local,SD LA SALLE A,32,0,0,0,0
18,"DOMINICI ALMONTE, ANTHONY DE JESUS",MANACOR A,Suplente,Local,SD LA SALLE A,32,0,0,0,20
22,"MONTES CARDONA, CHRISTIAN",MANACOR A,Suplente,Local,SD LA SALLE A,32,0,0,0,10
1,"FONTANET REUS, TOMAS",SD LA SALLE A,Titular,Visitante,MANACOR A,32,0,0,0,90
2,"GIL MASSANET, LLUIS",SD LA SALLE A,Titular,Visitante,MANACOR A,32,0,0,0,69
4,"VIZCAINO SEGURA, ALAN",SD LA SALLE A,Titular,Visitante,MANACOR A,32,0,1,0,60
5,"PUYA TUR, OSCAR",SD LA SALLE A,Titular,Visitante,MANACOR A,32,0,0,0,90
6,"ESCUERO PARDOS, MARTI",SD LA SALLE A,Titular,Visitante,MANACOR A,32,1,0,0,90
7,"SALMERON SEGURA, JONATHAN",SD LA SALLE A,Titular,Visitante,MANACOR A,32,0,1,0,90
8,"CORTES BOIXO, ALEIX",SD LA SALLE A,Titular,Visitante,MANACOR A,32,0,0,0,90
9,"AMAYA MALENO, FRANCISCO",SD LA SALLE A,Titular,Visitante,MANACOR A,32,1,0,0,60
10,"GOMILA GAMERO, FRANCISCO",SD LA SALLE A,Titular,Visitante,MANACOR A,32,0,0,0,60
11,"MARTI RODRIGUEZ, IVAN",SD LA SALLE A,Titular,Visitante,MANACOR A,32,0,0,1,90
20,"VIVARES ARANDA, YANNICK",SD LA SALLE A,Titular,Visitante,MANACOR A,32,0,0,0,90
12,"TORRALBA TANUGGI, LUIS",SD LA SALLE A,Suplente,Visitante,MANACOR A,32,0,0,0,30
14,"RODRIGUEZ MONGELOS, GAEL PAU",SD LA SALLE A,Suplente,Visitante,MANACOR A,32,1,0,0,30
15,"FERNANDEZ CABRERA, DAVID",SD LA SALLE A,Suplente,Visitante,MANACOR A,32,0,0,0,21
16,"COMAS HUTTEN, PAU LLUIS",SD LA SALLE A,Suplente,Visitante,MANACOR A,32,0,0,0,30
17,"SILVA GIORGIO, AGUSTIN",SD LA SALLE A,Suplente,Visitante,MANACOR A,32,0,0,0,0
