numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
1,"CRUZ SEGUI, SERGIO",PLA DE NA TESA A,Titular,Local,SAN FRANCISCO B,32,0,0,0,90
2,"DRAGHI, MAXIMO",PLA DE NA TESA A,Titular,Local,SAN FRANCISCO B,32,0,0,0,77
3,"OSEGIE AMADASUN, MARVIN ISOKEN",PLA DE NA TESA A,Titular,Local,SAN FRANCISCO B,32,0,0,0,90
4,"GONZALEZ OBRADOR, ENRIC",PLA DE NA TESA A,Titular,Local,SAN FRANCISCO B,32,0,0,0,90
5,"ALONSO MUNICIO, PABLO",PLA DE NA TESA A,Titular,Local,SAN FRANCISCO B,32,0,0,0,90
6,"COULIBALY COULIBALY, MADANE",PLA DE NA TESA A,Titular,Local,SAN FRANCISCO B,32,0,0,0,66
7,"CACERES COMAS, SERGI",PLA DE NA TESA A,Titular,Local,SAN FRANCISCO B,32,0,0,0,58
8,"ONCALA CARAVACA, DANIEL",PLA DE NA TESA A,Titular,Local,SAN FRANCISCO B,32,0,0,0,90
9,"MONTES MORALES, ADRIAN",PLA DE NA TESA A,Titular,Local,SAN FRANCISCO B,32,1,0,0,90
10,"AIT SAID TAFZATI, NABIL",PLA DE NA TESA A,Titular,Local,SAN FRANCISCO B,32,0,0,0,58
11,"MASCARÓ SERVERA, JUAN",PLA DE NA TESA A,Titular,Local,SAN FRANCISCO B,32,0,0,0,77
13,"FATY, MALANG",PLA DE NA TESA A,Suplente,Local,SAN FRANCISCO B,32,0,0,0,0
14,"MORA GISPERT, HUGO",PLA DE NA TESA A,Suplente,Local,SAN FRANCISCO B,32,0,0,0,32
15,"MESA ZAFRA, CHRISTIAN",PLA DE NA TESA A,Suplente,Local,SAN FRANCISCO B,32,0,0,0,13
17,"NAVIO TORRICO, ADRIAN",PLA DE NA TESA A,Suplente,Local,SAN FRANCISCO B,32,0,0,0,13
18,"ASAMOAH ASANTEWAA, DENIS",PLA DE NA TESA A,Suplente,Local,SAN FRANCISCO B,32,0,0,0,32
19,"NAVARRO BEZARES, JAVIER",PLA DE NA TESA A,Suplente,Local,SAN FRANCISCO B,32,0,0,0,24
1,"MARTINS CORRAL, DIEGO",SAN FRANCISCO B,Titular,Visitante,PLA DE NA TESA A,32,0,1,0,90
2,"BARRAGAN AGUILO, HECTOR DARIO",SAN FRANCISCO B,Titular,Visitante,PLA DE NA TESA A,32,0,0,0,90
3,"BORDOY LEAL, PEDRO",SAN FRANCISCO B,Titular,Visitante,PLA DE NA TESA A,32,0,0,0,90
4,"RIBAS MUÑOZ, SERGI",SAN FRANCISCO B,Titular,Visitante,PLA DE NA TESA A,32,0,0,0,90
5,"GIRALDE BAUZA, JAVIER",SAN FRANCISCO B,Titular,Visitante,PLA DE NA TESA A,32,0,0,0,90
6,"DIAZ ROMERO, GYLBERT",SAN FRANCISCO B,Titular,Visitante,PLA DE NA TESA A,32,0,0,0,90
7,"LUNEGRO, BRUNO",SAN FRANCISCO B,Titular,Visitante,PLA DE NA TESA A,32,1,0,0,91
8,"PADILLA BORRAS, PERE",SAN FRANCISCO B,Titular,Visitante,PLA DE NA TESA A,32,0,0,0,52
9,"SALAMANCA GALERA, AITOR",SAN FRANCISCO B,Titular,Visitante,PLA DE NA TESA A,32,1,0,0,72
10,"GALLARDO DEL VALLE, BENJAMIN",SAN FRANCISCO B,Titular,Visitante,PLA DE NA TESA A,32,0,0,0,90
11,"ALARCON CAVERO, JOEL",SAN FRANCISCO B,Titular,Visitante,PLA DE NA TESA A,32,1,0,0,52
12,"HADJI, MONCEF TAYEB",SAN FRANCISCO B,Suplente,Visitante,PLA DE NA TESA A,32,0,0,0,-1
13,"PRIOR, JUDE HARRY",SAN FRANCISCO B,Suplente,Visitante,PLA DE NA TESA A,32,0,0,0,0
14,"VALENCIA HERNANDEZ, ANDRES",SAN FRANCISCO B,Suplente,Visitante,PLA DE NA TESA A,32,0,0,0,38
15,"MASSANET CABRER, FRANCESC",SAN FRANCISCO B,Suplente,Visitante,PLA DE NA TESA A,32,0,0,0,0
16,"BADJINKA NDIAYE, BUBAKAR",SAN FRANCISCO B,Suplente,Visitante,PLA DE NA TESA A,32,0,0,0,18
17,"CONDE PEREIRA, ALEJANDRO MANUEL",SAN FRANCISCO B,Suplente,Visitante,PLA DE NA TESA A,32,0,0,0,0
18,"SUÁREZ SERRA, ALEX",SAN FRANCISCO B,Suplente,Visitante,PLA DE NA TESA A,32,0,0,0,38
