numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
1,"RODRIGUEZ GUASP, JORDI",PLATGES DE CALVIA A,Titular,Local,PENYA INDEPENDENT A,32,0,0,0,90
2,"GAYUBAS GONZALEZ, LUIS MIGUEL",PLATGES DE CALVIA A,Titular,Local,PENYA INDEPENDENT A,32,0,0,0,57
3,"ALCOLEA ESCORCIA, CARLOS",PLATGES DE CALVIA A,Titular,Local,PENYA INDEPENDENT A,32,0,0,0,90
4,"LOUNADI MUNAR, SAMUEL",PLATGES DE CALVIA A,Titular,Local,PENYA INDEPENDENT A,32,0,0,0,90
9,"CASAUS SANCHEZ, JOSE IGNACIO",PLATGES DE CALVIA A,Titular,Local,PENYA INDEPENDENT A,32,0,0,0,90
10,"EXPOSITO BINNEWIES, ALEJANDRO",PLATGES DE CALVIA A,Titular,Local,PENYA INDEPENDENT A,32,0,0,0,90
11,"PARRA VIZUETE, DANIEL",PLATGES DE CALVIA A,Titular,Local,PENYA INDEPENDENT A,32,0,0,0,57
19,"CARDONA MARTIN, MARCOS",PLATGES DE CALVIA A,Titular,Local,PENYA INDEPENDENT A,32,0,0,0,57
20,"PUJOL ALOMAR, TELM",PLATGES DE CALVIA A,Titular,Local,PENYA INDEPENDENT A,32,0,0,0,57
21,"CABRERA FERRA, LIAM",PLATGES DE CALVIA A,Titular,Local,PENYA INDEPENDENT A,32,0,0,0,90
22,"HOLLINGSWORTH, HARRY RICHARD",PLATGES DE CALVIA A,Titular,Local,PENYA INDEPENDENT A,32,0,0,0,46
5,"GARCIA MEDRANO, MARCOS",PLATGES DE CALVIA A,Suplente,Local,PENYA INDEPENDENT A,32,0,0,0,44
6,"MATAS OLIVER, PABLO",PLATGES DE CALVIA A,Suplente,Local,PENYA INDEPENDENT A,32,0,0,0,33
7,"SANCHIS MARTINEZ, DAVID",PLATGES DE CALVIA A,Suplente,Local,PENYA INDEPENDENT A,32,0,0,0,0
8,"GARCÍA RODRÍGUEZ, UNAI",PLATGES DE CALVIA A,Suplente,Local,PENYA INDEPENDENT A,32,0,0,0,33
14,"MAGAN MITCHELL SMITH, MIGUEL",PLATGES DE CALVIA A,Suplente,Local,PENYA INDEPENDENT A,32,0,0,0,33
17,"HOMANN KRIEK, KHEIDIN GERALD",PLATGES DE CALVIA A,Suplente,Local,PENYA INDEPENDENT A,32,0,0,0,33
25,"VALENZUELA BIERMAN, NOAH",PLATGES DE CALVIA A,Suplente,Local,PENYA INDEPENDENT A,32,0,0,0,0
13,"VILLAR MARI, BARTOMEU TONI",PENYA INDEPENDENT A,Titular,Visitante,PLATGES DE CALVIA A,32,0,0,0,90
3,"VIERA GONZALEZ, SANTIAGO",PENYA INDEPENDENT A,Titular,Visitante,PLATGES DE CALVIA A,32,0,0,0,90
4,"MARTINEZ JUAN, MARTIN",PENYA INDEPENDENT A,Titular,Visitante,PLATGES DE CALVIA A,32,0,0,0,90
5,"ESCANDELL RIBAS, JOAN",PENYA INDEPENDENT A,Titular,Visitante,PLATGES DE CALVIA A,32,0,0,0,90
8,"LOPEZ MARI, PABLO",PENYA INDEPENDENT A,Titular,Visitante,PLATGES DE CALVIA A,32,0,0,0,90
11,"EL ATTARINE BOUZID, MOHAMED",PENYA INDEPENDENT A,Titular,Visitante,PLATGES DE CALVIA A,32,0,0,0,90
12,"FAQUINETTI VERGILIO, SAMUEL",PENYA INDEPENDENT A,Titular,Visitante,PLATGES DE CALVIA A,32,0,0,0,90
17,"BASILIO FERNANDEZ, MARC",PENYA INDEPENDENT A,Titular,Visitante,PLATGES DE CALVIA A,32,0,0,0,90
18,"LLAMAS MARTINEZ, ERIC",PENYA INDEPENDENT A,Titular,Visitante,PLATGES DE CALVIA A,32,0,0,0,85
26,"BERNHARDT, JOEL PIOTR",PENYA INDEPENDENT A,Titular,Visitante,PLATGES DE CALVIA A,32,0,0,0,77
27,"JUAN GUASCH, JORDI MIQUEL",PENYA INDEPENDENT A,Titular,Visitante,PLATGES DE CALVIA A,32,0,0,0,90
7,"RAMON DIAZ, HUGO",PENYA INDEPENDENT A,Suplente,Visitante,PLATGES DE CALVIA A,32,0,0,0,5
2,"ABRUDAN, RUBEN NATAEL",PENYA INDEPENDENT A,Suplente,Visitante,PLATGES DE CALVIA A,32,0,0,0,13
