numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
13,"OLIVER RAMIS, PEP",POBLENSE A,Titular,Local,SP. ATº CIUTAT DE PALMA,32,0,0,0,90
4,"ENSEÑAT RAMIS, MIQUEL",POBLENSE A,Titular,Local,SP. ATº CIUTAT DE PALMA,32,0,1,0,89
5,"DE LA CRUZ RIERA, JOAN MATEU",POBLENSE A,Titular,Local,SP. ATº CIUTAT DE PALMA,32,1,0,0,79
6,"AGUILERA PERELLO, ADRIÀ",POBLENSE A,Titular,Local,SP. ATº CIUTAT DE PALMA,32,0,0,0,90
7,"CAIMARI FIGUEROLA, JAUME",POBLENSE A,Titular,Local,SP. ATº CIUTAT DE PALMA,32,0,0,0,85
8,"THIAM BORRAS, KARIM",POBLENSE A,Titular,Local,SP. ATº CIUTAT DE PALMA,32,0,0,0,45
10,"CHICA COMAS, JUAN A",POBLENSE A,Titular,Local,SP. ATº CIUTAT DE PALMA,32,1,0,0,90
11,"RETTICH SOLER, JOSEP",POBLENSE A,Titular,Local,SP. ATº CIUTAT DE PALMA,32,0,0,0,90
18,"MORAGUES MORAGUES, JOAN",POBLENSE A,Titular,Local,SP. ATº CIUTAT DE PALMA,32,0,0,0,90
20,"FERNANDEZ HEREDIA, ALEJANDRO",POBLENSE A,Titular,Local,SP. ATº CIUTAT DE PALMA,32,0,0,0,79
23,"RIERA MARTÍNEZ, FERRAN",POBLENSE A,Titular,Local,SP. ATº CIUTAT DE PALMA,32,0,0,0,90
1,"BOUJJIA LAMRINI, AMIN",POBLENSE A,Suplente,Local,SP. ATº CIUTAT DE PALMA,32,0,0,0,0
2,"GIBSON, JASPER",POBLENSE A,Suplente,Local,SP. ATº CIUTAT DE PALMA,32,0,0,0,11
9,"FERRER RIGO, SEBASTIÀ",POBLENSE A,Suplente,Local,SP. ATº CIUTAT DE PALMA,32,0,0,0,5
15,"ASBAI HAMOUTI, ALI",POBLENSE A,Suplente,Local,SP. ATº CIUTAT DE PALMA,32,0,0,0,1
21,"VIVES COMAS, JOAN JORDI",POBLENSE A,Suplente,Local,SP. ATº CIUTAT DE PALMA,32,0,0,0,11
22,"GONZÁLEZ ONETO, ASSIER",POBLENSE A,Suplente,Local,SP. ATº CIUTAT DE PALMA,32,0,0,0,45
1,"GONZALEZ VASQUEZ, LUIS JOSE",SP. ATº CIUTAT DE PALMA,Titular,Visitante,POBLENSE A,32,0,0,0,90
2,"MUNAR LAZARO, DANIEL",SP. ATº CIUTAT DE PALMA,Titular,Visitante,POBLENSE A,32,0,0,0,72
3,"PUJOL FONT, JAUME",SP. ATº CIUTAT DE PALMA,Titular,Visitante,POBLENSE A,32,1,0,0,90
4,"ORELLANA ZERDA, JORDI",SP. ATº CIUTAT DE PALMA,Titular,Visitante,POBLENSE A,32,0,0,0,55
6,"SANS JIMENEZ, MIQUEL ANGEL",SP. ATº CIUTAT DE PALMA,Titular,Visitante,POBLENSE A,32,0,0,0,90
7,"SANCHO OLIVER, PEDRO",SP. ATº CIUTAT DE PALMA,Titular,Visitante,POBLENSE A,32,1,0,0,90
10,"SARMIENTO CABAÑIN, GABRIEL A",SP. ATº CIUTAT DE PALMA,Titular,Visitante,POBLENSE A,32,0,0,0,72
11,"KRZYZYK SERRANO, PEDRO",SP. ATº CIUTAT DE PALMA,Titular,Visitante,POBLENSE A,32,0,0,0,90
21,"KRAUSSE, IGNACIO TOMAS",SP. ATº CIUTAT DE PALMA,Titular,Visitante,POBLENSE A,32,1,0,0,55
22,"ORDOÑEZ QUETGLAS, MARC",SP. ATº CIUTAT DE PALMA,Titular,Visitante,POBLENSE A,32,0,0,0,90
23,"GOMEZ BLANCA, AARON",SP. ATº CIUTAT DE PALMA,Titular,Visitante,POBLENSE A,32,0,0,0,55
5,"CACERES AMOROS, MATEO",SP. ATº CIUTAT DE PALMA,Suplente,Visitante,POBLENSE A,32,0,0,0,35
8,"FERNÁNDEZ CASSO, ALBERTO",SP. ATº CIUTAT DE PALMA,Suplente,Visitante,POBLENSE A,32,0,0,0,35
14,"AMENGUAL LIRIO, IVAN",SP. ATº CIUTAT DE PALMA,Suplente,Visitante,POBLENSE A,32,0,0,0,0
16,"CANALS GONZALEZ, TOMEU",SP. ATº CIUTAT DE PALMA,Suplente,Visitante,POBLENSE A,32,0,0,0,18
17,"AQUINO GUTIERREZ, DAN JOEL",SP. ATº CIUTAT DE PALMA,Suplente,Visitante,POBLENSE A,32,0,0,0,35
20,"GUAZO ALZAMORA, CARLOS",SP. ATº CIUTAT DE PALMA,Suplente,Visitante,POBLENSE A,32,0,0,0,18
24,"GAETE MARTINEZ, ISMAEL",SP. ATº CIUTAT DE PALMA,Suplente,Visitante,POBLENSE A,32,0,0,0,0
