numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
1,"MADROÑERO CONTRERAS, DAYRON",SANTA CATALINA ATº A,Titular,Local,UD MAHON,32,0,0,0,90
2,"VICH FORTEZA, LLUC",SANTA CATALINA ATº A,Titular,Local,UD MAHON,32,0,0,0,90
4,"PALAU ORDINAS, MIQUEL",SANTA CATALINA ATº A,Titular,Local,UD MAHON,32,0,0,0,90
5,"DEYÀ BELTRÁN, SEBASTIÀ",SANTA CATALINA ATº A,Titular,Local,UD MAHON,32,0,0,0,53
7,"ADROVER MELIS, FRANCESC",SANTA CATALINA ATº A,Titular,Local,UD MAHON,32,0,0,0,73
8,"LOPEZ FUXA, AARON",SANTA CATALINA ATº A,Titular,Local,UD MAHON,32,0,0,0,90
10,"FERNANDEZ REY, RAUL",SANTA CATALINA ATº A,Titular,Local,UD MAHON,32,3,0,0,73
14,"KOPACH, DANIIL",SANTA CATALINA ATº A,Titular,Local,UD MAHON,32,0,0,0,90
18,"MARTIN CABALLERO, ANGEL",SANTA CATALINA ATº A,Titular,Local,UD MAHON,32,1,0,0,73
19,"MENDOZA SOLER, MARIO",SANTA CATALINA ATº A,Titular,Local,UD MAHON,32,1,0,0,85
22,"ALARCON RAGO, THIAGO",SANTA CATALINA ATº A,Titular,Local,UD MAHON,32,0,0,0,90
13,"ROIG VEGA, MATEO",SANTA CATALINA ATº A,Suplente,Local,UD MAHON,32,0,0,0,0
3,"GARCIA BISQUERRA, JAVIER",SANTA CATALINA ATº A,Suplente,Local,UD MAHON,32,0,0,0,17
9,"LOMAS SERVERA, PAU",SANTA CATALINA ATº A,Suplente,Local,UD MAHON,32,0,0,0,5
11,"MASCARELL LLABRES, MARC",SANTA CATALINA ATº A,Suplente,Local,UD MAHON,32,0,0,0,17
12,"ENTRENA CALDENTEY, MANUEL",SANTA CATALINA ATº A,Suplente,Local,UD MAHON,32,0,0,0,17
16,"BARRIGA CATRINA, VICTOR",SANTA CATALINA ATº A,Suplente,Local,UD MAHON,32,0,0,0,0
21,"EZ ZARY SAIDI, ISMAEL",SANTA CATALINA ATº A,Suplente,Local,UD MAHON,32,0,0,0,37
1,"ORFILA QUINTANA, AARON",UD MAHON,Titular,Visitante,SANTA CATALINA ATº A,32,0,0,0,90
2,"IZAGUIRRE RODRIGUEZ, RICARDO ABRAHAM",UD MAHON,Titular,Visitante,SANTA CATALINA ATº A,32,0,0,0,57
3,"DE LA PUENTE JAÑEZ, NICOLAS",UD MAHON,Titular,Visitante,SANTA CATALINA ATº A,32,0,1,0,90
4,"GOMEZ GORDILLO, RAUL",UD MAHON,Titular,Visitante,SANTA CATALINA ATº A,32,0,1,0,90
5,"GOMEZ SANTOS, JUAN",UD MAHON,Titular,Visitante,SANTA CATALINA ATº A,32,0,0,0,90
6,"BOLIVAR PERAL, ROGER",UD MAHON,Titular,Visitante,SANTA CATALINA ATº A,32,0,0,0,90
7,"DE OLIVEIRA MESSIAS, EMMANUEL",UD MAHON,Titular,Visitante,SANTA CATALINA ATº A,32,0,0,0,90
8,"MASCARO MARTINEZ, IKER",UD MAHON,Titular,Visitante,SANTA CATALINA ATº A,32,0,0,0,57
9,"TEJEDOR MORENO, ALEJANDRO",UD MAHON,Titular,Visitante,SANTA CATALINA ATº A,32,0,0,0,57
10,"DE OLIVEIRA MESSIAS, KLAYVER",UD MAHON,Titular,Visitante,SANTA CATALINA ATº A,32,1,0,0,90
11,"SINTES MELERO, ALVARO",UD MAHON,Titular,Visitante,SANTA CATALINA ATº A,32,0,0,0,90
12,"NGONG NGO, FABRICE",UD MAHON,Suplente,Visitante,SANTA CATALINA ATº A,32,0,0,0,33
14,"FERNANDEZ ALONSO, ASIER",UD MAHON,Suplente,Visitante,SANTA CATALINA ATº A,32,0,0,0,33
15,"ORFILA PONCE, JULEN",UD MAHON,Suplente,Visitante,SANTA CATALINA ATº A,32,0,0,0,33
