numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
1,"MONTES DOMINGUEZ, ALBERTO",U D IBIZA A,Titular,Local,PENYA ARRABAL A,32,0,1,0,90
2,"MARTOS VERGARA, DANIEL",U D IBIZA A,Titular,Local,PENYA ARRABAL A,32,0,0,0,90
3,"GONZALEZ CASURIAGA, THIAGO",U D IBIZA A,Titular,Local,PENYA ARRABAL A,32,0,0,0,90
4,"AGUILAR COSTA, MARTÍ",U D IBIZA A,Titular,Local,PENYA ARRABAL A,32,0,0,0,90
5,"BALBURE CARDONA, ALEX",U D IBIZA A,Titular,Local,PENYA ARRABAL A,32,0,0,0,90
6,"GORLA, AGUSTIN",U D IBIZA A,Titular,Local,PENYA ARRABAL A,32,0,0,0,90
7,"RODRIGUEZ ROIG, ARIAN",U D IBIZA A,Titular,Local,PENYA ARRABAL A,32,1,0,0,62
8,"GARCIA ALBA, JAVIER",U D IBIZA A,Titular,Local,PENYA ARRABAL A,32,0,0,0,62
9,"BELTRAN ALVAREZ, SERGIO",U D IBIZA A,Titular,Local,PENYA ARRABAL A,32,1,1,0,90
10,"LOPEZ CAPACETE, KENAI",U D IBIZA A,Titular,Local,PENYA ARRABAL A,32,0,0,1,90
11,"BERNASCONI, SANTINO",U D IBIZA A,Titular,Local,PENYA ARRABAL A,32,0,0,0,74
13,"AVOGADRO, TOMMASO",U D IBIZA A,Suplente,Local,PENYA ARRABAL A,32,0,0,0,0
12,"ORTIZ CHAPARRO, DAVID",U D IBIZA A,Suplente,Local,PENYA ARRABAL A,32,0,0,0,0
14,"TORRES RAMON, DIDAC",U D IBIZA A,Suplente,Local,PENYA ARRABAL A,32,0,0,0,16
15,"OKROGLIC SOMOZA, LUKA",U D IBIZA A,Suplente,Local,PENYA ARRABAL A,32,0,0,0,0
16,"TORRES RIERA, LLUC",U D IBIZA A,Suplente,Local,PENYA ARRABAL A,32,0,0,0,28
18,"ELIAS ARANDIA, SAMUEL ABEL",U D IBIZA A,Suplente,Local,PENYA ARRABAL A,32,0,0,0,28
19,"ASENSIO ESCANDELL, ANDRES",U D IBIZA A,Suplente,Local,PENYA ARRABAL A,32,0,0,0,0
1,"MUÑOZ CAMPOY, IVAN",PENYA ARRABAL A,Titular,Visitante,U D IBIZA A,32,0,0,0,90
3,"MARTINEZ MUNTANER, SERGI",PENYA ARRABAL A,Titular,Visitante,U D IBIZA A,32,0,0,0,90
4,"MARTORELL MUDOY, JOAN",PENYA ARRABAL A,Titular,Visitante,U D IBIZA A,32,0,0,0,62
6,"MUÑOZ BAIXAULI, JUAN",PENYA ARRABAL A,Titular,Visitante,U D IBIZA A,32,0,0,0,82
7,"GARCES NAVARRETE, JEREMY",PENYA ARRABAL A,Titular,Visitante,U D IBIZA A,32,0,0,0,74
8,"GARCIA HERNANDEZ, JOSE RAMON",PENYA ARRABAL A,Titular,Visitante,U D IBIZA A,32,0,0,0,90
9,"LEBRERO BENITEZ, HUGO",PENYA ARRABAL A,Titular,Visitante,U D IBIZA A,32,2,0,0,90
10,"CRESPI BARRERA, LEONARDO",PENYA ARRABAL A,Titular,Visitante,U D IBIZA A,32,0,0,0,90
18,"FIOL ACEITUNO, MIQUEL",PENYA ARRABAL A,Titular,Visitante,U D IBIZA A,32,0,0,0,90
19,"CASTAÑER PECELLIN, RAFAEL",PENYA ARRABAL A,Titular,Visitante,U D IBIZA A,32,0,0,0,90
21,"RIUTORT GONZALEZ, JUAN FRANCISCO",PENYA ARRABAL A,Titular,Visitante,U D IBIZA A,32,0,0,0,90
5,"MESQUIDA URIBE, XAVIER",PENYA ARRABAL A,Suplente,Visitante,U D IBIZA A,32,0,0,0,0
13,"MANOLACHE POCOVI, DANIEL",PENYA ARRABAL A,Suplente,Visitante,U D IBIZA A,32,0,0,0,0
14,"MAS MAIMO, JOSEP",PENYA ARRABAL A,Suplente,Visitante,U D IBIZA A,32,0,0,0,0
17,"ARIAS BESTARD, ENZO",PENYA ARRABAL A,Suplente,Visitante,U D IBIZA A,32,0,0,0,16
20,"PASCUAL RIERA, MIGUEL ANGEL",PENYA ARRABAL A,Suplente,Visitante,U D IBIZA A,32,0,0,0,28
22,"MORENO PUJOL, JAVIER",PENYA ARRABAL A,Suplente,Visitante,U D IBIZA A,32,0,0,0,8
