numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
1,"AZIZI BAIBOUN, OUSSAMA",PALMA F.C.,Titular,Local,PLA DE NA TESA A,33,0,0,0,90
2,"CONDE, MAMADI",PALMA F.C.,Titular,Local,PLA DE NA TESA A,33,0,0,0,90
3,"VICENS VIDAL, PAU",PALMA F.C.,Titular,Local,PLA DE NA TESA A,33,0,0,0,90
4,ZAPATA,PALMA F.C.,Titular,Local,PLA DE NA TESA A,33,0,0,0,90
5,"ALCALDE ORTEGA, JUAN JOSÉ",PALMA F.C.,Titular,Local,PLA DE NA TESA A,33,0,0,0,90
6,"KEANEY, DANIEL THOMAS",PALMA F.C.,Titular,Local,PLA DE NA TESA A,33,0,0,0,90
7,"NDIR GUEYE, MOUHAMADOUL LAMIN",PALMA F.C.,Titular,Local,PLA DE NA TESA A,33,1,0,0,90
8,"VILLALONGA GÓMEZ, IKER",PALMA F.C.,Titular,Local,PLA DE NA TESA A,33,0,0,0,90
9,"MORELL SACRISTÁN, CARLOS",PALMA F.C.,Titular,Local,PLA DE NA TESA A,33,1,0,0,90
10,"FRANCO SINGEORZAN, ALEX",PALMA F.C.,Titular,Local,PLA DE NA TESA A,33,0,0,0,93
11,"GIL GOMILA, XAYRON",PALMA F.C.,Titular,Local,PLA DE NA TESA A,33,0,0,0,90
12,"PANIZA PAEZ, JOSE LUIS",PALMA F.C.,Suplente,Local,PLA DE NA TESA A,33,0,0,0,0
13,"HERNANDEZ PILO, IKER",PALMA F.C.,Suplente,Local,PLA DE NA TESA A,33,0,0,0,0
15,"FOLGADO GARNICA, IXTZUL",PALMA F.C.,Suplente,Local,PLA DE NA TESA A,33,0,0,0,0
16,"MARCANO FLORIAN, SEBASTIAN JESUS",PALMA F.C.,Suplente,Local,PLA DE NA TESA A,33,0,0,0,0
17,"PELLEGRINO, NICOLA EMANUELE",PALMA F.C.,Suplente,Local,PLA DE NA TESA A,33,0,0,0,0
18,"SERRANO GOMEZ, SAUL",PALMA F.C.,Suplente,Local,PLA DE NA TESA A,33,0,0,0,-3
19,"FERRA OSPINA, CARLES JOAN",PALMA F.C.,Suplente,Local,PLA DE NA TESA A,33,0,0,0,0
13,"FATY, MALANG",PLA DE NA TESA A,Titular,Visitante,PALMA F.C.,33,0,0,0,90
2,"DRAGHI, MAXIMO",PLA DE NA TESA A,Titular,Visitante,PALMA F.C.,33,0,0,0,90
3,"OSEGIE AMADASUN, MARVIN ISOKEN",PLA DE NA TESA A,Titular,Visitante,PALMA F.C.,33,0,0,0,90
4,"GONZALEZ OBRADOR, ENRIC",PLA DE NA TESA A,Titular,Visitante,PALMA F.C.,33,0,0,0,85
5,"ALONSO MUNICIO, PABLO",PLA DE NA TESA A,Titular,Visitante,PALMA F.C.,33,0,0,0,90
6,"COULIBALY COULIBALY, MADANE",PLA DE NA TESA A,Titular,Visitante,PALMA F.C.,33,0,0,0,90
7,"MORA GISPERT, HUGO",PLA DE NA TESA A,Titular,Visitante,PALMA F.C.,33,0,0,0,90
8,"ONCALA CARAVACA, DANIEL",PLA DE NA TESA A,Titular,Visitante,PALMA F.C.,33,0,0,0,78
9,"ASAMOAH ASANTEWAA, DENIS",PLA DE NA TESA A,Titular,Visitante,PALMA F.C.,33,0,0,0,55
10,"MONTES MORALES, ADRIAN",PLA DE NA TESA A,Titular,Visitante,PALMA F.C.,33,0,0,0,90
11,"MASCARÓ SERVERA, JUAN",PLA DE NA TESA A,Titular,Visitante,PALMA F.C.,33,1,0,0,78
1,"CRUZ SEGUI, SERGIO",PLA DE NA TESA A,Suplente,Visitante,PALMA F.C.,33,0,0,0,0
12,"FERRER FERNANDEZ, ALEJANDRO",PLA DE NA TESA A,Suplente,Visitante,PALMA F.C.,33,0,0,0,0
14,"MESA ZAFRA, CHRISTIAN",PLA DE NA TESA A,Suplente,Visitante,PALMA F.C.,33,0,0,0,5
15,"NAVIO TORRICO, ADRIAN",PLA DE NA TESA A,Suplente,Visitante,PALMA F.C.,33,0,0,0,12
16,"CACERES COMAS, SERGI",PLA DE NA TESA A,Suplente,Visitante,PALMA F.C.,33,0,0,0,35
17,"AIT SAID TAFZATI, NABIL",PLA DE NA TESA A,Suplente,Visitante,PALMA F.C.,33,0,0,0,12
18,"NAVARRO BEZARES, JAVIER",PLA DE NA TESA A,Suplente,Visitante,PALMA F.C.,33,0,0,0,0
