numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
13,"MANOLACHE POCOVI, DANIEL",PENYA ARRABAL A,Titular,Local,PENYA CIUTADELLA ESPORTIVA A,33,0,0,0,90
3,"MARTINEZ MUNTANER, SERGI",PENYA ARRABAL A,Titular,Local,PENYA CIUTADELLA ESPORTIVA A,33,0,0,0,90
6,"MUÑOZ BAIXAULI, JUAN",PENYA ARRABAL A,Titular,Local,PENYA CIUTADELLA ESPORTIVA A,33,0,0,0,90
8,"GARCIA HERNANDEZ, JOSE RAMON",PENYA ARRABAL A,Titular,Local,PENYA CIUTADELLA ESPORTIVA A,33,0,1,0,90
9,"LEBRERO BENITEZ, HUGO",PENYA ARRABAL A,Titular,Local,PENYA CIUTADELLA ESPORTIVA A,33,1,0,0,90
10,"CRESPI BARRERA, LEONARDO",PENYA ARRABAL A,Titular,Local,PENYA CIUTADELLA ESPORTIVA A,33,0,0,0,90
18,"FIOL ACEITUNO, MIQUEL",PENYA ARRABAL A,Titular,Local,PENYA CIUTADELLA ESPORTIVA A,33,0,0,0,90
20,"PASCUAL RIERA, MIGUEL ANGEL",PENYA ARRABAL A,Titular,Local,PENYA CIUTADELLA ESPORTIVA A,33,0,0,0,90
21,"RIUTORT GONZALEZ, JUAN FRANCISCO",PENYA ARRABAL A,Titular,Local,PENYA CIUTADELLA ESPORTIVA A,33,0,0,0,90
22,"MORENO PUJOL, JAVIER",PENYA ARRABAL A,Titular,Local,PENYA CIUTADELLA ESPORTIVA A,33,0,0,0,78
23,"SEGUI ESTEBAN, IAN",PENYA ARRABAL A,Titular,Local,PENYA CIUTADELLA ESPORTIVA A,33,1,0,0,63
1,"MUÑOZ CAMPOY, IVAN",PENYA ARRABAL A,Suplente,Local,PENYA CIUTADELLA ESPORTIVA A,33,0,0,0,0
4,"MARTORELL MUDOY, JOAN",PENYA ARRABAL A,Suplente,Local,PENYA CIUTADELLA ESPORTIVA A,33,0,0,0,0
5,"RAMOS RIAMBAU, MARLON MIGUEL",PENYA ARRABAL A,Suplente,Local,PENYA CIUTADELLA ESPORTIVA A,33,0,0,0,0
7,"GARCES NAVARRETE, JEREMY",PENYA ARRABAL A,Suplente,Local,PENYA CIUTADELLA ESPORTIVA A,33,0,0,0,27
12,"VAZQUEZ SUAREZ, HUGO",PENYA ARRABAL A,Suplente,Local,PENYA CIUTADELLA ESPORTIVA A,33,0,0,0,0
14,"MAS MAIMO, JOSEP",PENYA ARRABAL A,Suplente,Local,PENYA CIUTADELLA ESPORTIVA A,33,0,0,0,0
17,"ARIAS BESTARD, ENZO",PENYA ARRABAL A,Suplente,Local,PENYA CIUTADELLA ESPORTIVA A,33,0,0,0,12
1,"GOMILA GOMILA, JOAN",PENYA CIUTADELLA ESPORTIVA A,Titular,Visitante,PENYA ARRABAL A,33,0,0,0,90
2,"AGUILAR BOSCH, DAVID",PENYA CIUTADELLA ESPORTIVA A,Titular,Visitante,PENYA ARRABAL A,33,0,0,0,82
3,"JUANEDA JUANEDA, JOSEP",PENYA CIUTADELLA ESPORTIVA A,Titular,Visitante,PENYA ARRABAL A,33,0,0,0,82
4,"FEDELICH MARQUES, JAN",PENYA CIUTADELLA ESPORTIVA A,Titular,Visitante,PENYA ARRABAL A,33,0,0,0,90
6,"RUS FERNANDEZ, IGNASI",PENYA CIUTADELLA ESPORTIVA A,Titular,Visitante,PENYA ARRABAL A,33,0,0,0,90
7,"DIAZ LLABRES, ISAAC",PENYA CIUTADELLA ESPORTIVA A,Titular,Visitante,PENYA ARRABAL A,33,0,1,0,90
9,"TRIAY SASTRE, ADRIA",PENYA CIUTADELLA ESPORTIVA A,Titular,Visitante,PENYA ARRABAL A,33,0,0,0,82
10,"PONS MOLL, FRANCESC",PENYA CIUTADELLA ESPORTIVA A,Titular,Visitante,PENYA ARRABAL A,33,0,1,0,90
14,"CAPO MORA, MARC",PENYA CIUTADELLA ESPORTIVA A,Titular,Visitante,PENYA ARRABAL A,33,0,0,0,72
15,"MOLL PONS, ROBERTO",PENYA CIUTADELLA ESPORTIVA A,Titular,Visitante,PENYA ARRABAL A,33,0,0,0,72
21,"MARQUES BAGUR, JOAN",PENYA CIUTADELLA ESPORTIVA A,Titular,Visitante,PENYA ARRABAL A,33,0,0,0,90
13,"RIOJA GUILLEN, ALFONSO",PENYA CIUTADELLA ESPORTIVA A,Suplente,Visitante,PENYA ARRABAL A,33,0,0,0,0
5,"BERNAL VOIGT, YAMPEL RICHARD",PENYA CIUTADELLA ESPORTIVA A,Suplente,Visitante,PENYA ARRABAL A,33,0,0,0,8
8,"FLORIT ANGLADA, JOSEP",PENYA CIUTADELLA ESPORTIVA A,Suplente,Visitante,PENYA ARRABAL A,33,0,0,0,18
11,"SALORT MARIN, JORGE",PENYA CIUTADELLA ESPORTIVA A,Suplente,Visitante,PENYA ARRABAL A,33,0,0,0,18
12,"LEON JUAN, VICTOR",PENYA CIUTADELLA ESPORTIVA A,Suplente,Visitante,PENYA ARRABAL A,33,0,0,0,8
18,"HUGUET ANGLADA, LLUIS",PENYA CIUTADELLA ESPORTIVA A,Suplente,Visitante,PENYA ARRABAL A,33,0,0,0,8
