numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
13,"VILLAR MARI, BARTOMEU TONI",PENYA INDEPENDENT A,Titular,Local,CONSTANCIA A,33,0,0,0,90
3,"VIERA GONZALEZ, SANTIAGO",PENYA INDEPENDENT A,Titular,Local,CONSTANCIA A,33,0,0,0,90
4,"MARTINEZ JUAN, MARTIN",PENYA INDEPENDENT A,Titular,Local,CONSTANCIA A,33,0,0,0,90
5,"ESCANDELL RIBAS, JOAN",PENYA INDEPENDENT A,Titular,Local,CONSTANCIA A,33,1,0,0,90
7,"EL HABBOULA EL KORTOBI, ABDELMOIZE",PENYA INDEPENDENT A,Titular,Local,CONSTANCIA A,33,0,0,0,90
9,"CORDOBA TUR, MARC",PENYA INDEPENDENT A,Titular,Local,CONSTANCIA A,33,1,0,0,52
10,"LOPEZ MARI, PABLO",PENYA INDEPENDENT A,Titular,Local,CONSTANCIA A,33,0,0,0,90
14,"FERRER TORRES, PEDRO",PENYA INDEPENDENT A,Titular,Local,CONSTANCIA A,33,0,0,0,52
17,"ODERA PACILIO, SANTIAGO",PENYA INDEPENDENT A,Titular,Local,CONSTANCIA A,33,0,0,0,63
19,"EL ATTARINE BOUZID, MOHAMED",PENYA INDEPENDENT A,Titular,Local,CONSTANCIA A,33,0,0,0,90
20,"BERNHARDT, JOEL PIOTR",PENYA INDEPENDENT A,Titular,Local,CONSTANCIA A,33,0,1,0,75
1,"RAMON DIAZ, HUGO",PENYA INDEPENDENT A,Suplente,Local,CONSTANCIA A,33,0,0,0,0
2,"GRANDA VILLAVICENCIO, DAVID JOAN",PENYA INDEPENDENT A,Suplente,Local,CONSTANCIA A,33,0,0,0,38
6,"ABRUDAN, RUBEN NATAEL",PENYA INDEPENDENT A,Suplente,Local,CONSTANCIA A,33,0,0,0,27
11,"BASILIO FERNANDEZ, MARC",PENYA INDEPENDENT A,Suplente,Local,CONSTANCIA A,33,0,0,0,0
12,"JUAN GUASCH, JORDI MIQUEL",PENYA INDEPENDENT A,Suplente,Local,CONSTANCIA A,33,0,0,0,0
15,"TORRES PLANELLS, LLUQUI",PENYA INDEPENDENT A,Suplente,Local,CONSTANCIA A,33,0,0,0,15
18,"LLAMAS MARTINEZ, ERIC",PENYA INDEPENDENT A,Suplente,Local,CONSTANCIA A,33,0,0,0,38
13,"BOVER LLOMPART, JOSEP",CONSTANCIA A,Titular,Visitante,PENYA INDEPENDENT A,33,0,0,0,90
3,"ROMAN DE REMENTERIA, ASIER",CONSTANCIA A,Titular,Visitante,PENYA INDEPENDENT A,33,0,0,0,60
4,"CRESPI LUCENA, JUAN MIQUEL",CONSTANCIA A,Titular,Visitante,PENYA INDEPENDENT A,33,0,0,0,90
5,"FONTCUBERTA GALINDO, GABRIEL",CONSTANCIA A,Titular,Visitante,PENYA INDEPENDENT A,33,0,1,0,90
7,"MARTIN MONSALVE, IAN",CONSTANCIA A,Titular,Visitante,PENYA INDEPENDENT A,33,1,0,0,85
8,"COMPANY INGLA, JAUME",CONSTANCIA A,Titular,Visitante,PENYA INDEPENDENT A,33,1,0,0,90
11,"COLL AREVALO, JORDI",CONSTANCIA A,Titular,Visitante,PENYA INDEPENDENT A,33,1,0,0,90
14,"MORENO GODOY, NICOLAS",CONSTANCIA A,Titular,Visitante,PENYA INDEPENDENT A,33,0,1,0,90
18,"PATRICIO GUAL, MARC",CONSTANCIA A,Titular,Visitante,PENYA INDEPENDENT A,33,0,0,0,90
19,"GALVEZ ESPINOZA, BRAD ANTONY",CONSTANCIA A,Titular,Visitante,PENYA INDEPENDENT A,33,0,0,0,76
23,"BLANCO WEBER, LUCA",CONSTANCIA A,Titular,Visitante,PENYA INDEPENDENT A,33,0,1,0,60
1,"MIR OLMO, JORDI",CONSTANCIA A,Suplente,Visitante,PENYA INDEPENDENT A,33,0,0,0,0
6,"BOTELLO CARMONA, PAU",CONSTANCIA A,Suplente,Visitante,PENYA INDEPENDENT A,33,0,0,0,14
9,"BALLE BRUNET, JOAN",CONSTANCIA A,Suplente,Visitante,PENYA INDEPENDENT A,33,0,0,0,5
10,"CABEZAS GALLARDO, MANUEL",CONSTANCIA A,Suplente,Visitante,PENYA INDEPENDENT A,33,0,0,0,0
17,"SABATER SANCHO, MARC",CONSTANCIA A,Suplente,Visitante,PENYA INDEPENDENT A,33,0,0,0,0
20,"CHUKWUKERE PULLET, GREGORY IKECHUKWU",CONSTANCIA A,Suplente,Visitante,PENYA INDEPENDENT A,33,0,0,0,30
22,"MAIRATA NOGUERA, ADRIA",CONSTANCIA A,Suplente,Visitante,PENYA INDEPENDENT A,33,0,0,0,30
