numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
1,"OLIVER RAMIS, PEP",POBLENSE A,Titular,Local,ANDRATX A,33,0,0,0,90
4,"ENSEÑAT RAMIS, MIQUEL",POBLENSE A,Titular,Local,ANDRATX A,33,0,0,0,90
5,"DE LA CRUZ RIERA, JOAN MATEU",POBLENSE A,Titular,Local,ANDRATX A,33,0,0,0,90
6,"AGUILERA PERELLO, ADRIÀ",POBLENSE A,Titular,Local,ANDRATX A,33,0,0,0,90
7,"CAIMARI FIGUEROLA, JAUME",POBLENSE A,Titular,Local,ANDRATX A,33,0,0,0,65
11,"RETTICH SOLER, JOSEP",POBLENSE A,Titular,Local,ANDRATX A,33,2,0,0,80
16,"CHICA COMAS, JUAN A",POBLENSE A,Titular,Local,ANDRATX A,33,0,0,0,89
18,"MORAGUES MORAGUES, JOAN",POBLENSE A,Titular,Local,ANDRATX A,33,0,0,0,90
20,"FERNANDEZ HEREDIA, ALEJANDRO",POBLENSE A,Titular,Local,ANDRATX A,33,0,1,0,89
22,"GONZÁLEZ ONETO, ASSIER",POBLENSE A,Titular,Local,ANDRATX A,33,1,0,0,80
23,"RIERA MARTÍNEZ, FERRAN",POBLENSE A,Titular,Local,ANDRATX A,33,0,0,0,90
13,"CORDERO VILARCHAO, CHRISTIAN",POBLENSE A,Suplente,Local,ANDRATX A,33,0,0,0,0
2,"GIBSON, JASPER",POBLENSE A,Suplente,Local,ANDRATX A,33,0,0,0,25
8,"THIAM BORRAS, KARIM",POBLENSE A,Suplente,Local,ANDRATX A,33,0,0,0,10
9,"FERRER RIGO, SEBASTIÀ",POBLENSE A,Suplente,Local,ANDRATX A,33,0,0,0,1
10,"TUR ESCALAS, TONI",POBLENSE A,Suplente,Local,ANDRATX A,33,0,0,0,0
12,"MEFTAH ES SALEMY, BILAL",POBLENSE A,Suplente,Local,ANDRATX A,33,0,0,0,10
21,"VIVES COMAS, JOAN JORDI",POBLENSE A,Suplente,Local,ANDRATX A,33,0,0,0,1
25,"HURTADO LOPEZ, IVAN",ANDRATX A,Titular,Visitante,POBLENSE A,33,0,1,0,90
6,"TUR HORRACH, HUG",ANDRATX A,Titular,Visitante,POBLENSE A,33,0,1,0,90
8,"ALMERING, BEPPE",ANDRATX A,Titular,Visitante,POBLENSE A,33,0,1,0,78
9,"VARGAS RODRIGUEZ, NICOLAS",ANDRATX A,Titular,Visitante,POBLENSE A,33,0,0,0,88
10,"SANCHEZ RAMIREZ, JAVIER",ANDRATX A,Titular,Visitante,POBLENSE A,33,0,0,0,90
15,"DE JUANA QUETGLAS, DIEGO",ANDRATX A,Titular,Visitante,POBLENSE A,33,0,0,0,62
18,"AMER CASTILLO, MIGUEL",ANDRATX A,Titular,Visitante,POBLENSE A,33,0,0,0,90
19,"DE JUANA QUETGLAS, SERGIO",ANDRATX A,Titular,Visitante,POBLENSE A,33,0,0,0,62
20,"VILLARRAMIEL PIÑEIRO, IVAN",ANDRATX A,Titular,Visitante,POBLENSE A,33,1,0,0,90
21,"SINTES DIAZ, JOAN",ANDRATX A,Titular,Visitante,POBLENSE A,33,0,1,0,90
22,"HOMAR GARCIA, ROMAN",ANDRATX A,Titular,Visitante,POBLENSE A,33,0,0,0,46
13,"FERREIRA MENDEZ, RAFAEL",ANDRATX A,Suplente,Visitante,POBLENSE A,33,0,0,0,0
2,"PATRICIO TORRRENS, JUAN",ANDRATX A,Suplente,Visitante,POBLENSE A,33,0,1,0,44
5,"ALARCON FERRER, ADRIAN",ANDRATX A,Suplente,Visitante,POBLENSE A,33,0,0,0,28
12,"KRAWIETZ, FRANZ PETER",ANDRATX A,Suplente,Visitante,POBLENSE A,33,0,0,0,12
14,"ROGEL ARRIAGA, BRYAN STALIN",ANDRATX A,Suplente,Visitante,POBLENSE A,33,0,0,0,28
17,"JIMENEZ PASTOR, IKER",ANDRATX A,Suplente,Visitante,POBLENSE A,33,0,0,0,2
