numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
1,"MARTINS CORRAL, DIEGO",SAN FRANCISCO B,Titular,Local,SANTA CATALINA ATº A,33,0,0,0,90
2,"BARRAGAN AGUILO, HECTOR DARIO",SAN FRANCISCO B,Titular,Local,SANTA CATALINA ATº A,33,0,0,0,90
3,"SILVA SALINAS, ALEJANDRO",SAN FRANCISCO B,Titular,Local,SANTA CATALINA ATº A,33,0,0,0,90
4,"RIBAS MUÑOZ, SERGI",SAN FRANCISCO B,Titular,Local,SANTA CATALINA ATº A,33,0,0,0,90
5,"GIRALDE BAUZA, JAVIER",SAN FRANCISCO B,Titular,Local,SANTA CATALINA ATº A,33,0,0,0,90
6,"LEDESMA COR, MATEU",SAN FRANCISCO B,Titular,Local,SANTA CATALINA ATº A,33,0,1,0,90
7,"MASSANET CABRER, FRANCESC",SAN FRANCISCO B,Titular,Local,SANTA CATALINA ATº A,33,0,0,0,90
8,"ANDEBUELA BARRIOS, PABLO",SAN FRANCISCO B,Titular,Local,SANTA CATALINA ATº A,33,0,0,0,87
9,"SUÁREZ SERRA, ALEX",SAN FRANCISCO B,Titular,Local,SANTA CATALINA ATº A,33,0,0,0,67
10,"GALLARDO DEL VALLE, BENJAMIN",SAN FRANCISCO B,Titular,Local,SANTA CATALINA ATº A,33,0,0,0,87
11,"SALAMANCA GALERA, AITOR",SAN FRANCISCO B,Titular,Local,SANTA CATALINA ATº A,33,0,0,0,46
13,"PRIOR, JUDE HARRY",SAN FRANCISCO B,Suplente,Local,SANTA CATALINA ATº A,33,0,0,0,0
12,"BORDOY LEAL, PEDRO",SAN FRANCISCO B,Suplente,Local,SANTA CATALINA ATº A,33,0,0,0,3
14,"LUNEGRO, BRUNO",SAN FRANCISCO B,Suplente,Local,SANTA CATALINA ATº A,33,0,0,0,0
15,"PADILLA BORRAS, PERE",SAN FRANCISCO B,Suplente,Local,SANTA CATALINA ATº A,33,0,0,0,3
16,"DIAZ ROMERO, GYLBERT",SAN FRANCISCO B,Suplente,Local,SANTA CATALINA ATº A,33,0,0,0,0
17,"ALARCON CAVERO, JOEL",SAN FRANCISCO B,Suplente,Local,SANTA CATALINA ATº A,33,1,1,0,23
18,"BADJINKA NDIAYE, BUBAKAR",SAN FRANCISCO B,Suplente,Local,SANTA CATALINA ATº A,33,1,0,0,44
1,"MADROÑERO CONTRERAS, DAYRON",SANTA CATALINA ATº A,Titular,Visitante,SAN FRANCISCO B,33,0,0,0,90
2,"VICH FORTEZA, LLUC",SANTA CATALINA ATº A,Titular,Visitante,SAN FRANCISCO B,33,0,0,0,90
4,"PALAU ORDINAS, MIQUEL",SANTA CATALINA ATº A,Titular,Visitante,SAN FRANCISCO B,33,0,0,0,90
5,"DEYÀ BELTRÁN, SEBASTIÀ",SANTA CATALINA ATº A,Titular,Visitante,SAN FRANCISCO B,33,0,1,0,71
6,"ALARCON RAGO, THIAGO",SANTA CATALINA ATº A,Titular,Visitante,SAN FRANCISCO B,33,0,1,0,90
7,"ADROVER MELIS, FRANCESC",SANTA CATALINA ATº A,Titular,Visitante,SAN FRANCISCO B,33,1,0,0,85
8,"LOPEZ FUXA, AARON",SANTA CATALINA ATº A,Titular,Visitante,SAN FRANCISCO B,33,0,0,0,90
10,"FERNANDEZ REY, RAUL",SANTA CATALINA ATº A,Titular,Visitante,SAN FRANCISCO B,33,0,0,0,90
14,"KOPACH, DANIIL",SANTA CATALINA ATº A,Titular,Visitante,SAN FRANCISCO B,33,0,0,0,90
18,"MARTIN CABALLERO, ANGEL",SANTA CATALINA ATº A,Titular,Visitante,SAN FRANCISCO B,33,0,0,0,77
19,"MENDOZA SOLER, MARIO",SANTA CATALINA ATº A,Titular,Visitante,SAN FRANCISCO B,33,0,1,0,90
13,"LLABRES BONACHO, TONY",SANTA CATALINA ATº A,Suplente,Visitante,SAN FRANCISCO B,33,0,0,0,0
3,"GARCIA BISQUERRA, JAVIER",SANTA CATALINA ATº A,Suplente,Visitante,SAN FRANCISCO B,33,0,0,0,5
9,"LOMAS SERVERA, PAU",SANTA CATALINA ATº A,Suplente,Visitante,SAN FRANCISCO B,33,0,0,0,0
15,"EZ ZARY SAIDI, ISMAEL",SANTA CATALINA ATº A,Suplente,Visitante,SAN FRANCISCO B,33,0,0,0,19
16,"BARRIGA CATRINA, VICTOR",SANTA CATALINA ATº A,Suplente,Visitante,SAN FRANCISCO B,33,0,0,0,0
17,"MASCARELL LLABRES, MARC",SANTA CATALINA ATº A,Suplente,Visitante,SAN FRANCISCO B,33,0,0,0,13
23,"BRUNO LUENGO, DANIEL",SANTA CATALINA ATº A,Suplente,Visitante,SAN FRANCISCO B,33,0,0,0,0
