numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
13,"SILVA GIORGIO, AGUSTIN",SD LA SALLE A,Titular,Local,U D IBIZA A,33,0,0,0,90
2,"PANEQUE PÉREZ, JOEL",SD LA SALLE A,Titular,Local,U D IBIZA A,33,0,0,0,57
5,"PUYA TUR, OSCAR",SD LA SALLE A,Titular,Local,U D IBIZA A,33,0,0,0,57
6,"GOMILA GAMERO, FRANCISCO",SD LA SALLE A,Titular,Local,U D IBIZA A,33,0,0,0,46
7,"GIL MASSANET, LLUIS",SD LA SALLE A,Titular,Local,U D IBIZA A,33,0,0,0,65
8,"COMAS HUTTEN, PAU LLUIS",SD LA SALLE A,Titular,Local,U D IBIZA A,33,0,0,0,90
9,"AMAYA MALENO, FRANCISCO",SD LA SALLE A,Titular,Local,U D IBIZA A,33,0,0,0,57
10,"RODRIGUEZ MONGELOS, GAEL PAU",SD LA SALLE A,Titular,Local,U D IBIZA A,33,1,0,0,90
11,"FERNANDEZ CABRERA, DAVID",SD LA SALLE A,Titular,Local,U D IBIZA A,33,0,0,0,90
12,"TORRALBA TANUGGI, LUIS",SD LA SALLE A,Titular,Local,U D IBIZA A,33,1,0,0,90
20,"VIVARES ARANDA, YANNICK",SD LA SALLE A,Titular,Local,U D IBIZA A,33,1,0,0,90
1,"FONTANET REUS, TOMAS",SD LA SALLE A,Suplente,Local,U D IBIZA A,33,0,0,0,0
3,"GARCÍA GARCÍA, ÁLVARO",SD LA SALLE A,Suplente,Local,U D IBIZA A,33,0,0,0,44
14,"VIZCAINO SEGURA, ALAN",SD LA SALLE A,Suplente,Local,U D IBIZA A,33,0,0,0,33
15,"CORTES BOIXO, ALEIX",SD LA SALLE A,Suplente,Local,U D IBIZA A,33,0,0,0,25
16,"ESCUERO PARDOS, MARTI",SD LA SALLE A,Suplente,Local,U D IBIZA A,33,0,0,0,33
17,"MOYA PEDREGOSA, ALEJANDRO",SD LA SALLE A,Suplente,Local,U D IBIZA A,33,0,0,0,33
18,"ARBOS DENGRA, DIEGO",SD LA SALLE A,Suplente,Local,U D IBIZA A,33,0,0,0,0
1,"MONTES DOMINGUEZ, ALBERTO",U D IBIZA A,Titular,Visitante,SD LA SALLE A,33,0,0,0,90
2,"MARTOS VERGARA, DANIEL",U D IBIZA A,Titular,Visitante,SD LA SALLE A,33,0,0,0,90
3,"GONZALEZ CASURIAGA, THIAGO",U D IBIZA A,Titular,Visitante,SD LA SALLE A,33,0,0,0,46
4,"AGUILAR COSTA, MARTÍ",U D IBIZA A,Titular,Visitante,SD LA SALLE A,33,0,0,0,90
5,"BALBURE CARDONA, ALEX",U D IBIZA A,Titular,Visitante,SD LA SALLE A,33,0,0,0,90
6,"GORLA, AGUSTIN",U D IBIZA A,Titular,Visitante,SD LA SALLE A,33,0,0,0,46
7,"RODRIGUEZ ROIG, ARIAN",U D IBIZA A,Titular,Visitante,SD LA SALLE A,33,0,0,0,90
8,"GARCIA ALBA, JAVIER",U D IBIZA A,Titular,Visitante,SD LA SALLE A,33,0,0,0,70
9,"ELIAS ARANDIA, SAMUEL ABEL",U D IBIZA A,Titular,Visitante,SD LA SALLE A,33,1,0,0,70
10,"TORRES RIERA, LLUC",U D IBIZA A,Titular,Visitante,SD LA SALLE A,33,0,0,0,90
11,"BERNASCONI, SANTINO",U D IBIZA A,Titular,Visitante,SD LA SALLE A,33,0,0,0,76
13,"CABALLERO ENCINA, KEVIN JOSE",U D IBIZA A,Suplente,Visitante,SD LA SALLE A,33,0,0,0,0
12,"ORTIZ CHAPARRO, DAVID",U D IBIZA A,Suplente,Visitante,SD LA SALLE A,33,0,0,0,20
14,"ROMAN MUÑOZ, ETHAN",U D IBIZA A,Suplente,Visitante,SD LA SALLE A,33,0,1,0,44
15,"OKROGLIC SOMOZA, LUKA",U D IBIZA A,Suplente,Visitante,SD LA SALLE A,33,0,0,0,14
16,"TORRES RAMON, DIDAC",U D IBIZA A,Suplente,Visitante,SD LA SALLE A,33,0,0,0,44
18,"ESTANY MARTINEZ, DAVID",U D IBIZA A,Suplente,Visitante,SD LA SALLE A,33,0,0,0,20
19,"SANCHEZ LUIS, MARCO",U D IBIZA A,Suplente,Visitante,SD LA SALLE A,33,0,0,0,0
