numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
1,"GONZALEZ VASQUEZ, LUIS JOSE",SP. ATº CIUTAT DE PALMA,Titular,Local,UD MAHON,33,0,0,0,90
2,"MUNAR LAZARO, DANIEL",SP. ATº CIUTAT DE PALMA,Titular,Local,UD MAHON,33,0,0,0,90
5,"CACERES AMOROS, MATEO",SP. ATº CIUTAT DE PALMA,Titular,Local,UD MAHON,33,0,1,0,90
6,"SANS JIMENEZ, MIQUEL ANGEL",SP. ATº CIUTAT DE PALMA,Titular,Local,UD MAHON,33,0,0,0,77
7,"SANCHO OLIVER, PEDRO",SP. ATº CIUTAT DE PALMA,Titular,Local,UD MAHON,33,1,0,0,90
10,"SARMIENTO CABAÑIN, GABRIEL A",SP. ATº CIUTAT DE PALMA,Titular,Local,UD MAHON,33,0,0,0,67
11,"KRZYZYK SERRANO, PEDRO",SP. ATº CIUTAT DE PALMA,Titular,Local,UD MAHON,33,1,0,0,90
14,"AMENGUAL LIRIO, IVAN",SP. ATº CIUTAT DE PALMA,Titular,Local,UD MAHON,33,1,0,0,46
20,"BARRY DIALLO, MAMADOU ALIOU",SP. ATº CIUTAT DE PALMA,Titular,Local,UD MAHON,33,0,0,0,90
21,"KRAUSSE, IGNACIO TOMAS",SP. ATº CIUTAT DE PALMA,Titular,Local,UD MAHON,33,0,0,0,77
24,"GAETE MARTINEZ, ISMAEL",SP. ATº CIUTAT DE PALMA,Titular,Local,UD MAHON,33,0,0,0,67
3,"PUJOL FONT, JAUME",SP. ATº CIUTAT DE PALMA,Suplente,Local,UD MAHON,33,0,0,0,0
4,"ORELLANA ZERDA, JORDI",SP. ATº CIUTAT DE PALMA,Suplente,Local,UD MAHON,33,0,0,0,13
8,"FERNÁNDEZ CASSO, ALBERTO",SP. ATº CIUTAT DE PALMA,Suplente,Local,UD MAHON,33,0,1,0,44
9,"ABRAHAM BOLAÑOS, ISAAC",SP. ATº CIUTAT DE PALMA,Suplente,Local,UD MAHON,33,0,0,0,23
13,"CABELLOS CRUZ, ENRIQUE",SP. ATº CIUTAT DE PALMA,Suplente,Local,UD MAHON,33,0,0,0,0
17,"AQUINO GUTIERREZ, DAN JOEL",SP. ATº CIUTAT DE PALMA,Suplente,Local,UD MAHON,33,0,0,0,13
23,"GOMEZ BLANCA, AARON",SP. ATº CIUTAT DE PALMA,Suplente,Local,UD MAHON,33,0,0,0,23
1,"ORFILA QUINTANA, AARON",UD MAHON,Titular,Visitante,SP. ATº CIUTAT DE PALMA,33,0,0,0,90
2,"NGONG NGO, FABRICE",UD MAHON,Titular,Visitante,SP. ATº CIUTAT DE PALMA,33,0,0,0,64
3,"LASSO VIAFARA, DUVAN FELIPE",UD MAHON,Titular,Visitante,SP. ATº CIUTAT DE PALMA,33,0,1,0,57
4,"DE LA PUENTE JAÑEZ, NICOLAS",UD MAHON,Titular,Visitante,SP. ATº CIUTAT DE PALMA,33,0,0,0,90
5,"GOMEZ SANTOS, JUAN",UD MAHON,Titular,Visitante,SP. ATº CIUTAT DE PALMA,33,0,0,0,90
6,"BOLIVAR PERAL, ROGER",UD MAHON,Titular,Visitante,SP. ATº CIUTAT DE PALMA,33,0,0,0,90
7,"DE OLIVEIRA MESSIAS, EMMANUEL",UD MAHON,Titular,Visitante,SP. ATº CIUTAT DE PALMA,33,0,0,0,90
8,"MASCARO MARTINEZ, IKER",UD MAHON,Titular,Visitante,SP. ATº CIUTAT DE PALMA,33,1,0,0,90
9,"ELHADJ ABDOULAYE, BALDE",UD MAHON,Titular,Visitante,SP. ATº CIUTAT DE PALMA,33,0,0,0,46
10,"DE OLIVEIRA MESSIAS, KLAYVER",UD MAHON,Titular,Visitante,SP. ATº CIUTAT DE PALMA,33,0,0,0,90
11,"SINTES MELERO, ALVARO",UD MAHON,Titular,Visitante,SP. ATº CIUTAT DE PALMA,33,0,0,0,64
12,"IZAGUIRRE RODRIGUEZ, RICARDO ABRAHAM",UD MAHON,Suplente,Visitante,SP. ATº CIUTAT DE PALMA,33,0,0,0,26
13,"GASCON SASTRE, IKER",UD MAHON,Suplente,Visitante,SP. ATº CIUTAT DE PALMA,33,0,0,0,0
14,"ESPINOZA ARMIJOS, CARLOS ANDRES",UD MAHON,Suplente,Visitante,SP. ATº CIUTAT DE PALMA,33,0,0,0,33
15,"LASSO VIAFARA, ANDRES FELIPE",UD MAHON,Suplente,Visitante,SP. ATº CIUTAT DE PALMA,33,0,1,0,26
16,"TEJEDOR MORENO, ALEJANDRO",UD MAHON,Suplente,Visitante,SP. ATº CIUTAT DE PALMA,33,0,0,0,44
