numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
25,"HURTADO LOPEZ, IVAN",ANDRATX A,Titular,Local,SP. ATº CIUTAT DE PALMA,34,0,0,0,46
8,"ALMERING, BEPPE",ANDRATX A,Titular,Local,SP. ATº CIUTAT DE PALMA,34,0,0,0,90
9,"VARGAS RODRIGUEZ, NICOLAS",ANDRATX A,Titular,Local,SP. ATº CIUTAT DE PALMA,34,0,0,0,67
10,"SANCHEZ RAMIREZ, JAVIER",ANDRATX A,Titular,Local,SP. ATº CIUTAT DE PALMA,34,0,0,0,90
14,"ROGEL ARRIAGA, BRYAN STALIN",ANDRATX A,Titular,Local,SP. ATº CIUTAT DE PALMA,34,0,0,0,90
15,"DE JUANA QUETGLAS, DIEGO",ANDRATX A,Titular,Local,SP. ATº CIUTAT DE PALMA,34,0,0,0,46
17,"JIMENEZ PASTOR, IKER",ANDRATX A,Titular,Local,SP. ATº CIUTAT DE PALMA,34,0,0,0,52
18,"AMER CASTILLO, MIGUEL",ANDRATX A,Titular,Local,SP. ATº CIUTAT DE PALMA,34,0,0,0,90
19,"DE JUANA QUETGLAS, SERGIO",ANDRATX A,Titular,Local,SP. ATº CIUTAT DE PALMA,34,0,0,0,46
21,"SINTES DIAZ, JOAN",ANDRATX A,Titular,Local,SP. ATº CIUTAT DE PALMA,34,0,0,0,90
22,"HOMAR GARCIA, ROMAN",ANDRATX A,Titular,Local,SP. ATº CIUTAT DE PALMA,34,1,0,0,90
1,"GAVILAN STAHN, NOAH",ANDRATX A,Suplente,Local,SP. ATº CIUTAT DE PALMA,34,0,0,0,44
3,"ALARCON FERRER, ADRIAN",ANDRATX A,Suplente,Local,SP. ATº CIUTAT DE PALMA,34,0,0,0,44
5,"LEFTER, ANDREI FABIAN",ANDRATX A,Suplente,Local,SP. ATº CIUTAT DE PALMA,34,0,0,0,23
7,"LUPIAÑEZ ALEMANY, TONI",ANDRATX A,Suplente,Local,SP. ATº CIUTAT DE PALMA,34,0,0,0,44
12,"KRAWIETZ, FRANZ PETER",ANDRATX A,Suplente,Local,SP. ATº CIUTAT DE PALMA,34,0,0,0,38
20,"VILLARRAMIEL PIÑEIRO, IVAN",ANDRATX A,Suplente,Local,SP. ATº CIUTAT DE PALMA,34,0,0,0,0
13,"CABELLOS CRUZ, ENRIQUE",SP. ATº CIUTAT DE PALMA,Titular,Visitante,ANDRATX A,34,0,0,0,90
2,"MUNAR LAZARO, DANIEL",SP. ATº CIUTAT DE PALMA,Titular,Visitante,ANDRATX A,34,0,0,0,63
3,"PUJOL FONT, JAUME",SP. ATº CIUTAT DE PALMA,Titular,Visitante,ANDRATX A,34,0,0,0,90
4,"ORELLANA ZERDA, JORDI",SP. ATº CIUTAT DE PALMA,Titular,Visitante,ANDRATX A,34,0,0,0,53
6,"SANS JIMENEZ, MIQUEL ANGEL",SP. ATº CIUTAT DE PALMA,Titular,Visitante,ANDRATX A,34,0,0,0,63
7,"SANCHO OLIVER, PEDRO",SP. ATº CIUTAT DE PALMA,Titular,Visitante,ANDRATX A,34,3,0,0,90
8,"FERNÁNDEZ CASSO, ALBERTO",SP. ATº CIUTAT DE PALMA,Titular,Visitante,ANDRATX A,34,0,1,0,90
9,"ABRAHAM BOLAÑOS, ISAAC",SP. ATº CIUTAT DE PALMA,Titular,Visitante,ANDRATX A,34,1,0,0,90
10,"SARMIENTO CABAÑIN, GABRIEL A",SP. ATº CIUTAT DE PALMA,Titular,Visitante,ANDRATX A,34,0,0,0,77
11,"KRZYZYK SERRANO, PEDRO",SP. ATº CIUTAT DE PALMA,Titular,Visitante,ANDRATX A,34,2,0,0,90
17,"AQUINO GUTIERREZ, DAN JOEL",SP. ATº CIUTAT DE PALMA,Titular,Visitante,ANDRATX A,34,0,0,0,46
5,"CACERES AMOROS, MATEO",SP. ATº CIUTAT DE PALMA,Suplente,Visitante,ANDRATX A,34,0,0,0,27
14,"GONZALEZ VASQUEZ, LUIS JOSE",SP. ATº CIUTAT DE PALMA,Suplente,Visitante,ANDRATX A,34,0,0,0,13
21,"KRAUSSE, IGNACIO TOMAS",SP. ATº CIUTAT DE PALMA,Suplente,Visitante,ANDRATX A,34,0,0,1,44
22,"ORDOÑEZ QUETGLAS, MARC",SP. ATº CIUTAT DE PALMA,Suplente,Visitante,ANDRATX A,34,0,1,0,37
23,"GOMEZ BLANCA, AARON",SP. ATº CIUTAT DE PALMA,Suplente,Visitante,ANDRATX A,34,1,0,0,27
