numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
1,"MIR OLMO, JORDI",CONSTANCIA A,Titular,Local,FERRERIES A,34,0,0,0,90
3,"ROMAN DE REMENTERIA, ASIER",CONSTANCIA A,Titular,Local,FERRERIES A,34,0,0,0,63
4,"CRESPI LUCENA, JUAN MIQUEL",CONSTANCIA A,Titular,Local,FERRERIES A,34,0,0,0,90
5,"FONTCUBERTA GALINDO, GABRIEL",CONSTANCIA A,Titular,Local,FERRERIES A,34,0,0,0,90
7,"MARTIN MONSALVE, IAN",CONSTANCIA A,Titular,Local,FERRERIES A,34,1,0,0,78
8,"COMPANY INGLA, JAUME",CONSTANCIA A,Titular,Local,FERRERIES A,34,0,0,0,90
10,"CABEZAS GALLARDO, MANUEL",CONSTANCIA A,Titular,Local,FERRERIES A,34,0,0,0,54
11,"COLL AREVALO, JORDI",CONSTANCIA A,Titular,Local,FERRERIES A,34,0,0,0,54
14,"MORENO GODOY, NICOLAS",CONSTANCIA A,Titular,Local,FERRERIES A,34,0,1,0,90
16,"OLIVER GELABERT, PERE",CONSTANCIA A,Titular,Local,FERRERIES A,34,0,0,0,54
20,"CHUKWUKERE PULLET, GREGORY IKECHUKWU",CONSTANCIA A,Titular,Local,FERRERIES A,34,0,0,0,90
6,"BOTELLO CARMONA, PAU",CONSTANCIA A,Suplente,Local,FERRERIES A,34,0,0,0,12
9,"BALLE BRUNET, JOAN",CONSTANCIA A,Suplente,Local,FERRERIES A,34,0,0,0,0
13,"BOVER LLOMPART, JOSEP",CONSTANCIA A,Suplente,Local,FERRERIES A,34,0,0,0,0
18,"PATRICIO GUAL, MARC",CONSTANCIA A,Suplente,Local,FERRERIES A,34,0,0,0,36
19,"GALVEZ ESPINOZA, BRAD ANTONY",CONSTANCIA A,Suplente,Local,FERRERIES A,34,0,0,0,36
22,"MAIRATA NOGUERA, ADRIA",CONSTANCIA A,Suplente,Local,FERRERIES A,34,0,0,0,27
23,"BLANCO WEBER, LUCA",CONSTANCIA A,Suplente,Local,FERRERIES A,34,1,0,0,36
1,"SCHMIDT LOPEZ, JHAIRO EWELL",FERRERIES A,Titular,Visitante,CONSTANCIA A,34,0,0,0,90
3,"FLORIT TAJUELO, HECTOR",FERRERIES A,Titular,Visitante,CONSTANCIA A,34,0,0,0,90
4,"AMELLER RIUDAVETS, JOSEP",FERRERIES A,Titular,Visitante,CONSTANCIA A,34,0,1,0,46
7,"JANER BOSCH, NOFRE",FERRERIES A,Titular,Visitante,CONSTANCIA A,34,0,0,0,54
8,"GOMILA BOSCH, LLUÍS",FERRERIES A,Titular,Visitante,CONSTANCIA A,34,0,0,0,90
9,"FEBRER VILLALONGA, ALBERT",FERRERIES A,Titular,Visitante,CONSTANCIA A,34,1,0,0,90
11,"CANTALAPIEDRA LOBATO, IKER",FERRERIES A,Titular,Visitante,CONSTANCIA A,34,0,0,0,46
14,"FAMIGLIETTI MARQUEZ, LUCA",FERRERIES A,Titular,Visitante,CONSTANCIA A,34,0,0,0,90
16,"MBAYE RUIZ, MOUHAMAD YASIN",FERRERIES A,Titular,Visitante,CONSTANCIA A,34,0,0,0,72
17,"PONS CARRERAS, ANGEL",FERRERIES A,Titular,Visitante,CONSTANCIA A,34,0,0,0,90
20,"BOSCH VALDERRABANO, TONI",FERRERIES A,Titular,Visitante,CONSTANCIA A,34,0,0,0,46
5,"PULIDO COLL, IZAN",FERRERIES A,Suplente,Visitante,CONSTANCIA A,34,0,0,0,36
6,"BAGUR MOYA, HUGO",FERRERIES A,Suplente,Visitante,CONSTANCIA A,34,0,0,0,0
10,"BOSCH PULIDO, NIL",FERRERIES A,Suplente,Visitante,CONSTANCIA A,34,0,0,0,44
21,"CAMPS CARETA, PERE",FERRERIES A,Suplente,Visitante,CONSTANCIA A,34,0,0,0,0
22,"SINTES PONS, PAU",FERRERIES A,Suplente,Visitante,CONSTANCIA A,34,0,0,0,44
23,"ROTGER LÓPEZ, LLUC",FERRERIES A,Suplente,Visitante,CONSTANCIA A,34,0,0,0,18
25,"PONS MOLL, JOSEP LLUIS",FERRERIES A,Suplente,Visitante,CONSTANCIA A,34,0,0,0,44
