numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
1,"CRUZ SEGUI, SERGIO",PLA DE NA TESA A,Titular,Local,PENYA INDEPENDENT A,34,0,0,0,87
2,"DRAGHI, MAXIMO",PLA DE NA TESA A,Titular,Local,PENYA INDEPENDENT A,34,0,0,0,90
3,"MESA ZAFRA, CHRISTIAN",PLA DE NA TESA A,Titular,Local,PENYA INDEPENDENT A,34,0,0,0,54
4,"GONZALEZ OBRADOR, ENRIC",PLA DE NA TESA A,Titular,Local,PENYA INDEPENDENT A,34,0,1,0,90
5,"ALONSO MUNICIO, PABLO",PLA DE NA TESA A,Titular,Local,PENYA INDEPENDENT A,34,0,0,0,90
6,"NAVARRO BEZARES, JAVIER",PLA DE NA TESA A,Titular,Local,PENYA INDEPENDENT A,34,1,0,0,54
7,"CACERES COMAS, SERGI",PLA DE NA TESA A,Titular,Local,PENYA INDEPENDENT A,34,1,0,0,68
8,"MORA GISPERT, HUGO",PLA DE NA TESA A,Titular,Local,PENYA INDEPENDENT A,34,0,0,0,90
9,"MONTES MORALES, ADRIAN",PLA DE NA TESA A,Titular,Local,PENYA INDEPENDENT A,34,0,0,0,90
10,"ONCALA CARAVACA, DANIEL",PLA DE NA TESA A,Titular,Local,PENYA INDEPENDENT A,34,0,0,0,90
11,"AIT SAID TAFZATI, NABIL",PLA DE NA TESA A,Titular,Local,PENYA INDEPENDENT A,34,0,0,0,54
13,"FATY, MALANG",PLA DE NA TESA A,Suplente,Local,PENYA INDEPENDENT A,34,0,0,0,3
14,"OSEGIE AMADASUN, MARVIN ISOKEN",PLA DE NA TESA A,Suplente,Local,PENYA INDEPENDENT A,34,0,0,0,36
15,"FERRER FERNANDEZ, ALEJANDRO",PLA DE NA TESA A,Suplente,Local,PENYA INDEPENDENT A,34,0,0,0,0
16,"COULIBALY COULIBALY, MADANE",PLA DE NA TESA A,Suplente,Local,PENYA INDEPENDENT A,34,0,0,0,36
17,"MASCARÓ SERVERA, JUAN",PLA DE NA TESA A,Suplente,Local,PENYA INDEPENDENT A,34,0,0,0,36
18,"HOMAR PELLICER, JOEL",PLA DE NA TESA A,Suplente,Local,PENYA INDEPENDENT A,34,0,0,0,0
19,"ASAMOAH ASANTEWAA, DENIS",PLA DE NA TESA A,Suplente,Local,PENYA INDEPENDENT A,34,0,0,0,22
13,"VILLAR MARI, BARTOMEU TONI",PENYA INDEPENDENT A,Titular,Visitante,PLA DE NA TESA A,34,0,0,0,46
3,"VIERA GONZALEZ, SANTIAGO",PENYA INDEPENDENT A,Titular,Visitante,PLA DE NA TESA A,34,0,0,0,90
4,"MARTINEZ JUAN, MARTIN",PENYA INDEPENDENT A,Titular,Visitante,PLA DE NA TESA A,34,0,0,0,90
5,"ESCANDELL RIBAS, JOAN",PENYA INDEPENDENT A,Titular,Visitante,PLA DE NA TESA A,34,0,0,0,46
9,"CORDOBA TUR, MARC",PENYA INDEPENDENT A,Titular,Visitante,PLA DE NA TESA A,34,0,0,0,90
10,"LOPEZ MARI, PABLO",PENYA INDEPENDENT A,Titular,Visitante,PLA DE NA TESA A,34,0,0,0,90
14,"FERRER TORRES, PEDRO",PENYA INDEPENDENT A,Titular,Visitante,PLA DE NA TESA A,34,0,0,0,46
15,"FAQUINETTI VERGILIO, SAMUEL",PENYA INDEPENDENT A,Titular,Visitante,PLA DE NA TESA A,34,0,0,0,60
17,"ODERA PACILIO, SANTIAGO",PENYA INDEPENDENT A,Titular,Visitante,PLA DE NA TESA A,34,0,0,0,90
19,"EL ATTARINE BOUZID, MOHAMED",PENYA INDEPENDENT A,Titular,Visitante,PLA DE NA TESA A,34,0,0,0,90
20,"BERNHARDT, JOEL PIOTR",PENYA INDEPENDENT A,Titular,Visitante,PLA DE NA TESA A,34,1,0,0,73
1,"RAMON DIAZ, HUGO",PENYA INDEPENDENT A,Suplente,Visitante,PLA DE NA TESA A,34,0,0,0,44
2,"GRANDA VILLAVICENCIO, DAVID JOAN",PENYA INDEPENDENT A,Suplente,Visitante,PLA DE NA TESA A,34,0,0,0,17
8,"PRATS RIPOLL, MIQUEL",PENYA INDEPENDENT A,Suplente,Visitante,PLA DE NA TESA A,34,0,0,0,30
12,"JUAN GUASCH, JORDI MIQUEL",PENYA INDEPENDENT A,Suplente,Visitante,PLA DE NA TESA A,34,0,0,0,44
18,"LLAMAS MARTINEZ, ERIC",PENYA INDEPENDENT A,Suplente,Visitante,PLA DE NA TESA A,34,0,0,0,44
