numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
25,"VALENZUELA BIERMAN, NOAH",PLATGES DE CALVIA A,Titular,Local,PENYA ARRABAL A,34,0,0,0,90
2,"GAYUBAS GONZALEZ, LUIS MIGUEL",PLATGES DE CALVIA A,Titular,Local,PENYA ARRABAL A,34,0,0,0,48
3,"ALCOLEA ESCORCIA, CARLOS",PLATGES DE CALVIA A,Titular,Local,PENYA ARRABAL A,34,0,0,0,48
4,"LOUNADI MUNAR, SAMUEL",PLATGES DE CALVIA A,Titular,Local,PENYA ARRABAL A,34,1,0,0,90
5,"GARCIA MEDRANO, MARCOS",PLATGES DE CALVIA A,Titular,Local,PENYA ARRABAL A,34,0,0,0,90
6,"MATAS OLIVER, PABLO",PLATGES DE CALVIA A,Titular,Local,PENYA ARRABAL A,34,0,1,0,90
10,"EXPOSITO BINNEWIES, ALEJANDRO",PLATGES DE CALVIA A,Titular,Local,PENYA ARRABAL A,34,0,0,0,69
11,"PARRA VIZUETE, DANIEL",PLATGES DE CALVIA A,Titular,Local,PENYA ARRABAL A,34,1,0,0,90
19,"CARDONA MARTIN, MARCOS",PLATGES DE CALVIA A,Titular,Local,PENYA ARRABAL A,34,0,0,0,62
21,"CABRERA FERRA, LIAM",PLATGES DE CALVIA A,Titular,Local,PENYA ARRABAL A,34,0,0,0,90
22,"HOLLINGSWORTH, HARRY RICHARD",PLATGES DE CALVIA A,Titular,Local,PENYA ARRABAL A,34,0,0,0,69
1,"RODRIGUEZ GUASP, JORDI",PLATGES DE CALVIA A,Suplente,Local,PENYA ARRABAL A,34,0,0,0,0
7,"SANCHIS MARTINEZ, DAVID",PLATGES DE CALVIA A,Suplente,Local,PENYA ARRABAL A,34,0,0,0,42
8,"GARCÍA RODRÍGUEZ, UNAI",PLATGES DE CALVIA A,Suplente,Local,PENYA ARRABAL A,34,0,0,0,21
9,"CASAUS SANCHEZ, JOSE IGNACIO",PLATGES DE CALVIA A,Suplente,Local,PENYA ARRABAL A,34,0,0,0,28
14,"MAGAN MITCHELL SMITH, MIGUEL",PLATGES DE CALVIA A,Suplente,Local,PENYA ARRABAL A,34,0,0,0,21
20,"PUJOL ALOMAR, TELM",PLATGES DE CALVIA A,Suplente,Local,PENYA ARRABAL A,34,0,0,0,42
1,"MUÑOZ CAMPOY, IVAN",PENYA ARRABAL A,Titular,Visitante,PLATGES DE CALVIA A,34,0,0,0,90
2,"PASCUAL RIERA, MIGUEL ANGEL",PENYA ARRABAL A,Titular,Visitante,PLATGES DE CALVIA A,34,0,0,0,90
3,"MARTINEZ MUNTANER, SERGI",PENYA ARRABAL A,Titular,Visitante,PLATGES DE CALVIA A,34,0,0,0,90
5,"RIUTORT GONZALEZ, JUAN FRANCISCO",PENYA ARRABAL A,Titular,Visitante,PLATGES DE CALVIA A,34,0,0,0,90
6,"MUÑOZ BAIXAULI, JUAN",PENYA ARRABAL A,Titular,Visitante,PLATGES DE CALVIA A,34,0,0,0,90
7,"MORENO PUJOL, JAVIER",PENYA ARRABAL A,Titular,Visitante,PLATGES DE CALVIA A,34,0,0,0,55
8,"GARCIA HERNANDEZ, JOSE RAMON",PENYA ARRABAL A,Titular,Visitante,PLATGES DE CALVIA A,34,0,0,0,90
9,"LEBRERO BENITEZ, HUGO",PENYA ARRABAL A,Titular,Visitante,PLATGES DE CALVIA A,34,0,1,0,90
10,"CRESPI BARRERA, LEONARDO",PENYA ARRABAL A,Titular,Visitante,PLATGES DE CALVIA A,34,0,0,0,87
15,"SEGUI ESTEBAN, IAN",PENYA ARRABAL A,Titular,Visitante,PLATGES DE CALVIA A,34,1,0,0,55
18,"FIOL ACEITUNO, MIQUEL",PENYA ARRABAL A,Titular,Visitante,PLATGES DE CALVIA A,34,0,0,0,90
13,"MANOLACHE POCOVI, DANIEL",PENYA ARRABAL A,Suplente,Visitante,PLATGES DE CALVIA A,34,0,0,0,0
4,"MARTORELL MUDOY, JOAN",PENYA ARRABAL A,Suplente,Visitante,PLATGES DE CALVIA A,34,0,0,0,0
11,"VAZQUEZ SUAREZ, HUGO",PENYA ARRABAL A,Suplente,Visitante,PLATGES DE CALVIA A,34,0,0,0,0
12,"GARCES NAVARRETE, JEREMY",PENYA ARRABAL A,Suplente,Visitante,PLATGES DE CALVIA A,34,0,1,0,35
14,"MAS MAIMO, JOSEP",PENYA ARRABAL A,Suplente,Visitante,PLATGES DE CALVIA A,34,0,0,0,0
17,"ARIAS BESTARD, ENZO",PENYA ARRABAL A,Suplente,Visitante,PLATGES DE CALVIA A,34,0,0,0,3
19,"CASTAÑER PECELLIN, RAFAEL",PENYA ARRABAL A,Suplente,Visitante,PLATGES DE CALVIA A,34,1,1,0,35
